image,energy_eV,relative_energy_eV,Si_X_distance_A,Si_halogen_distance_A,halogen_H_distance_A
0,-12182.801233947277,0.0,1.7129222274068057,3.5743635428716396,0.9290000234886975
1,-12183.011430948973,-0.21019700169563293,1.750973461646755,3.5365999348363553,0.9480866042689962
2,-12183.055706113577,-0.25447216629981995,1.7515330128058626,3.8595128109221655,0.9502116797186709
3,-12183.05764517188,-0.25641122460365295,1.7473611744481492,3.7490379273084415,0.9515383229786772
4,-12182.434346705675,0.36688724160194397,1.9892059680597172,1.8724509294914566,1.7150801524207788
5,-12182.98211349547,-0.18087954819202423,2.438858003653744,1.6732055468161733,2.0820119718539063
6,-12183.481258235872,-0.6800242885947227,3.4601804255169575,1.6134823615102392,1.998773856233873
7,-12183.530233167112,-0.7289992198348045,4.213447287826872,1.6106088709740927,2.3036517455270653
8,-12183.52223034203,-0.7209963947534561,4.5042736270161265,1.6100647080731367,2.5384572371684158
9,-12183.52462502569,-0.7233910784125328,4.698754018343355,1.6099116745677562,2.2764231286844177
10,-12183.537813961506,-0.7365800142288208,5.008214286502126,1.6099486870186293,2.3857913028331255
