image,energy_eV,relative_energy_eV,max_raw_force_eV_A,SCF_converged,accepted_for_comparison,solver
0,-12708.07838253627,0.0,0.8464650593126002,True,True,
1,-12708.21871673798,-0.14033420170926547,0.8899199198423632,True,True,
2,-12708.1259706799,-0.0475881436286727,0.9385047243411885,True,True,
3,-12708.215088944915,-0.1367064086443861,0.9067856418840226,True,True,
4,-12707.738789722129,0.3395928141417244,1.143329614910172,True,True,
5,-6490.128754258716,6217.949628277554,98.55227083919718,True,False,Newton after failed DIIS
6,-12703.529204487251,4.549178049019247,3.8345551536062814,True,True,DIIS
7,-12708.301747963178,-0.22336542690754868,1.1396193841716284,True,True,DIIS
8,-12708.383748779434,-0.3053662431630073,1.127406444635749,True,True,DIIS
9,-12708.410059524544,-0.3316769882731023,1.1326905919899963,True,True,DIIS
10,-12708.40480965877,-0.3264271224998083,1.114200463457887,True,True,DIIS
