      Step     Time          Energy          fmax
BFGS:    0 21:44:29   -12724.244757        2.259466
BFGS:    1 21:44:30   -12724.364356        0.773658
BFGS:    2 21:44:30   -12724.390610        0.888727
BFGS:    3 21:44:30   -12724.415356        0.685089
BFGS:    4 21:44:30   -12724.426735        0.601815
BFGS:    5 21:44:30   -12724.447488        0.711723
BFGS:    6 21:44:30   -12724.461776        0.664227
BFGS:    7 21:44:30   -12724.490047        0.723515
BFGS:    8 21:44:31   -12724.518394        0.941106
BFGS:    9 21:44:31   -12724.550808        0.937255
BFGS:   10 21:44:31   -12724.587575        0.738438
BFGS:   11 21:44:31   -12724.611564        0.564753
BFGS:   12 21:44:31   -12724.619762        0.278450
BFGS:   13 21:44:31   -12724.620698        0.815022
BFGS:   14 21:44:31   -12724.629706        0.280617
BFGS:   15 21:44:31   -12724.635377        0.143584
BFGS:   16 21:44:32   -12724.637976        0.587473
BFGS:   17 21:44:32   -12724.640562        0.111012
BFGS:   18 21:44:32   -12724.641725        0.115618
BFGS:   19 21:44:32   -12724.642930        0.344659
BFGS:   20 21:44:32   -12724.644096        0.080637
BFGS:   21 21:44:32   -12724.644604        0.067468
BFGS:   22 21:44:33   -12724.645089        0.052267
BFGS:   23 21:44:33   -12724.645262        0.048927
BFGS:   24 21:44:33   -12724.645403        0.076172
BFGS:   25 21:44:33   -12724.645568        0.093189
BFGS:   26 21:44:33   -12724.645833        0.100571
BFGS:   27 21:44:33   -12724.646152        0.078204
BFGS:   28 21:44:33   -12724.646342        0.029012
BFGS:   29 21:44:34   -12724.646371        0.020975
BFGS:   30 21:44:34   -12724.646401        0.018709
BFGS:   31 21:44:34   -12724.646437        0.021696
BFGS:   32 21:44:34   -12724.646562        0.044572
BFGS:   33 21:44:34   -12724.646795        0.070279
BFGS:   34 21:44:34   -12724.647174        0.085099
BFGS:   35 21:44:34   -12724.647549        0.077595
BFGS:   36 21:44:35   -12724.647801        0.021080
BFGS:   37 21:44:35   -12724.647834        0.008969
