      Step     Time          Energy          fmax
BFGS:    0 21:44:01   -12723.247315        3.568324
BFGS:    1 21:44:12   -12723.388473        2.308443
BFGS:    2 21:44:17   -12723.480654        1.184541
BFGS:    3 21:44:17   -12723.672002        0.966703
BFGS:    4 21:44:17   -12723.787708        0.954660
BFGS:    5 21:44:17   -12723.865760        0.877811
BFGS:    6 21:44:18   -12723.917458        0.680850
BFGS:    7 21:44:18   -12723.946929        0.457553
BFGS:    8 21:44:18   -12723.959353        0.304572
BFGS:    9 21:44:18   -12723.966912        0.237674
BFGS:   10 21:44:18   -12723.972899        0.265571
BFGS:   11 21:44:18   -12723.979650        0.368960
BFGS:   12 21:44:18   -12723.984730        0.490140
BFGS:   13 21:44:19   -12723.998080        0.612118
BFGS:   14 21:44:19   -12724.028136        0.800054
BFGS:   15 21:44:19   -12724.056506        1.104355
BFGS:   16 21:44:19   -12724.081683        1.403082
BFGS:   17 21:44:19   -12724.102991        1.622268
BFGS:   18 21:44:20   -12724.118142        1.879839
BFGS:   19 21:44:20   -12724.135428        1.795553
BFGS:   20 21:44:20   -12724.167196        0.880560
BFGS:   21 21:44:20   -12724.190386        0.740924
BFGS:   22 21:44:20   -12724.202663        0.691224
BFGS:   23 21:44:21   -12724.224626        1.089277
BFGS:   24 21:44:21   -12724.244472        0.857606
BFGS:   25 21:44:21   -12724.250046        1.238899
BFGS:   26 21:44:21   -12724.259839        0.614560
BFGS:   27 21:44:21   -12724.266841        0.239665
BFGS:   28 21:44:21   -12724.268165        0.141401
BFGS:   29 21:44:22   -12724.269761        0.203440
BFGS:   30 21:44:22   -12724.273084        0.306232
BFGS:   31 21:44:22   -12724.275295        0.270505
BFGS:   32 21:44:22   -12724.276260        0.117628
BFGS:   33 21:44:22   -12724.276468        0.052453
BFGS:   34 21:44:23   -12724.276584        0.055057
BFGS:   35 21:44:23   -12724.276696        0.061951
BFGS:   36 21:44:23   -12724.276817        0.050487
BFGS:   37 21:44:23   -12724.276898        0.048825
BFGS:   38 21:44:23   -12724.276988        0.040228
BFGS:   39 21:44:24   -12724.277171        0.088138
BFGS:   40 21:44:24   -12724.277552        0.152049
BFGS:   41 21:44:24   -12724.278183        0.190309
BFGS:   42 21:44:24   -12724.278787        0.143219
BFGS:   43 21:44:24   -12724.279020        0.051573
BFGS:   44 21:44:25   -12724.279059        0.017279
BFGS:   45 21:44:25   -12724.279066        0.015637
BFGS:   46 21:44:25   -12724.279072        0.013884
