image,energy_eV,relative_energy_eV,Si_X_distance_A,Si_halogen_distance_A,halogen_H_distance_A
0,-12724.27907243371,0.0,1.645325556538878,3.5247133504706163,0.9288229265330591
1,-12723.832164883614,0.44690755009651184,1.6614231462095128,5.6223651200071725,0.9351553293999617
2,-12724.292264670134,-0.013192236423492432,1.6545469384997915,3.904853220039975,0.9536535322538366
3,-12721.439234346151,2.8398380875587463,1.7518943230173705,9.217421039190812,0.9475352904337486
4,-12717.58502984047,6.694042593240738,7.000993628417783,16.929880900332623,0.931744804560684
5,-12717.805228233337,6.473844200372696,8.059731377640675,3.9396458997928487,6.320113582818631
6,-12724.307642817497,-0.02857038378715515,11.54225108522899,1.620578760206995,11.949911894111526
7,-12724.052511155605,0.2265612781047821,8.097062411460236,1.6275791906518675,7.182744926509265
8,-12724.385191649199,-0.10611921548843384,6.059744958170764,1.61346980236866,4.112636347381461
9,-12724.541507661343,-0.2624352276325226,4.933882699332677,1.6144027418690234,2.471422003067167
10,-12724.647834479809,-0.3687620460987091,4.570175609372385,1.6142491416797295,2.0044414289453485
