image,energy_eV,relative_energy_eV,Si_X_distance_A,Si_halogen_distance_A,halogen_H_distance_A
0,-12724.279072850943,0.0,1.6453255572025571,3.524713348942593,0.9288229335473303
1,-12724.431752830744,-0.15267997980117798,1.6685099125461773,4.047863458904165,0.9378671049146874
2,-12724.264200091362,0.014872759580612183,1.6628615209029327,4.301143254260098,0.9305941560321102
3,-12724.426817297935,-0.14774444699287415,1.6664497405400196,3.837365899616664,0.9366792868562617
4,-12724.095197498798,0.18387535214424133,1.645467338363353,4.815161987004556,0.9435397451421895
5,-12714.799391448498,9.47968140244484,4.300618475102877,11.487590518193688,9.349770868157815
6,-12719.072530291975,5.206542558968067,2.947491625735221,2.422116517016249,1.856230571526788
7,-12724.574706673622,-0.29563382267951965,4.529449882883125,1.609933416022793,3.3603664233017465
8,-12724.627000942826,-0.34792809188365936,4.503090117970527,1.6148174636724513,3.300901728656757
9,-12724.643792659044,-0.36471980810165405,4.477562862372315,1.6147106609203439,2.052261994505158
10,-12724.647834330797,-0.36876147985458374,4.57017561126249,1.6142491420878147,2.0044414330789846
