site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-289.3368968894515,6.750155989720952e-14
atop_Si,upright,1,5.0,-289.3368968894515,6.750155989720952e-14
atop_Si,upright,2,4.0,-289.3345483615298,0.0023485279217645427
atop_Si,upright,3,3.25,-289.3314545549494,0.005442334502173907
atop_Si,upright,4,2.75,-289.3465308476677,-0.009633958216102911
atop_Si,upright,5,2.25,-289.32098811214706,0.015908777304513677
atop_Si,upright,6,1.9,-289.1810175034861,0.15587938596548767
atop_Si,upright,7,1.6,-288.787277615788,0.5496192736635628
atop_Si,upright,8,1.3,-287.9697500968465,1.3671467926050802
atop_Si,parallel,0,6.5,-289.3719031802053,1.7763568394002505e-14
atop_Si,parallel,1,5.0,-289.3719031802053,1.7763568394002505e-14
atop_Si,parallel,2,4.0,-289.3947271881415,-0.022824007936133484
atop_Si,parallel,3,3.25,-289.4907243168185,-0.1188211366131604
atop_Si,parallel,4,2.75,-289.5887735484776,-0.21687036827226436
atop_Si,parallel,5,2.25,-289.69481542856346,-0.3229122483581186
atop_Si,parallel,6,1.9,-289.76018451040784,-0.3882813302024992
atop_Si,parallel,7,1.6,-289.8083744553176,-0.4364712751122788
atop_Si,parallel,8,1.3,-289.7812462699423,-0.40934308973696076
atop_Si,flipped,0,6.5,-289.3368968894515,6.750155989720952e-14
atop_Si,flipped,1,5.0,-289.3368968894515,6.750155989720952e-14
atop_Si,flipped,2,4.0,-289.3918109570145,-0.05491406756293671
atop_Si,flipped,3,3.25,-289.5979998572741,-0.26110296782251297
atop_Si,flipped,4,2.75,-289.80405518996423,-0.4671583005126543
atop_Si,flipped,5,2.25,-289.97169531231066,-0.6347984228590811
atop_Si,flipped,6,1.9,-290.077078454661,-0.7401815652094008
atop_Si,flipped,7,1.6,-290.018134520574,-0.6812376311224178
atop_Si,flipped,8,1.3,-289.7223933962085,-0.3854965067568976
atop_O,upright,0,6.5,-289.3368968894515,6.750155989720952e-14
atop_O,upright,1,5.0,-289.3368968894515,6.750155989720952e-14
atop_O,upright,2,4.0,-289.3361905171134,0.0007063723381968146
atop_O,upright,3,3.25,-289.3374079297139,-0.0005110402623138555
atop_O,upright,4,2.75,-289.3222842531106,0.014612636340995522
atop_O,upright,5,2.25,-289.37664777035974,-0.039750880908162145
atop_O,upright,6,1.9,-289.36948814262,-0.03259125316843736
atop_O,upright,7,1.6,-289.24476080083616,0.09213608861541545
atop_O,upright,8,1.3,-288.6866371020355,0.6502597874160863
atop_O,parallel,0,6.5,-289.3719031802053,1.7763568394002505e-14
atop_O,parallel,1,5.0,-289.3719031802053,1.7763568394002505e-14
atop_O,parallel,2,4.0,-289.38412212075923,-0.012218940553889723
atop_O,parallel,3,3.25,-289.45513001865,-0.08322683844464152
atop_O,parallel,4,2.75,-289.5788211461084,-0.206917965903056
atop_O,parallel,5,2.25,-289.70324623179596,-0.3313430515906184
atop_O,parallel,6,1.9,-289.80485994239535,-0.4329567621900132
atop_O,parallel,7,1.6,-289.8960910678911,-0.5241878876857804
atop_O,parallel,8,1.3,-289.94619756713666,-0.5742943869313244
atop_O,flipped,0,6.5,-289.3368968894515,6.750155989720952e-14
atop_O,flipped,1,5.0,-289.3368968894515,6.750155989720952e-14
atop_O,flipped,2,4.0,-289.3722895434958,-0.03539265404423375
atop_O,flipped,3,3.25,-289.57271681429347,-0.23581992484189485
atop_O,flipped,4,2.75,-289.8073612985478,-0.4704644090962127
atop_O,flipped,5,2.25,-290.05368492420484,-0.716788034753268
atop_O,flipped,6,1.9,-290.2346807721775,-0.8977838827259355
atop_O,flipped,7,1.6,-290.3530917928892,-1.0161949034376114
atop_O,flipped,8,1.3,-290.2726551929308,-0.9357583034792363
bridge_Si_O,upright,0,6.5,-289.3368968894515,6.750155989720952e-14
bridge_Si_O,upright,1,5.0,-289.3368968894515,6.750155989720952e-14
bridge_Si_O,upright,2,4.0,-289.3290093213731,0.007887568078455587
bridge_Si_O,upright,3,3.25,-289.33602251270963,0.0008743767419439052
bridge_Si_O,upright,4,2.75,-289.3366759857855,0.00022090366605809209
bridge_Si_O,upright,5,2.25,-289.34822068469623,-0.011323795244653212
bridge_Si_O,upright,6,1.9,-289.29457819405576,0.04231869539581723
bridge_Si_O,upright,7,1.6,-289.1357903339201,0.20110655553146373
bridge_Si_O,upright,8,1.3,-288.6251132393378,0.7117836501137838
bridge_Si_O,parallel,0,6.5,-289.3719031802053,1.7763568394002505e-14
bridge_Si_O,parallel,1,5.0,-289.3719031802053,1.7763568394002505e-14
bridge_Si_O,parallel,2,4.0,-289.3919335253091,-0.02003034510378754
bridge_Si_O,parallel,3,3.25,-289.46933491218726,-0.09743173198192423
bridge_Si_O,parallel,4,2.75,-289.58512322656446,-0.2132200463591225
bridge_Si_O,parallel,5,2.25,-289.68927502550844,-0.3173718453030965
bridge_Si_O,parallel,6,1.9,-289.78616966605153,-0.41426648584619485
bridge_Si_O,parallel,7,1.6,-289.8539892549248,-0.48208607471944376
bridge_Si_O,parallel,8,1.3,-289.84580040327756,-0.4738972230722247
bridge_Si_O,flipped,0,6.5,-289.3368968894515,6.750155989720952e-14
bridge_Si_O,flipped,1,5.0,-289.3368968894515,6.750155989720952e-14
bridge_Si_O,flipped,2,4.0,-289.3749647511878,-0.038067861736227115
bridge_Si_O,flipped,3,3.25,-289.5805504301214,-0.2436535406698006
bridge_Si_O,flipped,4,2.75,-289.8138517812047,-0.476954891753099
bridge_Si_O,flipped,5,2.25,-290.0099586539745,-0.6730617645229025
bridge_Si_O,flipped,6,1.9,-290.1403587886255,-0.8034618991739428
bridge_Si_O,flipped,7,1.6,-290.18662855668657,-0.8497316672349946
bridge_Si_O,flipped,8,1.3,-290.02681749812274,-0.6899206086711622
