site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-268.8415768707892,2.220446049250313e-14
atop_Si,upright,1,5.0,-268.8415768707892,2.220446049250313e-14
atop_Si,upright,2,4.0,-268.8303164136197,0.011260457169520954
atop_Si,upright,3,3.25,-268.84747706885963,-0.005900198070412976
atop_Si,upright,4,2.75,-268.8786012876402,-0.037024416850989006
atop_Si,upright,5,2.25,-268.9355421029923,-0.09396523220309572
atop_Si,upright,6,1.9,-268.9474512227055,-0.10587435191630501
atop_Si,upright,7,1.6,-269.0321311560474,-0.1905542852581794
atop_Si,upright,8,1.3,-268.81231512971993,0.02926174106928503
atop_Si,parallel,0,6.5,-268.85194865121787,1.4210854715202004e-14
atop_Si,parallel,1,5.0,-268.85194865121787,1.4210854715202004e-14
atop_Si,parallel,2,4.0,-268.75879204523795,0.09315660597992803
atop_Si,parallel,3,3.25,-268.6410326736357,0.21091597758216096
atop_Si,parallel,4,2.75,-268.60257104895953,0.24937760225834893
atop_Si,parallel,5,2.25,-268.62421497057693,0.22773368064095223
atop_Si,parallel,6,1.9,-268.4046685978478,0.44728005337010757
atop_Si,parallel,7,1.6,-267.8077276636287,1.0442209875891564
atop_Si,parallel,8,1.3,-266.6629495972776,2.188999053940293
atop_O,upright,0,6.5,-268.8415768707892,2.220446049250313e-14
atop_O,upright,1,5.0,-268.8415768707892,2.220446049250313e-14
atop_O,upright,2,4.0,-268.8260806682167,0.015496202572500728
atop_O,upright,3,3.25,-268.85273471989575,-0.011157849106530726
atop_O,upright,4,2.75,-268.8878948814189,-0.04631801062968233
atop_O,upright,5,2.25,-268.96807112735127,-0.12649425656204638
atop_O,upright,6,1.9,-268.96665530518493,-0.12507843439570987
atop_O,upright,7,1.6,-269.0402889834265,-0.19871211263725908
atop_O,upright,8,1.3,-269.2546949410504,-0.4131180702611692
atop_O,parallel,0,6.5,-268.85194865121787,1.4210854715202004e-14
atop_O,parallel,1,5.0,-268.85194865121787,1.4210854715202004e-14
atop_O,parallel,2,4.0,-268.79344767864353,0.058500972574350385
atop_O,parallel,3,3.25,-268.601152373289,0.2507962779288988
atop_O,parallel,4,2.75,-268.59070622518306,0.2612424260348263
atop_O,parallel,5,2.25,-268.6178051193544,0.234143531863495
atop_O,parallel,6,1.9,-268.5716447913707,0.2803038598471659
atop_O,parallel,7,1.6,-268.28911688791743,0.5628317633004514
atop_O,parallel,8,1.3,-267.6538725133994,1.1980761378184894
bridge_Si_O,upright,0,6.5,-268.8415768707892,2.220446049250313e-14
bridge_Si_O,upright,1,5.0,-268.8415768707892,2.220446049250313e-14
bridge_Si_O,upright,2,4.0,-268.8145751475445,0.027001723244745257
bridge_Si_O,upright,3,3.25,-268.8421780353498,-0.0006011645605559224
bridge_Si_O,upright,4,2.75,-268.8556880736717,-0.014111202882452822
bridge_Si_O,upright,5,2.25,-268.89600834258766,-0.05443147179844399
bridge_Si_O,upright,6,1.9,-268.91532401885274,-0.07374714806352412
bridge_Si_O,upright,7,1.6,-268.8939750990582,-0.05239822826897633
bridge_Si_O,upright,8,1.3,-268.8233971352803,0.01817973550893104
bridge_Si_O,parallel,0,6.5,-268.85194865121787,1.4210854715202004e-14
bridge_Si_O,parallel,1,5.0,-268.85194865121787,1.4210854715202004e-14
bridge_Si_O,parallel,2,4.0,-268.7802542338666,0.07169441735130988
bridge_Si_O,parallel,3,3.25,-268.62137259691116,0.23057605430672368
bridge_Si_O,parallel,4,2.75,-268.58916909580086,0.26277955541702624
bridge_Si_O,parallel,5,2.25,-268.6481035296357,0.2038451215821766
bridge_Si_O,parallel,6,1.9,-268.6390436731589,0.21290497805900088
bridge_Si_O,parallel,7,1.6,-268.2651109585174,0.5868376927004562
bridge_Si_O,parallel,8,1.3,-267.5094165242499,1.3425321269679813
