site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-268.16586275470456,-2.7977620220553945e-14
atop_Si,upright,1,5.0,-268.16586275470456,-2.7977620220553945e-14
atop_Si,upright,2,4.0,-268.1362465539215,0.02961620078301097
atop_Si,upright,3,3.25,-268.3563893047634,-0.19052655005887642
atop_Si,upright,4,2.75,-268.68087926663304,-0.5150165119285073
atop_Si,upright,5,2.25,-268.9100637841266,-0.7442010294220434
atop_Si,upright,6,1.9,-268.89488923189936,-0.7290264771948212
atop_Si,upright,7,1.6,-268.66781511439336,-0.5019523596888287
atop_Si,upright,8,1.3,-268.17430881825334,-0.008446063548802396
atop_Si,parallel,0,6.5,-268.2455074806221,-4.618527782440651e-14
atop_Si,parallel,1,5.0,-268.2455074806221,-4.618527782440651e-14
atop_Si,parallel,2,4.0,-268.1760751948658,0.06943228575626037
atop_Si,parallel,3,3.25,-268.36689432591993,-0.12138684529786659
atop_Si,parallel,4,2.75,-268.54898330128117,-0.3034758206591057
atop_Si,parallel,5,2.25,-268.59436799315955,-0.3488605125374882
atop_Si,parallel,6,1.9,-268.4672694403886,-0.22176195976651414
atop_Si,parallel,7,1.6,-268.23509145386976,0.010416026752306351
atop_Si,parallel,8,1.3,-267.17927326438075,1.066234216241309
atop_O,upright,0,6.5,-268.16586275470456,-2.7977620220553945e-14
atop_O,upright,1,5.0,-268.16586275470456,-2.7977620220553945e-14
atop_O,upright,2,4.0,-268.1510924850489,0.014770269655656865
atop_O,upright,3,3.25,-268.25633501604574,-0.09047226134120434
atop_O,upright,4,2.75,-268.5668260646613,-0.40096330995677887
atop_O,upright,5,2.25,-268.868292777741,-0.7024300230364413
atop_O,upright,6,1.9,-268.872741247774,-0.7068784930694672
atop_O,upright,7,1.6,-268.93029083572907,-0.764428081024533
atop_O,upright,8,1.3,-268.9197749032377,-0.7539121485331459
atop_O,parallel,0,6.5,-268.2455074806221,-4.618527782440651e-14
atop_O,parallel,1,5.0,-268.2455074806221,-4.618527782440651e-14
atop_O,parallel,2,4.0,-268.2212571949906,0.024250285631477908
atop_O,parallel,3,3.25,-268.31373927341167,-0.06823179278960723
atop_O,parallel,4,2.75,-268.49981183182405,-0.25430435120198425
atop_O,parallel,5,2.25,-268.5954446942378,-0.3499372136157497
atop_O,parallel,6,1.9,-268.47024199924476,-0.2247345186227001
atop_O,parallel,7,1.6,-268.2852527105549,-0.039745229932851345
atop_O,parallel,8,1.3,-267.8951474946731,0.3503599859489661
bridge_Si_O,upright,0,6.5,-268.16586275470456,-2.7977620220553945e-14
bridge_Si_O,upright,1,5.0,-268.16586275470456,-2.7977620220553945e-14
bridge_Si_O,upright,2,4.0,-268.13994448964326,0.025918265061279033
bridge_Si_O,upright,3,3.25,-268.28872803601064,-0.12286528130610419
bridge_Si_O,upright,4,2.75,-268.62400583511356,-0.45814308040902985
bridge_Si_O,upright,5,2.25,-268.9031526634126,-0.7372899087080493
bridge_Si_O,upright,6,1.9,-268.92337189322564,-0.7575091385211006
bridge_Si_O,upright,7,1.6,-268.80094371727415,-0.6350809625696168
bridge_Si_O,upright,8,1.3,-268.57932666132535,-0.413463906620819
bridge_Si_O,parallel,0,6.5,-268.2455074806221,-4.618527782440651e-14
bridge_Si_O,parallel,1,5.0,-268.2455074806221,-4.618527782440651e-14
bridge_Si_O,parallel,2,4.0,-268.18236334452195,0.06314413610011727
bridge_Si_O,parallel,3,3.25,-268.35492061868126,-0.10941313805919961
bridge_Si_O,parallel,4,2.75,-268.5780321496327,-0.3325246690106276
bridge_Si_O,parallel,5,2.25,-268.6744633758274,-0.4289558952053092
bridge_Si_O,parallel,6,1.9,-268.59403117265117,-0.34852369202910793
bridge_Si_O,parallel,7,1.6,-268.4572677800385,-0.21176029941641517
bridge_Si_O,parallel,8,1.3,-268.02381827683917,0.2216892037828977
