site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-271.94519337541766,3.552713678800501e-15
atop_Si,upright,1,5.0,-271.94519337541766,3.552713678800501e-15
atop_Si,upright,2,4.0,-271.97080500977955,-0.025611634361890623
atop_Si,upright,3,3.25,-272.05252783349897,-0.10733445808130782
atop_Si,upright,4,2.75,-272.1246708874216,-0.17947751200392403
atop_Si,upright,5,2.25,-272.17965626719797,-0.2344628917803071
atop_Si,upright,6,1.9,-272.138043798977,-0.19285042355931736
atop_Si,upright,7,1.6,-272.0096644287663,-0.064471053348651
atop_Si,upright,8,1.3,-271.7560450792746,0.18914829614306328
atop_Si,parallel,0,6.5,-271.9427805336555,-8.881784197001252e-15
atop_Si,parallel,1,5.0,-271.9427805336555,-8.881784197001252e-15
atop_Si,parallel,2,4.0,-271.96287919557403,-0.02009866191856169
atop_Si,parallel,3,3.25,-272.0510887138533,-0.10830818019781852
atop_Si,parallel,4,2.75,-272.13531183319236,-0.1925312995368902
atop_Si,parallel,5,2.25,-272.1221365051713,-0.17935597151581284
atop_Si,parallel,6,1.9,-271.97893994528954,-0.03615941163406866
atop_Si,parallel,7,1.6,-271.75560097743585,0.18717955621962368
atop_Si,parallel,8,1.3,-271.4864660740265,0.45631445962896144
atop_O,upright,0,6.5,-271.94519337541766,3.552713678800501e-15
atop_O,upright,1,5.0,-271.94519337541766,3.552713678800501e-15
atop_O,upright,2,4.0,-271.9578681212473,-0.012674745829652778
atop_O,upright,3,3.25,-272.03004437437863,-0.08485099896097026
atop_O,upright,4,2.75,-272.1140385738353,-0.16884519841761048
atop_O,upright,5,2.25,-272.18137384280953,-0.23618046739187193
atop_O,upright,6,1.9,-272.20117301727095,-0.25597964185328337
atop_O,upright,7,1.6,-272.17987243315264,-0.23467905773497577
atop_O,upright,8,1.3,-272.1271631111521,-0.181969735734409
atop_O,parallel,0,6.5,-271.9427805336555,-8.881784197001252e-15
atop_O,parallel,1,5.0,-271.9427805336555,-8.881784197001252e-15
atop_O,parallel,2,4.0,-271.9514424828495,-0.00866194919400165
atop_O,parallel,3,3.25,-272.022410667877,-0.07963013422154042
atop_O,parallel,4,2.75,-272.1300188010664,-0.18723826741092786
atop_O,parallel,5,2.25,-272.1967674811701,-0.25398694751465634
atop_O,parallel,6,1.9,-272.1667766594853,-0.22399612582985107
atop_O,parallel,7,1.6,-272.0280015010897,-0.08522096743423369
atop_O,parallel,8,1.3,-271.78242945017007,0.16035108348540028
bridge_Si_O,upright,0,6.5,-271.94519337541766,3.552713678800501e-15
bridge_Si_O,upright,1,5.0,-271.94519337541766,3.552713678800501e-15
bridge_Si_O,upright,2,4.0,-271.96541650857966,-0.02022313316200197
bridge_Si_O,upright,3,3.25,-272.03989083788446,-0.09469746246679378
bridge_Si_O,upright,4,2.75,-272.10857544536043,-0.1633820699427666
bridge_Si_O,upright,5,2.25,-272.1761457995144,-0.23095242409675265
bridge_Si_O,upright,6,1.9,-272.16635491555076,-0.22116154013309242
bridge_Si_O,upright,7,1.6,-272.08416436207585,-0.1389709866581903
bridge_Si_O,upright,8,1.3,-271.9067983129287,0.03839506248897706
bridge_Si_O,parallel,0,6.5,-271.9427805336555,-8.881784197001252e-15
bridge_Si_O,parallel,1,5.0,-271.9427805336555,-8.881784197001252e-15
bridge_Si_O,parallel,2,4.0,-271.957565181121,-0.014784647465555523
bridge_Si_O,parallel,3,3.25,-272.03380523494496,-0.09102470128949314
bridge_Si_O,parallel,4,2.75,-272.1251203246329,-0.18233979097744601
bridge_Si_O,parallel,5,2.25,-272.16739655190787,-0.22461601825239974
bridge_Si_O,parallel,6,1.9,-272.10090437365506,-0.15812383999958435
bridge_Si_O,parallel,7,1.6,-271.92635933776177,0.016421195893704166
bridge_Si_O,parallel,8,1.3,-271.7054306952986,0.2373498383568542
