site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-279.47873016159576,7.105427357601002e-15
atop_Si,upright,1,5.0,-279.47873016159576,7.105427357601002e-15
atop_Si,upright,2,4.0,-279.4403291720352,0.03840098956056437
atop_Si,upright,3,3.25,-279.4098880129051,0.06884214869064209
atop_Si,upright,4,2.75,-279.4075750469275,0.0711551146682794
atop_Si,upright,5,2.25,-279.26707743392086,0.2116527276749096
atop_Si,upright,6,1.9,-279.0523233731953,0.4264067884004774
atop_Si,upright,7,1.6,-278.8302293984481,0.6485007631476449
atop_Si,upright,8,1.3,-278.3298105775344,1.148919584061396
atop_Si,parallel,0,6.5,-279.4806744717986,-7.105427357601002e-15
atop_Si,parallel,1,5.0,-279.4806744717986,-7.105427357601002e-15
atop_Si,parallel,2,4.0,-279.5077042947397,-0.027029822941138093
atop_Si,parallel,3,3.25,-279.5832997474176,-0.1026252756190118
atop_Si,parallel,4,2.75,-279.6816605378833,-0.20098606608474512
atop_Si,parallel,5,2.25,-279.7492808838661,-0.268606412067534
atop_Si,parallel,6,1.9,-279.7515260765719,-0.27085160477333403
atop_Si,parallel,7,1.6,-279.6726085988765,-0.19193412707790714
atop_Si,parallel,8,1.3,-279.4941248280632,-0.013450356264634422
atop_Si,flipped,0,6.5,-279.47873016159576,7.105427357601002e-15
atop_Si,flipped,1,5.0,-279.47873016159576,7.105427357601002e-15
atop_Si,flipped,2,4.0,-279.51376356514476,-0.03503340354898654
atop_Si,flipped,3,3.25,-279.62569708684856,-0.14696692525279076
atop_Si,flipped,4,2.75,-279.7773592110994,-0.29862904950362434
atop_Si,flipped,5,2.25,-279.8655935772551,-0.38686341565931315
atop_Si,flipped,6,1.9,-279.85160306432954,-0.37287290273376783
atop_Si,flipped,7,1.6,-279.747973844926,-0.26924368333020965
atop_Si,flipped,8,1.3,-279.48447001060026,-0.005739849004491759
atop_O,upright,0,6.5,-279.47873016159576,7.105427357601002e-15
atop_O,upright,1,5.0,-279.47873016159576,7.105427357601002e-15
atop_O,upright,2,4.0,-279.4589402307053,0.019789930890460994
atop_O,upright,3,3.25,-279.3926230052752,0.08610715632057264
atop_O,upright,4,2.75,-279.37161755600283,0.10711260559293834
atop_O,upright,5,2.25,-279.366169029488,0.1125611321077784
atop_O,upright,6,1.9,-279.2001403440053,0.27858981759045065
atop_O,upright,7,1.6,-278.97683305901455,0.5018971025812178
atop_O,upright,8,1.3,-278.70116530850464,0.7775648530911283
atop_O,parallel,0,6.5,-279.4806744717986,-7.105427357601002e-15
atop_O,parallel,1,5.0,-279.4806744717986,-7.105427357601002e-15
atop_O,parallel,2,4.0,-279.4948696935013,-0.014195221702728134
atop_O,parallel,3,3.25,-279.55926166493003,-0.07858719313146167
atop_O,parallel,4,2.75,-279.61912181176615,-0.13844733996757697
atop_O,parallel,5,2.25,-279.70967257094316,-0.22899809914458302
atop_O,parallel,6,1.9,-279.75835649421526,-0.27768202241669115
atop_O,parallel,7,1.6,-279.79354503264307,-0.3128705608444946
atop_O,parallel,8,1.3,-279.7636299746381,-0.28295550283952053
atop_O,flipped,0,6.5,-279.47873016159576,7.105427357601002e-15
atop_O,flipped,1,5.0,-279.47873016159576,7.105427357601002e-15
atop_O,flipped,2,4.0,-279.5054041755617,-0.026674013965923393
atop_O,flipped,3,3.25,-279.60584143777965,-0.12711127618387508
atop_O,flipped,4,2.75,-279.75169106157307,-0.2729608999772992
atop_O,flipped,5,2.25,-279.8704687846017,-0.3917386230059421
atop_O,flipped,6,1.9,-279.9463471046801,-0.4676169430843444
atop_O,flipped,7,1.6,-280.00753878618815,-0.5288086245923793
atop_O,flipped,8,1.3,-279.9692705296483,-0.49054036805255663
bridge_Si_O,upright,0,6.5,-279.47873016159576,7.105427357601002e-15
bridge_Si_O,upright,1,5.0,-279.47873016159576,7.105427357601002e-15
bridge_Si_O,upright,2,4.0,-279.4466459348091,0.03208422678665812
bridge_Si_O,upright,3,3.25,-279.4154903274445,0.06323983415126833
bridge_Si_O,upright,4,2.75,-279.37876700596036,0.09996315563541458
bridge_Si_O,upright,5,2.25,-279.3426638419357,0.1360663196600811
bridge_Si_O,upright,6,1.9,-279.2199883582846,0.2587418033111888
bridge_Si_O,upright,7,1.6,-279.01826564856185,0.46046451303391933
bridge_Si_O,upright,8,1.3,-278.6404304524386,0.8382997091571909
bridge_Si_O,parallel,0,6.5,-279.4806744717986,-7.105427357601002e-15
bridge_Si_O,parallel,1,5.0,-279.4806744717986,-7.105427357601002e-15
bridge_Si_O,parallel,2,4.0,-279.5027865699334,-0.02211209813481929
bridge_Si_O,parallel,3,3.25,-279.56981842606245,-0.08914395426388211
bridge_Si_O,parallel,4,2.75,-279.65288532825804,-0.17221085645946488
bridge_Si_O,parallel,5,2.25,-279.71056406052764,-0.2298895887290726
bridge_Si_O,parallel,6,1.9,-279.71761864834417,-0.23694417654559885
bridge_Si_O,parallel,7,1.6,-279.7008634257573,-0.22018895395871851
bridge_Si_O,parallel,8,1.3,-279.6091576200501,-0.12848314825152585
bridge_Si_O,flipped,0,6.5,-279.47873016159576,7.105427357601002e-15
bridge_Si_O,flipped,1,5.0,-279.47873016159576,7.105427357601002e-15
bridge_Si_O,flipped,2,4.0,-279.50993634890966,-0.031206187313891576
bridge_Si_O,flipped,3,3.25,-279.6083360427434,-0.12960588114764704
bridge_Si_O,flipped,4,2.75,-279.7536147890444,-0.274884627448607
bridge_Si_O,flipped,5,2.25,-279.83950353263685,-0.3607733710410841
bridge_Si_O,flipped,6,1.9,-279.8631501227933,-0.38441996119751565
bridge_Si_O,flipped,7,1.6,-279.8395584269574,-0.3608282653616399
bridge_Si_O,flipped,8,1.3,-279.71542324014035,-0.2366930785445831
