site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-271.4300441754203,1.9539925233402755e-14
atop_Si,upright,1,5.0,-271.4300441754203,1.9539925233402755e-14
atop_Si,upright,2,4.0,-271.42503759384056,0.005006581579740654
atop_Si,upright,3,3.25,-271.441645328072,-0.011601152651715907
atop_Si,upright,4,2.75,-271.49458507645437,-0.06454090103407317
atop_Si,upright,5,2.25,-271.5958435745746,-0.16579939915428987
atop_Si,upright,6,1.9,-271.38386697378166,0.046177201638633036
atop_Si,upright,7,1.6,-270.88438942715175,0.5456547482685519
atop_Si,upright,8,1.3,-270.1374178026402,1.292626372780111
atop_Si,parallel,0,6.5,-271.43275388221485,3.197442310920451e-14
atop_Si,parallel,1,5.0,-271.43275388221485,3.197442310920451e-14
atop_Si,parallel,2,4.0,-271.4117492034365,0.021004678778385966
atop_Si,parallel,3,3.25,-271.33098198656,0.1017718956548812
atop_Si,parallel,4,2.75,-271.2480299552951,0.18472392691976225
atop_Si,parallel,5,2.25,-271.229955642525,0.20279823968988708
atop_Si,parallel,6,1.9,-271.13547016634675,0.2972837158681365
atop_Si,parallel,7,1.6,-270.8763715176594,0.5563823645555068
atop_Si,parallel,8,1.3,-270.1845181267715,1.2482357554434067
atop_Si,flipped,0,6.5,-271.4300441754203,1.9539925233402755e-14
atop_Si,flipped,1,5.0,-271.4300441754203,1.9539925233402755e-14
atop_Si,flipped,2,4.0,-271.4507292414432,-0.020685066022887
atop_Si,flipped,3,3.25,-271.52017960698635,-0.09013543156604875
atop_Si,flipped,4,2.75,-271.60644904026486,-0.17640486484456552
atop_Si,flipped,5,2.25,-271.617716584064,-0.18767240864370116
atop_Si,flipped,6,1.9,-271.5730710998113,-0.1430269243909752
atop_Si,flipped,7,1.6,-271.58104403960124,-0.1509998641809407
atop_Si,flipped,8,1.3,-271.6448984386947,-0.21485426327442703
atop_O,upright,0,6.5,-271.4300441754203,1.9539925233402755e-14
atop_O,upright,1,5.0,-271.4300441754203,1.9539925233402755e-14
atop_O,upright,2,4.0,-271.4373215834321,-0.007277408011796993
