site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-272.9390932374486,1.9539925233402755e-14
atop_Si,upright,1,5.0,-272.9390932374486,1.9539925233402755e-14
atop_Si,upright,2,4.0,-272.89906551518754,0.04002772226109208
atop_Si,upright,3,3.25,-272.91921208948753,0.019881147961106294
atop_Si,upright,4,2.75,-272.95233650742085,-0.013243269972216254
atop_Si,upright,5,2.25,-272.91190321671684,0.027190020731799436
atop_Si,upright,6,1.9,-272.6199755332477,0.31911770420091123
atop_Si,upright,7,1.6,-272.156968406604,0.7821248308446425
atop_Si,upright,8,1.3,-271.2131601453834,1.72593309206521
atop_Si,parallel,0,6.5,-272.945558839413,3.6415315207705135e-14
atop_Si,parallel,1,5.0,-272.945558839413,3.6415315207705135e-14
atop_Si,parallel,2,4.0,-272.93412387275214,0.011434966660922363
atop_Si,parallel,3,3.25,-273.0046796201269,-0.05912078071386073
atop_Si,parallel,4,2.75,-273.0849776061718,-0.13941876675871523
atop_Si,parallel,5,2.25,-273.05498052470335,-0.10942168529029228
atop_Si,parallel,6,1.9,-272.91683452911235,0.028724310300710876
atop_Si,parallel,7,1.6,-272.52408643495255,0.42147240446051004
atop_Si,parallel,8,1.3,-271.58196451220124,1.363594327211822
atop_Si,flipped,0,6.5,-272.9390932374486,1.9539925233402755e-14
atop_Si,flipped,1,5.0,-272.9390932374486,1.9539925233402755e-14
atop_Si,flipped,2,4.0,-272.9784987671123,-0.03940552966364841
atop_Si,flipped,3,3.25,-273.1186818166883,-0.17958857923967209
atop_Si,flipped,4,2.75,-273.2621768674551,-0.3230836300064457
atop_Si,flipped,5,2.25,-273.3798606800068,-0.4407674425581636
atop_Si,flipped,6,1.9,-273.4268294708289,-0.48773623338028393
atop_Si,flipped,7,1.6,-273.4357883551732,-0.4966951177245651
atop_Si,flipped,8,1.3,-273.3497495718058,-0.410656334357137
atop_O,upright,0,6.5,-272.9390932374486,1.9539925233402755e-14
atop_O,upright,1,5.0,-272.9390932374486,1.9539925233402755e-14
atop_O,upright,2,4.0,-272.9212469576232,0.017846279825411315
atop_O,upright,3,3.25,-272.84971511089935,0.08937812654928301
atop_O,upright,4,2.75,-272.9120330546611,0.027060182787542075
atop_O,upright,5,2.25,-272.961825221742,-0.02273198429336709
atop_O,upright,6,1.9,-272.9189012177824,0.020192019666259498
atop_O,upright,7,1.6,-272.6481607498739,0.290932487574727
atop_O,upright,8,1.3,-271.93628912249943,1.002804114949205
atop_O,parallel,0,6.5,-272.945558839413,3.6415315207705135e-14
atop_O,parallel,1,5.0,-272.945558839413,3.6415315207705135e-14
atop_O,parallel,2,4.0,-272.93642899646153,0.009129842951531408
atop_O,parallel,3,3.25,-272.9602964776515,-0.01473763823846408
atop_O,parallel,4,2.75,-273.0521932703629,-0.10663443094985947
atop_O,parallel,5,2.25,-273.1133364177323,-0.16777757831922369
atop_O,parallel,6,1.9,-273.0658825388611,-0.12032369944804255
atop_O,parallel,7,1.6,-272.8613833502838,0.08417548912925898
atop_O,parallel,8,1.3,-272.26548692687584,0.6800719125372234
atop_O,flipped,0,6.5,-272.9390932374486,1.9539925233402755e-14
atop_O,flipped,1,5.0,-272.9390932374486,1.9539925233402755e-14
atop_O,flipped,2,4.0,-272.9679870211611,-0.028893783712456766
atop_O,flipped,3,3.25,-273.0587662049999,-0.1196729675512902
atop_O,flipped,4,2.75,-273.2434183309436,-0.3043250934949615
atop_O,flipped,5,2.25,-273.35737661777966,-0.41828338033102774
atop_O,flipped,6,1.9,-273.44553582545734,-0.5064425880087047
atop_O,flipped,7,1.6,-273.54664571796656,-0.6075524805179189
atop_O,flipped,8,1.3,-273.68623936643473,-0.7471461289860972
bridge_Si_O,upright,0,6.5,-272.9390932374486,1.9539925233402755e-14
bridge_Si_O,upright,1,5.0,-272.9390932374486,1.9539925233402755e-14
bridge_Si_O,upright,2,4.0,-272.9038695578663,0.03522367958233552
bridge_Si_O,upright,3,3.25,-272.9060690898848,0.03302414756384131
bridge_Si_O,upright,4,2.75,-272.9333953806384,0.005697856810249036
bridge_Si_O,upright,5,2.25,-272.9484623516315,-0.00936911418288311
bridge_Si_O,upright,6,1.9,-272.8339937384198,0.10509949902884408
bridge_Si_O,upright,7,1.6,-272.55383448563015,0.3852587518184887
bridge_Si_O,upright,8,1.3,-272.02404307712453,0.915050160324105
bridge_Si_O,parallel,0,6.5,-272.945558839413,3.6415315207705135e-14
bridge_Si_O,parallel,1,5.0,-272.945558839413,3.6415315207705135e-14
bridge_Si_O,parallel,2,4.0,-272.9341805161163,0.01137832329673305
bridge_Si_O,parallel,3,3.25,-272.97428242950906,-0.028723590095999008
bridge_Si_O,parallel,4,2.75,-273.07759555789806,-0.1320367184850033
bridge_Si_O,parallel,5,2.25,-273.12301171597403,-0.1774528765609693
bridge_Si_O,parallel,6,1.9,-273.0574074227981,-0.11184858338506043
bridge_Si_O,parallel,7,1.6,-272.812430217913,0.1331286215000569
bridge_Si_O,parallel,8,1.3,-272.2281049051925,0.7174539342205799
bridge_Si_O,flipped,0,6.5,-272.9390932374486,1.9539925233402755e-14
bridge_Si_O,flipped,1,5.0,-272.9390932374486,1.9539925233402755e-14
bridge_Si_O,flipped,2,4.0,-272.97777181179924,-0.038678574350607065
bridge_Si_O,flipped,3,3.25,-273.07800920841316,-0.13891597096452735
bridge_Si_O,flipped,4,2.75,-273.24774990749256,-0.3086566700439253
bridge_Si_O,flipped,5,2.25,-273.33901407288135,-0.3999208354327184
bridge_Si_O,flipped,6,1.9,-273.3729176238893,-0.4338243864406568
bridge_Si_O,flipped,7,1.6,-273.4002179315145,-0.46112469406583934
bridge_Si_O,flipped,8,1.3,-273.4206561126654,-0.48156287521679
