      Step     Time          Energy          fmax
BFGS:    0 21:39:55     -269.644359       12.923691
BFGS:    1 21:39:56     -271.448155        8.347132
BFGS:    2 21:39:57     -272.478779        5.554112
BFGS:    3 21:39:58     -273.116953        3.452481
BFGS:    4 21:39:59     -273.507979        2.050414
BFGS:    5 21:40:00     -273.715390        1.246995
BFGS:    6 21:40:01     -273.799753        1.012716
BFGS:    7 21:40:02     -273.837455        0.992876
BFGS:    8 21:40:03     -273.884720        0.971769
BFGS:    9 21:40:04     -273.946830        0.917206
BFGS:   10 21:40:05     -274.001972        0.828532
BFGS:   11 21:40:06     -274.043457        0.729505
BFGS:   12 21:40:07     -274.065873        0.584290
BFGS:   13 21:40:08     -274.087488        0.707994
BFGS:   14 21:40:09     -274.129640        1.331273
BFGS:   15 21:40:10     -274.174446        1.862903
BFGS:   16 21:40:11     -274.229363        1.989971
BFGS:   17 21:40:12     -274.295941        1.347816
BFGS:   18 21:40:13     -274.325001        0.878231
BFGS:   19 21:40:14     -274.340353        0.500672
BFGS:   20 21:40:15     -274.348322        0.509032
BFGS:   21 21:40:16     -274.353917        0.836732
BFGS:   22 21:40:17     -274.363374        0.499651
BFGS:   23 21:40:18     -274.375395        0.385089
BFGS:   24 21:40:19     -274.381190        0.549237
BFGS:   25 21:40:20     -274.386466        0.443899
BFGS:   26 21:40:21     -274.389977        0.222461
BFGS:   27 21:40:22     -274.392543        0.169451
BFGS:   28 21:40:23     -274.394633        0.208153
BFGS:   29 21:40:24     -274.396533        0.190034
BFGS:   30 21:40:25     -274.398022        0.148895
BFGS:   31 21:40:26     -274.399182        0.122446
BFGS:   32 21:40:27     -274.400474        0.210446
BFGS:   33 21:40:28     -274.402116        0.259340
BFGS:   34 21:40:28     -274.403789        0.209208
BFGS:   35 21:40:29     -274.404821        0.084980
BFGS:   36 21:40:30     -274.405259        0.082832
BFGS:   37 21:40:31     -274.405638        0.100382
BFGS:   38 21:40:33     -274.406655        0.204723
BFGS:   39 21:40:34     -274.408897        0.344451
BFGS:   40 21:40:35     -274.413180        0.492018
BFGS:   41 21:40:36     -274.418165        0.470910
BFGS:   42 21:40:37     -274.425869        0.294578
BFGS:   43 21:40:38     -274.432967        0.444932
BFGS:   44 21:40:39     -274.440411        0.555163
BFGS:   45 21:40:40     -274.447698        0.670553
BFGS:   46 21:40:41     -274.452217        0.499844
BFGS:   47 21:40:42     -274.454016        0.153916
BFGS:   48 21:40:43     -274.460413        0.142706
BFGS:   49 21:40:44     -274.461405        0.077540
BFGS:   50 21:40:45     -274.461768        0.059984
BFGS:   51 21:40:47     -274.461890        0.060183
BFGS:   52 21:40:47     -274.462198        0.058493
BFGS:   53 21:40:48     -274.462670        0.064695
BFGS:   54 21:40:49     -274.463231        0.057071
BFGS:   55 21:40:50     -274.463558        0.027420
BFGS:   56 21:40:51     -274.463634        0.016579
