step,energy_eV,relative_to_start_eV
0,-265.304106631801,0.0
1,-265.3159228352504,-0.011816203449370732
2,-265.3376712510342,-0.03356461923317511
3,-265.3660584749037,-0.06195184310269042
4,-265.397216189791,-0.09310955798997611
5,-265.42768208324435,-0.12357545144334381
6,-265.4552527647004,-0.1511461328993846
7,-265.47937986385125,-0.1752732320502446
8,-265.50292584606575,-0.19881921426474491
9,-265.5265813357149,-0.22247470391391744
10,-265.55067647480905,-0.24656984300804652
11,-265.5744700030673,-0.27036337126628496
12,-265.5970325114033,-0.29292587960230776
13,-265.6187149920435,-0.3146083602425165
14,-265.63969189363326,-0.3355852618322501
15,-265.65750490631365,-0.3533982745126423
16,-265.67288293278597,-0.36877630098496184
17,-265.6977218144378,-0.3936151826367791
18,-265.7433757349361,-0.43926910313507506
19,-265.8026497789429,-0.49854314714190195
20,-265.8588948481191,-0.5547882163181157
21,-265.8979408765533,-0.5938342447523155
22,-265.9168245742204,-0.6127179424194082
23,-265.91867436129445,-0.6145677294934444
24,-265.9229555148992,-0.6188488830981669
25,-265.9297659613013,-0.6256593295003086
26,-265.9369967819349,-0.6328901501339033
27,-265.9434904519403,-0.639383820139301
28,-265.94888193283725,-0.6447753010362476
29,-265.95269582980376,-0.6485891980027532
30,-265.9546629133647,-0.6505562815636949
31,-265.95597549303733,-0.6518688612363235
32,-265.95873815059866,-0.6546315187976575
33,-265.9642839128585,-0.6601772810574857
34,-265.97212854778036,-0.6680219159793523
35,-265.9813451836858,-0.6772385518847841
36,-265.98962461177223,-0.6855179799712232
37,-265.9957691646975,-0.6916625328964869
38,-266.0037540836137,-0.6996474518127229
39,-266.01521122217787,-0.7111045903768627
40,-266.02635137549396,-0.7222447436929542
41,-266.0336366107941,-0.7295299789930709
42,-266.0423857224706,-0.7382790906696073
43,-266.0473371619106,-0.7432305301095994
44,-266.05220732966154,-0.7481006978605365
45,-266.0523721511881,-0.7482655193870755
46,-266.05260480552454,-0.748498173723533
47,-266.0528269910327,-0.7487203592316973
48,-266.0530744392089,-0.7489678074078938
49,-266.0534272652292,-0.7493206334281695
50,-266.05388424307284,-0.7497776112718384
51,-266.0543684278374,-0.7502617960363978
52,-266.0548977318231,-0.7507911000220702
53,-266.0555601860793,-0.751453554278271
54,-266.0564106487001,-0.7523040168990747
55,-266.05737219590605,-0.7532655641050496
56,-266.0585485785152,-0.7544419467141665
57,-266.05997055105604,-0.7558639192550345
58,-266.06162785847994,-0.7575212266789322
59,-266.06358005607245,-0.759473424271448
60,-266.0658682860552,-0.761761654254201
61,-266.06845608859214,-0.7643494567911375
62,-266.0712904940805,-0.7671838622794667
63,-266.0740716966304,-0.769965064829421
64,-266.07550279379404,-0.7713961619930387
65,-266.07803891334174,-0.7739322815407377
