      Step     Time          Energy          fmax
FIRE:    0 23:02:19     -265.304107        1.346619
FIRE:    1 23:02:20     -265.315923        1.302163
FIRE:    2 23:02:20     -265.337671        1.216478
FIRE:    3 23:02:20     -265.366058        1.095689
FIRE:    4 23:02:20     -265.397216        0.972414
FIRE:    5 23:02:21     -265.427682        0.848367
FIRE:    6 23:02:21     -265.455253        0.721268
FIRE:    7 23:02:21     -265.479380        0.603393
FIRE:    8 23:02:21     -265.502926        0.526491
FIRE:    9 23:02:22     -265.526581        0.500474
FIRE:   10 23:02:22     -265.550676        0.524441
FIRE:   11 23:02:22     -265.574470        0.514104
FIRE:   12 23:02:23     -265.597033        0.425999
FIRE:   13 23:02:23     -265.618715        0.424295
FIRE:   14 23:02:23     -265.639692        0.411498
FIRE:   15 23:02:24     -265.657505        0.396357
FIRE:   16 23:02:24     -265.672883        0.473606
FIRE:   17 23:02:24     -265.697722        0.536375
FIRE:   18 23:02:24     -265.743376        0.406380
FIRE:   19 23:02:25     -265.802650        0.414000
FIRE:   20 23:02:25     -265.858895        0.387230
FIRE:   21 23:02:25     -265.897941        0.309210
FIRE:   22 23:02:26     -265.916825        0.363524
FIRE:   23 23:02:26     -265.918674        0.412064
FIRE:   24 23:02:26     -265.922956        0.355337
FIRE:   25 23:02:26     -265.929766        0.260645
FIRE:   26 23:02:27     -265.936997        0.242461
FIRE:   27 23:02:27     -265.943490        0.256753
FIRE:   28 23:02:27     -265.948882        0.197844
FIRE:   29 23:02:28     -265.952696        0.129284
FIRE:   30 23:02:28     -265.954663        0.156894
FIRE:   31 23:02:28     -265.955975        0.198505
FIRE:   32 23:02:28     -265.958738        0.222121
FIRE:   33 23:02:29     -265.964284        0.205939
FIRE:   34 23:02:29     -265.972129        0.175328
FIRE:   35 23:02:29     -265.981345        0.155316
FIRE:   36 23:02:30     -265.989625        0.137437
FIRE:   37 23:02:30     -265.995769        0.160382
FIRE:   38 23:02:30     -266.003754        0.133155
FIRE:   39 23:02:30     -266.015211        0.137144
FIRE:   40 23:02:31     -266.026351        0.107147
FIRE:   41 23:02:31     -266.033637        0.159927
FIRE:   42 23:02:31     -266.042386        0.178361
FIRE:   43 23:02:31     -266.047337        0.348509
FIRE:   44 23:02:32     -266.052207        0.090397
FIRE:   45 23:02:32     -266.052372        0.073240
FIRE:   46 23:02:32     -266.052605        0.061807
FIRE:   47 23:02:32     -266.052827        0.067366
FIRE:   48 23:02:33     -266.053074        0.072386
FIRE:   49 23:02:33     -266.053427        0.073138
FIRE:   50 23:02:33     -266.053884        0.068498
FIRE:   51 23:02:34     -266.054368        0.060325
FIRE:   52 23:02:34     -266.054898        0.051757
FIRE:   53 23:02:34     -266.055560        0.056171
FIRE:   54 23:02:34     -266.056411        0.055134
FIRE:   55 23:02:35     -266.057372        0.052380
FIRE:   56 23:02:35     -266.058549        0.053458
FIRE:   57 23:02:35     -266.059971        0.057078
FIRE:   58 23:02:36     -266.061628        0.060134
FIRE:   59 23:02:36     -266.063580        0.056468
FIRE:   60 23:02:36     -266.065868        0.054036
FIRE:   61 23:02:37     -266.068456        0.052120
FIRE:   62 23:02:37     -266.071290        0.058421
FIRE:   63 23:02:37     -266.074072        0.111218
FIRE:   64 23:02:38     -266.075503        0.230296
FIRE:   65 23:02:38     -266.078039        0.037626
