step,energy_eV,relative_to_start_eV
0,-273.44553582545734,0.0
1,-273.4584058666952,-0.01287004123787483
2,-273.4821039585957,-0.036568133138359826
3,-273.5130648199192,-0.06752899446183847
4,-273.54711043854405,-0.10157461308671145
5,-273.58051843767953,-0.13498261222218844
6,-273.6109509954088,-0.16541516995147276
7,-273.6378902063517,-0.19235438089435775
8,-273.6646970359167,-0.21916121045933323
9,-273.69249885156256,-0.24696302610522025
10,-273.72225762458487,-0.2767217991275288
11,-273.7539149127646,-0.30837908730728714
12,-273.7870106494121,-0.3414748239547407
13,-273.8220095106667,-0.376473685209362
14,-273.85911310549284,-0.4135772800354971
15,-273.8960876816507,-0.45055185619338545
16,-273.9340893684983,-0.48855354304095044
17,-273.9849855532299,-0.539449727772535
18,-274.05709238185307,-0.6115565563957261
19,-274.1314728308708,-0.6859370054134502
20,-274.190325044249,-0.7447892187916523
21,-274.23381055222137,-0.7882747267640298
22,-274.26347719013387,-0.8179413646765283
23,-274.287527636763,-0.841991811305661
24,-274.3099919844463,-0.8644561589889577
25,-274.3383651064967,-0.8928292810393827
26,-274.37405406449665,-0.9285182390393061
27,-274.40392778483033,-0.9583919593729888
28,-274.4287303404733,-0.9831945150159527
29,-274.4547719522964,-1.0092361268390846
30,-274.47836693546714,-1.0328311100097949
31,-274.4989156187481,-1.0533797932907305
32,-274.506132638986,-1.0605968135286616
33,-274.512102028715,-1.0665662032576506
34,-274.5205847527245,-1.0750489272671757
35,-274.5277318913569,-1.0821960658995522
36,-274.5325212683117,-1.0869854428543704
37,-274.5350884005759,-1.089552575118546
38,-274.5357566492337,-1.0902208237763489
39,-274.5365643921844,-1.0910285667270614
40,-274.5372391576159,-1.091703332158545
41,-274.5380439851702,-1.0925081597128496
42,-274.5390469027337,-1.0935110772763323
43,-274.53988646599777,-1.0943506405404264
44,-274.5404771663554,-1.0949413408980604
45,-274.5412339673396,-1.0956981418822807
46,-274.5422133966868,-1.0966775712294634
47,-274.543221576512,-1.0976857510546552
48,-274.54461957330705,-1.0990837478497042
49,-274.5461923128439,-1.1006564873865727
50,-274.5480526860846,-1.1025168606272473
51,-274.5501039937964,-1.1045681683390853
52,-274.55260668534476,-1.1070708598874148
53,-274.55513427661054,-1.1095984511532038
54,-274.5572413724296,-1.1117055469722459
55,-274.5582931216637,-1.1127572962063823
56,-274.55795219492603,-1.11241636946869
57,-274.5582302173149,-1.1126943918575307
58,-274.55856354523803,-1.113027719780689
59,-274.55871163990804,-1.113175814450699
60,-274.55867680792016,-1.1131409824628236
61,-274.55870113013464,-1.1131653046772954
62,-274.5587453674165,-1.1132095419591792
63,-274.55880178492777,-1.113265959470425
64,-274.55886128374624,-1.113325458288898
65,-274.5589159016375,-1.1133800761801353
66,-274.55896141539785,-1.1134255899405048
67,-274.5589991549273,-1.113463329469937
68,-274.5590391311433,-1.113503305685981
69,-274.5590918324749,-1.1135560070175643
70,-274.5591694425239,-1.1136336170665686
71,-274.5592795709807,-1.1137437455233794
72,-274.55941897334804,-1.1138831478907036
73,-274.55957446387237,-1.1140386384150247
74,-274.5597408418843,-1.114205016426979
75,-274.55994121860203,-1.1144053931446933
76,-274.56020521677794,-1.1146693913206036
77,-274.56052463495473,-1.1149888094973903
78,-274.5608833368387,-1.1153475113813442
79,-274.5613292512034,-1.1157934257460624
80,-274.5618746100184,-1.1163387845610373
81,-274.5625084484905,-1.1169726230331776
82,-274.5632964776493,-1.1177606521919756
83,-274.56421425329995,-1.1186784278426103
84,-274.5653295394656,-1.1197937140082672
85,-274.5666476186799,-1.1211117932225534
86,-274.56818178044904,-1.1226459549916967
