      Step     Time          Energy          fmax
FIRE:    0 23:02:38     -273.445536        1.589176
FIRE:    1 23:02:39     -273.458406        1.545421
FIRE:    2 23:02:39     -273.482104        1.462028
FIRE:    3 23:02:39     -273.513065        1.346912
FIRE:    4 23:02:40     -273.547110        1.211300
FIRE:    5 23:02:40     -273.580518        1.069302
FIRE:    6 23:02:40     -273.610951        0.937303
FIRE:    7 23:02:41     -273.637890        0.831656
FIRE:    8 23:02:41     -273.664697        0.757900
FIRE:    9 23:02:41     -273.692499        0.726256
FIRE:   10 23:02:41     -273.722258        0.728490
FIRE:   11 23:02:42     -273.753915        0.742039
FIRE:   12 23:02:42     -273.787011        0.744486
FIRE:   13 23:02:42     -273.822010        0.725267
FIRE:   14 23:02:43     -273.859113        0.689996
FIRE:   15 23:02:43     -273.896088        0.656161
FIRE:   16 23:02:43     -273.934089        0.630369
FIRE:   17 23:02:44     -273.984986        0.584833
FIRE:   18 23:02:44     -274.057092        0.492313
FIRE:   19 23:02:44     -274.131473        0.423452
FIRE:   20 23:02:44     -274.190325        0.392299
FIRE:   21 23:02:45     -274.233811        0.333005
FIRE:   22 23:02:45     -274.263477        0.397809
FIRE:   23 23:02:45     -274.287528        0.438437
FIRE:   24 23:02:45     -274.309992        0.434276
FIRE:   25 23:02:46     -274.338365        0.465475
FIRE:   26 23:02:46     -274.374054        0.349638
FIRE:   27 23:02:46     -274.403928        0.353709
FIRE:   28 23:02:47     -274.428730        0.437766
FIRE:   29 23:02:47     -274.454772        0.459110
FIRE:   30 23:02:47     -274.478367        0.380963
FIRE:   31 23:02:47     -274.498916        0.278372
FIRE:   32 23:02:48     -274.506133        0.278961
FIRE:   33 23:02:48     -274.512102        0.235021
FIRE:   34 23:02:48     -274.520585        0.163027
FIRE:   35 23:02:49     -274.527732        0.155160
FIRE:   36 23:02:49     -274.532521        0.139951
FIRE:   37 23:02:49     -274.535088        0.170069
FIRE:   38 23:02:50     -274.535757        0.103198
FIRE:   39 23:02:50     -274.536564        0.084412
FIRE:   40 23:02:50     -274.537239        0.097869
FIRE:   41 23:02:50     -274.538044        0.105021
FIRE:   42 23:02:51     -274.539047        0.083888
FIRE:   43 23:02:51     -274.539886        0.056873
FIRE:   44 23:02:51     -274.540477        0.095317
FIRE:   45 23:02:52     -274.541234        0.079506
FIRE:   46 23:02:52     -274.542213        0.057919
FIRE:   47 23:02:52     -274.543222        0.082523
FIRE:   48 23:02:52     -274.544620        0.068014
FIRE:   49 23:02:53     -274.546192        0.091129
FIRE:   50 23:02:53     -274.548053        0.077693
FIRE:   51 23:02:53     -274.550104        0.065060
FIRE:   52 23:02:54     -274.552607        0.051208
FIRE:   53 23:02:54     -274.555134        0.086786
FIRE:   54 23:02:54     -274.557241        0.206285
FIRE:   55 23:02:55     -274.558293        0.062339
FIRE:   56 23:02:55     -274.557952        0.176108
FIRE:   57 23:02:55     -274.558230        0.137540
FIRE:   58 23:02:56     -274.558564        0.069347
FIRE:   59 23:02:56     -274.558712        0.052218
FIRE:   60 23:02:56     -274.558677        0.078906
FIRE:   61 23:02:56     -274.558701        0.074243
FIRE:   62 23:02:57     -274.558745        0.065200
FIRE:   63 23:02:57     -274.558802        0.055214
FIRE:   64 23:02:57     -274.558861        0.053255
FIRE:   65 23:02:58     -274.558916        0.051286
FIRE:   66 23:02:58     -274.558961        0.049530
FIRE:   67 23:02:58     -274.558999        0.048136
FIRE:   68 23:02:59     -274.559039        0.047021
FIRE:   69 23:02:59     -274.559092        0.046135
FIRE:   70 23:02:59     -274.559169        0.045323
FIRE:   71 23:03:00     -274.559280        0.044452
FIRE:   72 23:03:00     -274.559419        0.043584
FIRE:   73 23:03:00     -274.559574        0.043054
FIRE:   74 23:03:00     -274.559741        0.043099
FIRE:   75 23:03:01     -274.559941        0.043134
FIRE:   76 23:03:01     -274.560205        0.043658
FIRE:   77 23:03:01     -274.560525        0.045092
FIRE:   78 23:03:02     -274.560883        0.047512
FIRE:   79 23:03:02     -274.561329        0.049198
FIRE:   80 23:03:02     -274.561875        0.048183
FIRE:   81 23:03:02     -274.562508        0.046361
FIRE:   82 23:03:03     -274.563296        0.045461
FIRE:   83 23:03:03     -274.564214        0.044962
FIRE:   84 23:03:03     -274.565330        0.042384
FIRE:   85 23:03:03     -274.566648        0.040748
FIRE:   86 23:03:04     -274.568182        0.038999
