site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-282.9940019311413,3.552713678800501e-15
atop_Si,upright,1,5.0,-282.9940019311413,3.552713678800501e-15
atop_Si,upright,2,4.0,-283.02626521179803,-0.032263280656703586
atop_Si,upright,3,3.25,-283.10110326135845,-0.10710133021711599
atop_Si,upright,4,2.75,-283.1365918463909,-0.14258991524956954
atop_Si,upright,5,2.25,-283.07189157069064,-0.0778896395493085
atop_Si,upright,6,1.9,-282.81778109508724,0.1762208360540889
atop_Si,upright,7,1.6,-282.4029153947742,0.5910865363671327
atop_Si,upright,8,1.3,-281.82285866994744,1.171143261193894
atop_Si,parallel,0,6.5,-283.2558215924791,7.105427357601002e-15
atop_Si,parallel,1,5.0,-283.2558215924791,7.105427357601002e-15
atop_Si,parallel,2,4.0,-283.27681575166616,-0.02099415918706171
atop_Si,parallel,3,3.25,-283.32673197518454,-0.07091038270544203
atop_Si,parallel,4,2.75,-283.3750040428036,-0.11918245032449448
atop_Si,parallel,5,2.25,-283.32382820788297,-0.06800661540386699
atop_Si,parallel,6,1.9,-283.1076268916741,0.14819470080499997
atop_Si,parallel,7,1.6,-282.72815120368205,0.5276703887970555
atop_Si,parallel,8,1.3,-282.3135709490276,0.9422506434514801
atop_Si,flipped,0,6.5,-282.9940019311413,3.552713678800501e-15
atop_Si,flipped,1,5.0,-282.9940019311413,3.552713678800501e-15
atop_Si,flipped,2,4.0,-283.02810537713714,-0.03410344599580739
atop_Si,flipped,3,3.25,-283.2295206317922,-0.23551870065085367
atop_Si,flipped,4,2.75,-283.38909550751066,-0.3950935763693302
atop_Si,flipped,5,2.25,-283.49450317701985,-0.500501245878521
atop_Si,flipped,6,1.9,-283.3213674021544,-0.3273654710130778
atop_Si,flipped,7,1.6,-282.77405838494843,0.2199435461928978
atop_Si,flipped,8,1.3,-281.9856930784919,1.0083088526494102
atop_O,upright,0,6.5,-282.9940019311413,3.552713678800501e-15
atop_O,upright,1,5.0,-282.9940019311413,3.552713678800501e-15
atop_O,upright,2,4.0,-283.0142677153951,-0.020265784253748365
atop_O,upright,3,3.25,-283.1065582306452,-0.11255629950386137
atop_O,upright,4,2.75,-283.17662181531796,-0.18261988417662778
atop_O,upright,5,2.25,-283.2197273983095,-0.22572546716815722
