site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-293.4365784659072,-3.552713678800501e-15
atop_Si,upright,1,5.0,-293.4365784659072,-3.552713678800501e-15
atop_Si,upright,2,4.0,-293.42451071228203,0.012067753625156996
atop_Si,upright,3,3.25,-293.44224816361185,-0.0056696977046648556
atop_Si,upright,4,2.75,-293.4990219686727,-0.062443502765521686
atop_Si,upright,5,2.25,-293.4611285123892,-0.024550046482037402
atop_Si,upright,6,1.9,-293.2417705101503,0.1948079557569109
atop_Si,upright,7,1.6,-292.7847189233978,0.6518595425093814
atop_Si,upright,8,1.3,-291.7311593828865,1.7054190830206686
atop_Si,parallel,0,6.5,-293.4284052348665,-2.1316282072803006e-14
atop_Si,parallel,1,5.0,-293.4284052348665,-2.1316282072803006e-14
atop_Si,parallel,2,4.0,-293.42044460138226,0.007960633484209723
atop_Si,parallel,3,3.25,-293.4348879144673,-0.006482679600843255
atop_Si,parallel,4,2.75,-293.4945179158325,-0.06611268096602174
atop_Si,parallel,5,2.25,-293.46137149009763,-0.03296625523116603
atop_Si,parallel,6,1.9,-293.2997465699889,0.12865866487758382
atop_Si,parallel,7,1.6,-292.9444298417966,0.48397539306987625
atop_Si,parallel,8,1.3,-292.0839566023388,1.3444486325276799
atop_Si,flipped,0,6.5,-293.4365784659072,0.0
atop_Si,flipped,1,5.0,-293.4365784659072,0.0
atop_Si,flipped,2,4.0,-293.4479049413307,-0.011326475423516058
atop_Si,flipped,3,3.25,-293.5181442919393,-0.08156582603209017
atop_Si,flipped,4,2.75,-293.565281406552,-0.12870294064481413
atop_Si,flipped,5,2.25,-293.4154250568771,0.021153409030091552
atop_Si,flipped,6,1.9,-292.92192595606906,0.5146525098381289
atop_Si,flipped,7,1.6,-291.7052083000298,1.7313701658773653
atop_Si,flipped,8,1.3,-289.21017975985626,4.226398706050929
atop_O,upright,0,6.5,-293.4365784659072,-3.552713678800501e-15
atop_O,upright,1,5.0,-293.4365784659072,-3.552713678800501e-15
atop_O,upright,2,4.0,-293.43585571169496,0.0007227542122301145
atop_O,upright,3,3.25,-293.4328623350998,0.0037161308073869748
atop_O,upright,4,2.75,-293.4651287105337,-0.028550244626504906
