site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-234.38053170786142,-7.105427357601002e-15
atop_Si,upright,1,5.0,-234.38053170786142,-7.105427357601002e-15
atop_Si,upright,2,4.0,-234.37887445302013,0.0016572548412838728
atop_Si,upright,3,3.25,-234.38071658074534,-0.0001848728839277669
atop_Si,upright,4,2.75,-234.33367764970367,0.04685405815774146
atop_Si,upright,5,2.25,-234.2228638223929,0.15766788546851984
atop_Si,upright,6,1.9,-234.28698266980567,0.09354903805574821
atop_Si,upright,7,1.6,-234.14021401050093,0.24031769736048858
atop_Si,upright,8,1.3,-230.38783192499162,3.992699782869799
atop_Si,parallel,0,6.5,-234.38053170786142,-7.105427357601002e-15
atop_Si,parallel,1,5.0,-234.38053170786142,-7.105427357601002e-15
atop_Si,parallel,2,4.0,-234.39522620450697,-0.014694496645553556
atop_Si,parallel,3,3.25,-234.45041067262946,-0.06987896476804423
atop_Si,parallel,4,2.75,-234.49097124500415,-0.11043953714273158
atop_Si,parallel,5,2.25,-234.34732570633142,0.03320600152999731
atop_Si,parallel,6,1.9,-234.42764303700633,-0.04711132914491856
atop_Si,parallel,7,1.6,-234.5619392796307,-0.18140757176929156
atop_Si,parallel,8,1.3,-233.96473786134652,0.4157938465148945
atop_Si,flipped,0,6.5,-234.38053170786142,-1.0658141036401503e-14
atop_Si,flipped,1,5.0,-234.38053170786142,-1.0658141036401503e-14
atop_Si,flipped,2,4.0,-234.44788889354248,-0.06735718568107174
atop_Si,flipped,3,3.25,-234.53687775531864,-0.15634604745723024
atop_Si,flipped,4,2.75,-234.46846383424992,-0.08793212638850534
atop_Si,flipped,5,2.25,-234.1596943888261,0.220837319035315
atop_Si,flipped,6,1.9,-233.87368158559468,0.5068501222667301
atop_Si,flipped,7,1.6,-233.20189320962282,1.1786384982385876
atop_Si,flipped,8,1.3,-230.94251366296365,3.4380180448977633
atop_N,upright,0,6.5,-234.38053170786142,-7.105427357601002e-15
atop_N,upright,1,5.0,-234.38053170786142,-7.105427357601002e-15
atop_N,upright,2,4.0,-234.38721657371252,-0.006684865851106281
atop_N,upright,3,3.25,-234.33431640133,0.04621530653141548
atop_N,upright,4,2.75,-234.37395861813388,0.006573089727531567
atop_N,upright,5,2.25,-234.15911832573866,0.22141338212275485
atop_N,upright,6,1.9,-233.22258289821355,1.1579488096478698
atop_N,upright,7,1.6,-231.2348379091853,3.1456937986761133
atop_N,upright,8,1.3,-229.0607425965014,5.319789111360016
atop_N,parallel,0,6.5,-234.38053170786142,-7.105427357601002e-15
atop_N,parallel,1,5.0,-234.38053170786142,-7.105427357601002e-15
atop_N,parallel,2,4.0,-234.383276801519,-0.0027450936575874607
atop_N,parallel,3,3.25,-234.44719186286173,-0.06666015500031364
atop_N,parallel,4,2.75,-234.51765130943318,-0.1371196015717615
atop_N,parallel,5,2.25,-234.56189581668463,-0.1813641088232103
atop_N,parallel,6,1.9,-234.27661431289744,0.10391739496397889
atop_N,parallel,7,1.6,-233.73050742962008,0.6500242782413395
atop_N,parallel,8,1.3,-232.73032508719206,1.6502066206693584
atop_N,flipped,0,6.5,-234.38053170786142,-1.0658141036401503e-14
atop_N,flipped,1,5.0,-234.38053170786142,-1.0658141036401503e-14
atop_N,flipped,2,4.0,-234.43226882589605,-0.05173711803463377
atop_N,flipped,3,3.25,-234.56835695631935,-0.18782524845793702
atop_N,flipped,4,2.75,-234.5854044831968,-0.20487277533539938
atop_N,flipped,5,2.25,-234.13491868990616,0.2456130179552538
atop_N,flipped,6,1.9,-233.128111292182,1.2524204156793992
atop_N,flipped,7,1.6,-231.5535158355037,2.827015872357709
atop_N,flipped,8,1.3,-228.22484031022975,6.15569139763166
bridge_Si_N,upright,0,6.5,-234.38053170786142,-7.105427357601002e-15
bridge_Si_N,upright,1,5.0,-234.38053170786142,-7.105427357601002e-15
bridge_Si_N,upright,2,4.0,-234.3802255745783,0.0003061332831109098
bridge_Si_N,upright,3,3.25,-234.36042156884702,0.020110139014398953
bridge_Si_N,upright,4,2.75,-234.3529285533641,0.027603154497306548
bridge_Si_N,upright,5,2.25,-234.2214415627658,0.15909014509562525
bridge_Si_N,upright,6,1.9,-233.7501604467624,0.6303712610990075
bridge_Si_N,upright,7,1.6,-232.56704253411655,1.8134891737448626
bridge_Si_N,upright,8,1.3,-229.8498916332304,4.530640074631002
bridge_Si_N,parallel,0,6.5,-234.38053170786142,-7.105427357601002e-15
bridge_Si_N,parallel,1,5.0,-234.38053170786142,-7.105427357601002e-15
