      Step     Time          Energy          fmax
BFGS:    0 21:43:12     -209.963426       48.547525
BFGS:    1 21:43:13     -216.581792       22.827008
BFGS:    2 21:43:14     -219.673840       11.819311
BFGS:    3 21:43:15     -222.274575        7.323226
BFGS:    4 21:43:16     -223.975796        4.970586
BFGS:    5 21:43:16     -225.117372        3.270965
BFGS:    6 21:43:17     -225.842518        2.566366
BFGS:    7 21:43:18     -226.406945        2.306500
BFGS:    8 21:43:19     -226.909800        2.250798
BFGS:    9 21:43:20     -227.372252        2.179446
BFGS:   10 21:43:20     -227.769489        1.985888
BFGS:   11 21:43:21     -228.119648        1.993557
BFGS:   12 21:43:22     -228.442667        2.150720
BFGS:   13 21:43:23     -228.758031        2.347309
BFGS:   14 21:43:24     -229.078827        2.576801
BFGS:   15 21:43:24     -229.429047        2.631297
BFGS:   16 21:43:25     -229.817760        2.508589
BFGS:   17 21:43:26     -230.235261        2.318724
BFGS:   18 21:43:27     -230.562075        2.813889
BFGS:   19 21:43:28     -230.883971        3.001630
BFGS:   20 21:43:29     -231.180413        3.077958
BFGS:   21 21:43:30     -231.454869        2.988636
BFGS:   22 21:43:31     -231.701347        2.851079
BFGS:   23 21:43:31     -231.930491        2.592326
BFGS:   24 21:43:32     -232.141314        2.377923
BFGS:   25 21:43:33     -232.358642        2.124757
BFGS:   26 21:43:34     -232.567724        2.260432
BFGS:   27 21:43:34     -232.800736        2.373044
BFGS:   28 21:43:35     -233.038701        2.479490
BFGS:   29 21:43:36     -233.318772        2.628989
BFGS:   30 21:43:37     -233.612585        2.921115
BFGS:   31 21:43:37     -233.917826        3.324511
BFGS:   32 21:43:38     -234.226861        3.758941
BFGS:   33 21:43:39     -234.535921        4.113435
BFGS:   34 21:43:40     -234.842275        4.304476
BFGS:   35 21:43:41     -235.140736        4.295337
BFGS:   36 21:43:41     -235.423896        4.090432
BFGS:   37 21:43:42     -235.681885        3.671611
BFGS:   38 21:43:43     -235.912531        3.070481
BFGS:   39 21:43:44     -236.156033        2.621487
BFGS:   40 21:43:45     -236.414032        2.689560
BFGS:   41 21:43:46     -236.746497        2.680253
BFGS:   42 21:43:47     -236.962508        2.586593
BFGS:   43 21:43:47     -237.185293        2.103799
BFGS:   44 21:43:48     -237.362624        1.827270
BFGS:   45 21:43:49     -237.508341        1.433487
BFGS:   46 21:43:50     -237.627253        1.215378
BFGS:   47 21:43:51     -237.677562        1.173408
BFGS:   48 21:43:52     -237.726875        1.096426
BFGS:   49 21:43:53     -237.773534        1.086900
BFGS:   50 21:43:54     -237.811688        1.143154
BFGS:   51 21:43:55     -237.851627        1.368363
BFGS:   52 21:43:56     -237.913504        1.479043
BFGS:   53 21:43:57     -237.968027        1.099952
BFGS:   54 21:43:57     -238.010386        0.534141
BFGS:   55 21:43:58     -238.034022        0.508677
BFGS:   56 21:43:59     -238.048989        0.521330
BFGS:   57 21:44:00     -238.064347        0.467934
BFGS:   58 21:44:01     -238.076709        0.297316
BFGS:   59 21:44:01     -238.083336        0.217036
BFGS:   60 21:44:02     -238.086325        0.196044
BFGS:   61 21:44:03     -238.088511        0.173573
BFGS:   62 21:44:04     -238.090453        0.126753
BFGS:   63 21:44:05     -238.091578        0.087985
BFGS:   64 21:44:05     -238.092118        0.074733
BFGS:   65 21:44:06     -238.092496        0.065051
BFGS:   66 21:44:07     -238.092887        0.063774
BFGS:   67 21:44:08     -238.093257        0.070899
BFGS:   68 21:44:08     -238.093611        0.080494
BFGS:   69 21:44:09     -238.094073        0.086951
BFGS:   70 21:44:10     -238.094852        0.087916
BFGS:   71 21:44:11     -238.096085        0.131699
BFGS:   72 21:44:12     -238.097594        0.151742
BFGS:   73 21:44:12     -238.098778        0.114981
BFGS:   74 21:44:13     -238.099312        0.069100
BFGS:   75 21:44:14     -238.099566        0.063926
BFGS:   76 21:44:15     -238.099825        0.068683
BFGS:   77 21:44:15     -238.100129        0.082079
BFGS:   78 21:44:16     -238.100497        0.076458
BFGS:   79 21:44:17     -238.100902        0.068309
BFGS:   80 21:44:18     -238.101328        0.078301
BFGS:   81 21:44:19     -238.101836        0.096973
BFGS:   82 21:44:20     -238.102612        0.139560
BFGS:   83 21:44:21     -238.103984        0.175961
BFGS:   84 21:44:21     -238.106158        0.196244
BFGS:   85 21:44:22     -238.108531        0.183414
BFGS:   86 21:44:23     -238.110182        0.223829
BFGS:   87 21:44:24     -238.111183        0.250203
BFGS:   88 21:44:25     -238.114426        0.245100
BFGS:   89 21:44:26     -238.117588        0.203807
BFGS:   90 21:44:27     -238.122100        0.287181
BFGS:   91 21:44:28     -238.127534        0.282051
BFGS:   92 21:44:29     -238.132895        0.219670
BFGS:   93 21:44:30     -238.136761        0.169670
BFGS:   94 21:44:31     -238.137832        0.159362
BFGS:   95 21:44:32     -238.139678        0.178776
BFGS:   96 21:44:32     -238.142350        0.184201
BFGS:   97 21:44:33     -238.144265        0.201384
BFGS:   98 21:44:34     -238.148088        0.209306
BFGS:   99 21:44:35     -238.151347        0.194037
BFGS:  100 21:44:36     -238.154471        0.187593
BFGS:  101 21:44:37     -238.157209        0.158577
BFGS:  102 21:44:37     -238.159990        0.243717
BFGS:  103 21:44:38     -238.162657        0.303303
BFGS:  104 21:44:39     -238.165597        0.216993
BFGS:  105 21:44:40     -238.167520        0.080117
BFGS:  106 21:44:41     -238.167847        0.040545
BFGS:  107 21:44:42     -238.167930        0.013506
