      Step     Time          Energy          fmax
BFGS:    0 21:41:14     -226.815807        9.408505
BFGS:    1 21:41:15     -228.412976        5.541314
BFGS:    2 21:41:16     -229.372348        4.455475
BFGS:    3 21:41:16     -230.132623        3.240052
BFGS:    4 21:41:17     -230.773731        2.216041
BFGS:    5 21:41:18     -231.307554        1.856936
BFGS:    6 21:41:19     -231.735799        1.749329
BFGS:    7 21:41:20     -232.055999        1.759905
BFGS:    8 21:41:21     -232.288318        1.647888
BFGS:    9 21:41:22     -232.472441        1.396242
BFGS:   10 21:41:23     -232.634169        1.339765
BFGS:   11 21:41:24     -232.773327        1.200083
BFGS:   12 21:41:24     -232.911762        1.080390
BFGS:   13 21:41:25     -233.071222        1.363915
BFGS:   14 21:41:26     -233.253092        1.229559
BFGS:   15 21:41:26     -233.385035        1.479147
BFGS:   16 21:41:27     -233.545111        1.489870
BFGS:   17 21:41:28     -233.822419        1.113959
BFGS:   18 21:41:29     -234.009883        1.085822
BFGS:   19 21:41:29     -234.160558        1.114590
BFGS:   20 21:41:30     -234.275025        1.005880
BFGS:   21 21:41:31     -234.365006        0.843773
BFGS:   22 21:41:32     -234.434813        0.653553
BFGS:   23 21:41:32     -234.493985        0.651266
BFGS:   24 21:41:33     -234.538188        0.521356
BFGS:   25 21:41:34     -234.573334        0.468168
BFGS:   26 21:41:35     -234.595880        0.309961
BFGS:   27 21:41:35     -234.607143        0.321726
BFGS:   28 21:41:36     -234.609645        0.271889
BFGS:   29 21:41:37     -234.612752        0.155188
BFGS:   30 21:41:38     -234.614533        0.133420
BFGS:   31 21:41:39     -234.615324        0.085600
BFGS:   32 21:41:39     -234.615851        0.087043
BFGS:   33 21:41:40     -234.616542        0.103094
BFGS:   34 21:41:41     -234.617530        0.124400
BFGS:   35 21:41:41     -234.618813        0.138243
BFGS:   36 21:41:42     -234.620463        0.124348
BFGS:   37 21:41:43     -234.622803        0.160881
BFGS:   38 21:41:44     -234.626650        0.180172
BFGS:   39 21:41:45     -234.632452        0.288203
BFGS:   40 21:41:45     -234.640309        0.413387
BFGS:   41 21:41:46     -234.650381        0.474492
BFGS:   42 21:41:47     -234.662794        0.487696
BFGS:   43 21:41:48     -234.678779        0.539711
BFGS:   44 21:41:48     -234.700115        0.506981
BFGS:   45 21:41:49     -234.714654        0.560581
BFGS:   46 21:41:50     -234.741416        0.423608
BFGS:   47 21:41:51     -234.755614        0.312742
BFGS:   48 21:41:51     -234.758396        0.328598
BFGS:   49 21:41:52     -234.763155        0.151343
BFGS:   50 21:41:53     -234.764371        0.135883
BFGS:   51 21:41:54     -234.766589        0.105792
BFGS:   52 21:41:54     -234.767313        0.100544
BFGS:   53 21:41:55     -234.768636        0.076037
BFGS:   54 21:41:55     -234.769154        0.081897
BFGS:   55 21:41:56     -234.769942        0.093289
BFGS:   56 21:41:57     -234.770824        0.094409
BFGS:   57 21:41:58     -234.771800        0.099509
BFGS:   58 21:41:58     -234.772566        0.102197
BFGS:   59 21:41:59     -234.773333        0.105095
BFGS:   60 21:42:00     -234.774489        0.129724
BFGS:   61 21:42:01     -234.775794        0.173627
BFGS:   62 21:42:01     -234.778074        0.190311
BFGS:   63 21:42:02     -234.780431        0.150437
BFGS:   64 21:42:03     -234.783629        0.153294
BFGS:   65 21:42:03     -234.784830        0.155236
BFGS:   66 21:42:04     -234.787083        0.150739
BFGS:   67 21:42:05     -234.791997        0.217045
BFGS:   68 21:42:06     -234.794213        0.177481
BFGS:   69 21:42:06     -234.795463        0.103029
BFGS:   70 21:42:07     -234.796623        0.116290
BFGS:   71 21:42:08     -234.797257        0.109829
BFGS:   72 21:42:08     -234.798120        0.091375
BFGS:   73 21:42:09     -234.799292        0.089499
BFGS:   74 21:42:10     -234.799974        0.105694
BFGS:   75 21:42:11     -234.801053        0.117391
BFGS:   76 21:42:11     -234.803117        0.150243
BFGS:   77 21:42:12     -234.807304        0.252528
BFGS:   78 21:42:13     -234.813439        0.388964
BFGS:   79 21:42:14     -234.817270        0.432150
BFGS:   80 21:42:14     -234.832586        0.339221
BFGS:   81 21:42:15     -234.841995        0.252760
BFGS:   82 21:42:16     -234.853697        0.342557
BFGS:   83 21:42:17     -234.859551        0.261527
BFGS:   84 21:42:17     -234.866113        0.295393
BFGS:   85 21:42:18     -234.870189        0.212477
BFGS:   86 21:42:19     -234.874252        0.146170
BFGS:   87 21:42:19     -234.877801        0.129867
BFGS:   88 21:42:20     -234.880901        0.129773
BFGS:   89 21:42:21     -234.884450        0.268840
BFGS:   90 21:42:22     -234.886317        0.204717
BFGS:   91 21:42:22     -234.889733        0.272768
