      Step     Time          Energy          fmax
BFGS:    0 21:45:25     -230.887190        4.677724
BFGS:    1 21:45:33     -230.974768        4.786803
BFGS:    2 21:45:40     -231.089776        3.949703
BFGS:    3 21:45:48     -231.217055        4.118430
BFGS:    4 21:45:56     -231.285604        4.404235
BFGS:    5 21:46:04     -231.359468        4.921777
BFGS:    6 21:46:13     -231.439205        4.123559
BFGS:    7 21:46:22     -231.523291        3.857229
BFGS:    8 21:46:30     -231.604278        4.995599
BFGS:    9 21:46:38     -231.701809        2.375191
BFGS:   10 21:46:47     -231.799014        2.164909
BFGS:   11 21:46:55     -231.929023        1.514491
BFGS:   12 21:47:03     -232.034176        1.047092
BFGS:   13 21:47:11     -232.096915        1.067758
BFGS:   14 21:47:19     -232.167051        1.030890
BFGS:   15 21:47:27     -232.233523        0.823971
BFGS:   16 21:47:35     -232.304018        0.756725
BFGS:   17 21:47:42     -232.395648        0.881548
BFGS:   18 21:47:49     -232.520554        0.831403
BFGS:   19 21:47:57     -232.656606        0.835248
BFGS:   20 21:48:04     -232.781366        0.865551
BFGS:   21 21:48:12     -232.854705        0.999842
BFGS:   22 21:48:20     -232.931552        0.780564
BFGS:   23 21:48:28     -232.981243        0.711286
BFGS:   24 21:48:37     -233.125525        0.804635
BFGS:   25 21:48:45     -233.279779        1.407590
BFGS:   26 21:48:54     -233.380943        1.295107
BFGS:   27 21:49:02     -233.485611        0.924055
BFGS:   28 21:49:10     -233.523604        0.883210
BFGS:   29 21:49:18     -233.575380        0.784767
BFGS:   30 21:49:27     -233.584385        0.739560
BFGS:   31 21:49:35     -233.602928        0.641032
BFGS:   32 21:49:44     -233.604964        0.520088
BFGS:   33 21:49:52     -233.609316        0.482978
BFGS:   34 21:50:00     -233.617492        0.384725
BFGS:   35 21:50:08     -233.629923        0.345867
BFGS:   36 21:50:16     -233.639622        0.349117
BFGS:   37 21:50:25     -233.647989        0.352353
BFGS:   38 21:50:33     -233.652868        0.300799
BFGS:   39 21:50:42     -233.653361        0.256605
BFGS:   40 21:50:51     -233.649448        0.282007
BFGS:   41 21:51:00     -233.640122        0.371187
BFGS:   42 21:51:08     -233.624131        0.390835
BFGS:   43 21:51:17     -233.602282        0.380851
BFGS:   44 21:51:26     -233.580503        0.450194
BFGS:   45 21:51:34     -233.563455        0.520784
BFGS:   46 21:51:42     -233.549386        0.480280
BFGS:   47 21:51:50     -233.533226        0.443669
BFGS:   48 21:51:58     -233.510772        0.499221
BFGS:   49 21:52:05     -233.483232        0.599875
BFGS:   50 21:52:13     -233.461920        0.514208
BFGS:   51 21:52:21     -233.442580        0.485844
BFGS:   52 21:52:29     -233.424020        0.522978
BFGS:   53 21:52:36     -233.439403        0.613513
BFGS:   54 21:52:44     -233.423745        0.492745
BFGS:   55 21:52:52     -233.431493        1.200645
BFGS:   56 21:52:59     -233.467125        0.457413
BFGS:   57 21:53:09     -233.473291        0.294993
BFGS:   58 21:53:17     -233.490601        0.276170
BFGS:   59 21:53:25     -233.530566        0.480244
BFGS:   60 21:53:34     -233.566468        0.594763
BFGS:   61 21:53:42     -233.616232        0.562721
BFGS:   62 21:53:50     -233.674153        0.483926
BFGS:   63 21:53:59     -233.743676        0.627921
BFGS:   64 21:54:09     -233.832780        0.894800
BFGS:   65 21:54:18     -233.946156        1.155147
BFGS:   66 21:54:26     -234.166825        1.341086
BFGS:   67 21:54:35     -234.360019        1.559595
BFGS:   68 21:54:44     -234.373324        1.232771
BFGS:   69 21:54:54     -234.395933        1.174294
BFGS:   70 21:55:03     -234.420828        0.744521
BFGS:   71 21:55:13     -234.507007        1.069352
BFGS:   72 21:55:22     -234.610200        0.572208
BFGS:   73 21:55:31     -234.686658        0.547970
BFGS:   74 21:55:40     -234.768915        0.710356
BFGS:   75 21:55:50     -234.777183        1.227004
BFGS:   76 21:56:00     -234.777244        1.088517
BFGS:   77 21:56:08     -234.777584        1.376703
BFGS:   78 21:56:17     -234.766548        1.021739
BFGS:   79 21:56:25     -234.748342        1.027051
BFGS:   80 21:56:33     -234.735216        0.914053
BFGS:   81 21:56:41     -234.696141        1.094112
BFGS:   82 21:56:49     -234.659744        1.142393
BFGS:   83 21:56:57     -234.625163        1.188174
BFGS:   84 21:57:05     -234.624880        0.942768
BFGS:   85 21:57:13     -234.596425        0.869749
BFGS:   86 21:57:21     -234.509407        2.193536
BFGS:   87 21:57:29     -234.323614        2.463454
BFGS:   88 21:57:37     -234.161661        2.486761
BFGS:   89 21:57:45     -234.000316        2.460861
BFGS:   90 21:57:52     -233.865264        2.311160
BFGS:   91 21:58:01     -233.765631        2.071010
BFGS:   92 21:58:09     -233.711567        1.741597
BFGS:   93 21:58:17     -233.712423        1.323696
BFGS:   94 21:58:25     -233.808327        1.068471
BFGS:   95 21:58:34     -233.962675        1.555425
BFGS:   96 21:58:42     -233.982184        1.210348
BFGS:   97 21:58:50     -233.909127        1.434018
BFGS:   98 21:58:57     -233.859088        1.674799
BFGS:   99 21:59:06     -233.856706        2.000263
BFGS:  100 21:59:13     -233.841661        1.889302
BFGS:  101 21:59:20     -233.827879        1.797415
BFGS:  102 21:59:28     -233.830296        1.580613
BFGS:  103 21:59:37     -233.799759        1.600454
BFGS:  104 21:59:45     -233.780986        1.483332
BFGS:  105 21:59:53     -233.753328        1.446301
