image,arc_length_A,energy_eV,relative_energy_eV
0,0.0,-234.90707673573516,0.0
1,2.243630679752334,-234.83264691027415,0.07442982546101007
2,4.428160399635283,-234.83911407478823,0.06796266094693237
3,6.513706246116337,-234.89679191389357,0.010284821841594294
4,8.459394653832708,-234.7595074035407,0.14756933219445045
5,11.346743918886569,-235.1158598169516,-0.2087830812164384
6,13.922542231318404,-235.31703889969924,-0.4099621639640816
7,17.08265628581133,-238.3668795787336,-3.4598028429984424
8,19.85711934841642,-235.899702461424,-0.9926257256888391
9,21.79314352952065,-234.70615297017022,0.20092376556493718
10,25.544392728153262,-238.1679296281328,-3.2608528923976507
