site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-213.87060833022633,3.2862601528904634e-14
atop_Si,upright,1,5.0,-213.87060833022633,3.2862601528904634e-14
atop_Si,upright,2,4.0,-213.8820578463991,-0.011449516172741703
atop_Si,upright,3,3.25,-213.9799624535616,-0.10935412333523242
atop_Si,upright,4,2.75,-214.31207339837107,-0.4414650681447041
atop_Si,upright,5,2.25,-214.7208584808066,-0.8502501505802469
atop_Si,upright,6,1.9,-213.91794171775905,-0.047333387532684235
atop_Si,upright,7,1.6,-209.55712167132242,4.313486658903945
atop_Si,upright,8,1.3,-192.48511128963327,21.385497040593098
atop_Si,parallel,0,6.5,-213.87060833022633,3.2862601528904634e-14
atop_Si,parallel,1,5.0,-213.87060833022633,3.2862601528904634e-14
atop_Si,parallel,2,4.0,-213.75272457088772,0.11788375933864348
atop_Si,parallel,3,3.25,-213.7293048119693,0.14130351825705123
atop_Si,parallel,4,2.75,-213.91968736522654,-0.04907903500017152
atop_Si,parallel,5,2.25,-213.54211254565774,0.32849578456862094
atop_Si,parallel,6,1.9,-212.27744895189886,1.5931593783275035
atop_Si,parallel,7,1.6,-209.8178972671011,4.052711063125263
atop_Si,parallel,8,1.3,-203.07692918791815,10.79367914230821
atop_N,upright,0,6.5,-213.87060833022633,3.2862601528904634e-14
atop_N,upright,1,5.0,-213.87060833022633,3.2862601528904634e-14
atop_N,upright,2,4.0,-213.8193721823141,0.051236147912253394
atop_N,upright,3,3.25,-214.0489925109115,-0.17838418068512407
atop_N,upright,4,2.75,-214.14577174200747,-0.2751634117811035
atop_N,upright,5,2.25,-213.89404995315095,-0.02344162292458929
atop_N,upright,6,1.9,-212.42370622149014,1.4469021087362295
atop_N,upright,7,1.6,-210.1911819481619,3.6794263820644675
atop_N,upright,8,1.3,-204.36586690111523,9.504741429111139
atop_N,parallel,0,6.5,-213.87060833022633,3.2862601528904634e-14
atop_N,parallel,1,5.0,-213.87060833022633,3.2862601528904634e-14
atop_N,parallel,2,4.0,-213.77940233227775,0.0912059979486104
atop_N,parallel,3,3.25,-213.55584705929243,0.3147612709339329
atop_N,parallel,4,2.75,-213.70883721057692,0.16177111964944846
atop_N,parallel,5,2.25,-213.05432624646943,0.8162820837569358
atop_N,parallel,6,1.9,-210.40494968915868,3.465658641067681
atop_N,parallel,7,1.6,-205.86467532968106,8.005933000545301
atop_N,parallel,8,1.3,-198.2491305882847,15.621477741941678
bridge_Si_N,upright,0,6.5,-213.87060833022633,3.2862601528904634e-14
bridge_Si_N,upright,1,5.0,-213.87060833022633,3.2862601528904634e-14
bridge_Si_N,upright,2,4.0,-213.8682408749712,0.0023674552551584682
bridge_Si_N,upright,3,3.25,-213.98007873698015,-0.10947040675378172
bridge_Si_N,upright,4,2.75,-214.21863424089645,-0.34802591067008404
bridge_Si_N,upright,5,2.25,-214.18027864515113,-0.3096703149247686
bridge_Si_N,upright,6,1.9,-213.21746337677814,0.6531449534482237
bridge_Si_N,upright,7,1.6,-210.96845049384922,2.902157836377147
bridge_Si_N,upright,8,1.3,-205.35508267904328,8.515525651183086
bridge_Si_N,parallel,0,6.5,-213.87060833022633,3.2862601528904634e-14
bridge_Si_N,parallel,1,5.0,-213.87060833022633,3.2862601528904634e-14
bridge_Si_N,parallel,2,4.0,-213.77155782551205,0.09905050471431753
bridge_Si_N,parallel,3,3.25,-213.71141892115662,0.15918940906974388
bridge_Si_N,parallel,4,2.75,-213.82182460940174,0.04878372082462068
bridge_Si_N,parallel,5,2.25,-213.49687713423418,0.37373119599218274
bridge_Si_N,parallel,6,1.9,-211.51806066030514,2.3525476699212264
bridge_Si_N,parallel,7,1.6,-206.60094452033644,7.269663809889924
bridge_Si_N,parallel,8,1.3,-189.1330577903849,24.737550539841468
