site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-213.19415102870036,-1.9539925233402755e-14
atop_Si,upright,1,5.0,-213.19415102870036,-1.9539925233402755e-14
atop_Si,upright,2,4.0,-213.36423805503506,-0.17008702633471806
atop_Si,upright,3,3.25,-213.6169371208626,-0.42278609216224616
atop_Si,upright,4,2.75,-214.00066085714192,-0.8065098284415821
atop_Si,upright,5,2.25,-214.60058914141152,-1.406438112711177
atop_Si,upright,6,1.9,-215.0153802093492,-1.8212291806488476
atop_Si,upright,7,1.6,-214.84895446752012,-1.6548034388197745
atop_Si,upright,8,1.3,-210.78767041552544,2.4064806131749013
atop_Si,parallel,0,6.5,-213.19415102870036,-1.9539925233402755e-14
atop_Si,parallel,1,5.0,-213.19415102870036,-1.9539925233402755e-14
atop_Si,parallel,2,4.0,-213.38622551075943,-0.1920744820590894
atop_Si,parallel,3,3.25,-213.7996334638796,-0.6054824351792458
atop_Si,parallel,4,2.75,-214.09668750011573,-0.9025364714153934
atop_Si,parallel,5,2.25,-214.51876569874432,-1.3246146700439763
atop_Si,parallel,6,1.9,-214.72879141862205,-1.5346403899217105
atop_Si,parallel,7,1.6,-214.2415348357575,-1.0473838070571642
atop_Si,parallel,8,1.3,-211.8747782935981,1.3193727351022435
atop_N,upright,0,6.5,-213.19415102870036,-1.9539925233402755e-14
atop_N,upright,1,5.0,-213.19415102870036,-1.9539925233402755e-14
atop_N,upright,2,4.0,-213.2531782406365,-0.05902721193614546
atop_N,upright,3,3.25,-213.66072272829325,-0.4665716995929099
atop_N,upright,4,2.75,-213.7503998030214,-0.5562487743210536
atop_N,upright,5,2.25,-213.39201691183737,-0.19786588313703213
atop_N,upright,6,1.9,-213.1024854834478,0.09166554525254789
atop_N,upright,7,1.6,-211.7296309820414,1.4645200466589277
atop_N,upright,8,1.3,-209.28836027665434,3.9057907520459967
atop_N,parallel,0,6.5,-213.19415102870036,-1.9539925233402755e-14
atop_N,parallel,1,5.0,-213.19415102870036,-1.9539925233402755e-14
atop_N,parallel,2,4.0,-213.37942347968664,-0.18527245098629486
atop_N,parallel,3,3.25,-213.62915186093545,-0.43500083223510977
atop_N,parallel,4,2.75,-213.9064773963441,-0.7123263676437457
atop_N,parallel,5,2.25,-214.09291061436497,-0.8987595856646262
atop_N,parallel,6,1.9,-212.98860218330898,0.2055488453913572
atop_N,parallel,7,1.6,-209.7685633566666,3.4255876720337515
atop_N,parallel,8,1.3,-205.2466890626949,7.947461966005429
bridge_Si_N,upright,0,6.5,-213.19415102870036,-1.9539925233402755e-14
bridge_Si_N,upright,1,5.0,-213.19415102870036,-1.9539925233402755e-14
bridge_Si_N,upright,2,4.0,-213.31551167541735,-0.12136064671701341
bridge_Si_N,upright,3,3.25,-213.68139792726473,-0.4872468985643845
bridge_Si_N,upright,4,2.75,-213.8606719214732,-0.6665208927728568
bridge_Si_N,upright,5,2.25,-213.94974412788224,-0.7555930991818993
bridge_Si_N,upright,6,1.9,-214.05323075994968,-0.8590797312493432
bridge_Si_N,upright,7,1.6,-213.2438443502563,-0.04969332155595474
bridge_Si_N,upright,8,1.3,-210.7529406039809,2.441210424719438
bridge_Si_N,parallel,0,6.5,-213.19415102870036,-1.9539925233402755e-14
bridge_Si_N,parallel,1,5.0,-213.19415102870036,-1.9539925233402755e-14
bridge_Si_N,parallel,2,4.0,-213.34651515644262,-0.15236412774227936
bridge_Si_N,parallel,3,3.25,-213.61594456872308,-0.4217935400227386
bridge_Si_N,parallel,4,2.75,-213.9737749151452,-0.7796238864448721
bridge_Si_N,parallel,5,2.25,-214.44754759214223,-1.2533965634418873
bridge_Si_N,parallel,6,1.9,-214.04784651385063,-0.853695485150288
bridge_Si_N,parallel,7,1.6,-212.80663990608707,0.3875111226132706
bridge_Si_N,parallel,8,1.3,-208.63756599789897,4.556585030801367
