site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-216.97446351882587,-2.6645352591003757e-15
atop_Si,upright,1,5.0,-216.97446351882587,-2.6645352591003757e-15
atop_Si,upright,2,4.0,-216.9512219005003,0.02324161832558236
atop_Si,upright,3,3.25,-216.9261952268253,0.0482682920005546
atop_Si,upright,4,2.75,-216.84854212828293,0.12592139054293927
atop_Si,upright,5,2.25,-216.42592204406577,0.5485414747600972
atop_Si,upright,6,1.9,-215.9367753707839,1.037688148041977
atop_Si,upright,7,1.6,-216.1169124212508,0.8575510975750804
atop_Si,upright,8,1.3,-215.62264009516656,1.351823423659309
atop_Si,parallel,0,6.5,-216.97446351882587,-1.7763568394002505e-15
atop_Si,parallel,1,5.0,-216.97446351882587,-1.7763568394002505e-15
atop_Si,parallel,2,4.0,-216.95466247774743,0.019801041078435944
atop_Si,parallel,3,3.25,-216.87705212991762,0.09741138890825418
atop_Si,parallel,4,2.75,-216.7520449311525,0.2224185876733582
atop_Si,parallel,5,2.25,-216.72299709226803,0.2514664265578386
atop_Si,parallel,6,1.9,-216.71368222694923,0.2607812918766381
atop_Si,parallel,7,1.6,-216.6353154771768,0.3391480416490804
atop_Si,parallel,8,1.3,-215.39111546687212,1.583348051953747
atop_N,upright,0,6.5,-216.97446351882587,-2.6645352591003757e-15
atop_N,upright,1,5.0,-216.97446351882587,-2.6645352591003757e-15
atop_N,upright,2,4.0,-216.91692440768787,0.057539111137995924
atop_N,upright,3,3.25,-216.87982263192544,0.09464088690043315
atop_N,upright,4,2.75,-216.83579493098011,0.1386685878457543
atop_N,upright,5,2.25,-216.742496725075,0.23196679375086848
atop_N,upright,6,1.9,-216.37333049646486,0.601133022361009
atop_N,upright,7,1.6,-215.62712069482905,1.347342823996823
atop_N,upright,8,1.3,-214.48385661132005,2.4906069075058186
atop_N,parallel,0,6.5,-216.97446351882587,-1.7763568394002505e-15
atop_N,parallel,1,5.0,-216.97446351882587,-1.7763568394002505e-15
atop_N,parallel,2,4.0,-216.89798782890682,0.0764756899190484
atop_N,parallel,3,3.25,-216.86195341529736,0.11251010352850521
atop_N,parallel,4,2.75,-216.76467608350163,0.20978743532424282
atop_N,parallel,5,2.25,-216.4180850618963,0.5563784569295631
atop_N,parallel,6,1.9,-215.6048164226102,1.3696470962156564
atop_N,parallel,7,1.6,-214.33055053424152,2.643912984584345
atop_N,parallel,8,1.3,-213.2524700658622,3.721993452963657
bridge_Si_N,upright,0,6.5,-216.97446351882587,-2.6645352591003757e-15
bridge_Si_N,upright,1,5.0,-216.97446351882587,-2.6645352591003757e-15
bridge_Si_N,upright,2,4.0,-216.93857498468248,0.035888534143393436
bridge_Si_N,upright,3,3.25,-216.90577383546537,0.06868968336050063
bridge_Si_N,upright,4,2.75,-216.82841377945067,0.14604973937519805
bridge_Si_N,upright,5,2.25,-216.65061876415956,0.32384475466630835
bridge_Si_N,upright,6,1.9,-216.1042273099073,0.8702362089185813
bridge_Si_N,upright,7,1.6,-215.6213588682541,1.3531046505717628
bridge_Si_N,upright,8,1.3,-214.85672797280847,2.117735546017397
bridge_Si_N,parallel,0,6.5,-216.97446351882587,-1.7763568394002505e-15
bridge_Si_N,parallel,1,5.0,-216.97446351882587,-1.7763568394002505e-15
bridge_Si_N,parallel,2,4.0,-216.92701538064404,0.047448138181833244
bridge_Si_N,parallel,3,3.25,-216.8533450746752,0.12111844415067985
bridge_Si_N,parallel,4,2.75,-216.75144368873873,0.22301983008713755
bridge_Si_N,parallel,5,2.25,-216.5277533560565,0.44671016276936193
bridge_Si_N,parallel,6,1.9,-216.09206435811888,0.8823991607069939
bridge_Si_N,parallel,7,1.6,-215.57477511580453,1.399688403021342
bridge_Si_N,parallel,8,1.3,-214.46301600524765,2.511447513578217
