      Step     Time          Energy          fmax
BFGS:    0 22:09:02     -225.734785        1.369354
BFGS:    1 22:09:04     -225.764982        1.512461
BFGS:    2 22:09:05     -225.869204        1.743945
BFGS:    3 22:09:07     -225.974529        1.697396
BFGS:    4 22:09:09     -226.067269        1.523823
BFGS:    5 22:09:11     -226.145739        1.500940
BFGS:    6 22:09:12     -226.218766        2.022391
BFGS:    7 22:09:14     -226.294893        2.306572
BFGS:    8 22:09:16     -226.374530        2.352583
BFGS:    9 22:09:18     -226.453559        2.213577
BFGS:   10 22:09:19     -226.527052        1.947488
BFGS:   11 22:09:21     -226.591273        1.602433
BFGS:   12 22:09:23     -226.644048        1.209811
BFGS:   13 22:09:24     -226.684187        0.793875
BFGS:   14 22:09:26     -226.711104        0.395329
BFGS:   15 22:09:28     -226.724857        0.281131
BFGS:   16 22:09:29     -226.728116        0.304154
BFGS:   17 22:09:31     -226.730016        0.258469
BFGS:   18 22:09:33     -226.733479        0.179716
BFGS:   19 22:09:34     -226.735201        0.217811
BFGS:   20 22:09:36     -226.737733        0.254706
BFGS:   21 22:09:38     -226.739147        0.189654
BFGS:   22 22:09:40     -226.739862        0.105149
BFGS:   23 22:09:41     -226.740247        0.094712
BFGS:   24 22:09:43     -226.740448        0.061579
BFGS:   25 22:09:44     -226.740515        0.028090
BFGS:   26 22:09:46     -226.740536        0.017024
BFGS:   27 22:09:48     -226.740551        0.015588
BFGS:   28 22:09:50     -226.740573        0.019705
BFGS:   29 22:09:51     -226.740598        0.021350
BFGS:   30 22:09:53     -226.740618        0.015480
BFGS:   31 22:09:55     -226.740629        0.008181
BFGS:   32 22:09:56     -226.740635        0.009436
BFGS:   33 22:09:58     -226.740640        0.008223
BFGS:   34 22:10:00     -226.740647        0.013699
BFGS:   35 22:10:01     -226.740656        0.016587
BFGS:   36 22:10:03     -226.740663        0.013744
BFGS:   37 22:10:04     -226.740666        0.007198
