      Step     Time          Energy          fmax
BFGS:    0 22:06:55     -225.745730        1.639029
BFGS:    1 22:06:57     -225.792610        1.940648
BFGS:    2 22:06:58     -225.945646        2.605130
BFGS:    3 22:07:00     -226.136596        3.083002
BFGS:    4 22:07:01     -226.351498        3.327991
BFGS:    5 22:07:03     -226.574402        3.325216
BFGS:    6 22:07:04     -226.789866        3.116647
BFGS:    7 22:07:06     -226.985207        2.762745
BFGS:    8 22:07:08     -227.149807        2.365154
BFGS:    9 22:07:09     -227.277244        2.216342
BFGS:   10 22:07:11     -227.373515        2.525087
BFGS:   11 22:07:13     -227.455972        2.967777
BFGS:   12 22:07:14     -227.537917        3.163334
BFGS:   13 22:07:16     -227.619495        3.064989
BFGS:   14 22:07:17     -227.696026        2.744737
BFGS:   15 22:07:19     -227.763070        2.269468
BFGS:   16 22:07:21     -227.817249        1.682190
BFGS:   17 22:07:22     -227.855773        1.017567
BFGS:   18 22:07:24     -227.876287        0.464999
BFGS:   19 22:07:26     -227.881532        0.277329
BFGS:   20 22:07:28     -227.887842        0.178313
BFGS:   21 22:07:30     -227.891315        0.242491
BFGS:   22 22:07:31     -227.893949        0.244407
BFGS:   23 22:07:33     -227.896669        0.178031
BFGS:   24 22:07:34     -227.899254        0.192263
BFGS:   25 22:07:36     -227.901711        0.247318
BFGS:   26 22:07:38     -227.904044        0.266571
BFGS:   27 22:07:39     -227.906019        0.217707
BFGS:   28 22:07:41     -227.907167        0.118140
BFGS:   29 22:07:43     -227.907709        0.078749
BFGS:   30 22:07:45     -227.908116        0.082726
BFGS:   31 22:07:46     -227.908457        0.055316
BFGS:   32 22:07:48     -227.908668        0.047235
BFGS:   33 22:07:50     -227.908788        0.033439
BFGS:   34 22:07:52     -227.908882        0.042111
BFGS:   35 22:07:55     -227.908973        0.035037
BFGS:   36 22:07:57     -227.909033        0.022664
BFGS:   37 22:07:59     -227.909056        0.016117
BFGS:   38 22:08:01     -227.909065        0.010937
BFGS:   39 22:08:02     -227.909072        0.009922
BFGS:   40 22:08:04     -227.909079        0.011672
BFGS:   41 22:08:06     -227.909088        0.016976
BFGS:   42 22:08:08     -227.909098        0.017251
BFGS:   43 22:08:10     -227.909109        0.011545
BFGS:   44 22:08:12     -227.909115        0.006897
