image,arc_length_A,energy_eV,relative_energy_eV,state
0,0.0,-227.9091150437823,0.0,IS
1,0.0,-227.9091150437823,0.0,evaluated relaxation
2,0.006611209415885435,-227.9090788641259,3.6179656405010974e-05,evaluated relaxation
3,0.010479261155889614,-227.90903258343417,8.246034812486869e-05,evaluated relaxation
4,0.023859698872052658,-227.90866817637337,0.00044686740892529997,evaluated relaxation
5,0.05093485477310602,-227.9071668756313,0.0019481681509887494,evaluated relaxation
6,0.13572946971296676,-227.89925358358846,0.009861460193832272,evaluated relaxation
7,0.21728181514331746,-227.8878415971009,0.021273446681391306,evaluated relaxation
8,0.3599291642668391,-227.81724906644297,0.09186597733932444,evaluated relaxation
9,0.6109087074876316,-227.5379165425183,0.37119850126399,evaluated relaxation
10,0.8648246115372713,-227.14980686273955,0.7593081810427407,evaluated relaxation
11,1.1179669535081962,-226.35149848375153,1.557616560030766,evaluated relaxation
12,1.3326955655812565,-225.74573015456465,2.163384889217639,evaluated relaxation
13,1.4526955655812561,-225.64085992167858,2.26825512210371,TS
14,1.5726955655812558,-225.73478513252815,2.174329911254148,evaluated relaxation
15,1.776255404043305,-226.06726923198602,1.8418458117962757,evaluated relaxation
16,2.0214819278715193,-226.3745295964942,1.5345854472880944,evaluated relaxation
17,2.2743456073910497,-226.6440477191365,1.2650673246457984,evaluated relaxation
18,2.495813623454281,-226.72811624619933,1.1809987975829586,evaluated relaxation
19,2.5639173563020776,-226.73773323307108,1.1713818107112104,evaluated relaxation
20,2.598067009126752,-226.74044771583218,1.1686673279501179,evaluated relaxation
21,2.603673119486561,-226.74057267105042,1.1685423727318778,evaluated relaxation
22,2.6104907744855232,-226.74063451202773,1.1684805317545681,evaluated relaxation
23,2.615930462511894,-226.74066265376734,1.1684523900149486,evaluated relaxation
24,2.6168723965716874,-226.74066601897036,1.1684490248119346,FS
