site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_Si,upright,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_Si,upright,2,4.0,-224.55466079597258,-0.050391609891232036
atop_Si,upright,3,3.25,-224.64657796819935,-0.14230878211800402
atop_Si,upright,4,2.75,-224.8531223842975,-0.34885319821615823
atop_Si,upright,5,2.25,-225.0519280856302,-0.5476588995488605
atop_Si,upright,6,1.9,-225.03172996817622,-0.5274607820948738
atop_Si,upright,7,1.6,-224.53356150315133,-0.029292317069984364
atop_Si,upright,8,1.3,-220.0432391289665,4.461030057114858
atop_Si,parallel,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_Si,parallel,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_Si,parallel,2,4.0,-224.50919642947736,-0.004927243396007697
atop_Si,parallel,3,3.25,-224.51790321846997,-0.013634032388619488
atop_Si,parallel,4,2.75,-224.52403450497428,-0.01976531889293298
atop_Si,parallel,5,2.25,-224.43778556624227,0.06648361983907947
atop_Si,parallel,6,1.9,-224.3172044991652,0.1870646869161483
atop_Si,parallel,7,1.6,-223.9067100071895,0.5975591788918457
atop_Si,parallel,8,1.3,-222.48109959114785,2.0231695949334956
atop_Si,flipped,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_Si,flipped,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_Si,flipped,2,4.0,-224.49309037534883,0.011178810732520361
atop_Si,flipped,3,3.25,-224.46961137381896,0.034657812262384624
atop_Si,flipped,4,2.75,-224.44497523819405,0.05929394788730136
atop_Si,flipped,5,2.25,-224.41229138824053,0.09197779784081561
atop_Si,flipped,6,1.9,-224.2909721766597,0.2132970094216553
atop_Si,flipped,7,1.6,-223.96168185954232,0.5425873265390244
atop_Si,flipped,8,1.3,-222.73818848293456,1.7660807031467876
atop_N,upright,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_N,upright,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_N,upright,2,4.0,-224.58582308240995,-0.08155389632859666
atop_N,upright,3,3.25,-224.62805085398622,-0.12378166790487555
atop_N,upright,4,2.75,-224.5809775562173,-0.07670837013595744
atop_N,upright,5,2.25,-224.27572700917443,0.2285421769069167
atop_N,upright,6,1.9,-223.19509731899342,1.3091718670879295
atop_N,upright,7,1.6,-221.22926088441824,3.27500830166311
atop_N,upright,8,1.3,-218.45036157445412,6.053907611627228
atop_N,parallel,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_N,parallel,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_N,parallel,2,4.0,-224.47736972040371,0.02689946567763357
atop_N,parallel,3,3.25,-224.51463517043666,-0.010365984355313884
atop_N,parallel,4,2.75,-224.54612520051708,-0.04185601443573361
atop_N,parallel,5,2.25,-224.53054897941556,-0.026279793334207824
atop_N,parallel,6,1.9,-224.44228663786643,0.06198254821491744
atop_N,parallel,7,1.6,-224.0792679498174,0.4250012362639559
atop_N,parallel,8,1.3,-222.94981831980536,1.5544508662759888
atop_N,flipped,0,6.5,-224.50426918608136,-1.0658141036401503e-14
atop_N,flipped,1,5.0,-224.50426918608136,-1.0658141036401503e-14
atop_N,flipped,2,4.0,-224.44345702074838,0.06081216533296541
atop_N,flipped,3,3.25,-224.45184312246604,0.052426063615303775
atop_N,flipped,4,2.75,-224.4491684044288,0.05510078165254484
atop_N,flipped,5,2.25,-224.33548624204084,0.16878294404050465
atop_N,flipped,6,1.9,-223.89175491161038,0.6125142744709713
atop_N,flipped,7,1.6,-222.9547920694613,1.5494771166200572
atop_N,flipped,8,1.3,-220.0196799351794,4.484589250901951
bridge_Si_N,upright,0,6.5,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,upright,1,5.0,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,upright,2,4.0,-224.57390337759705,-0.06963419151569994
bridge_Si_N,upright,3,3.25,-224.64167409404024,-0.13740490795889215
bridge_Si_N,upright,4,2.75,-224.68676529301695,-0.1824961069355986
bridge_Si_N,upright,5,2.25,-224.56943821972797,-0.06516903364662241
bridge_Si_N,upright,6,1.9,-223.94528631110182,0.5589828749795238
bridge_Si_N,upright,7,1.6,-222.2645007249047,2.2397684611766415
bridge_Si_N,upright,8,1.3,-218.76691754063663,5.737351645444722
bridge_Si_N,parallel,0,6.5,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,parallel,1,5.0,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,parallel,2,4.0,-224.50153702763927,0.0027321584420754164
bridge_Si_N,parallel,3,3.25,-224.52055584895243,-0.01628666287107805
bridge_Si_N,parallel,4,2.75,-224.55019391045062,-0.04592472436926798
bridge_Si_N,parallel,5,2.25,-224.47686016636916,0.027409019712184346
bridge_Si_N,parallel,6,1.9,-224.24249514263533,0.26177404344601385
bridge_Si_N,parallel,7,1.6,-223.82169989279387,0.6825692932874752
bridge_Si_N,parallel,8,1.3,-222.3083757757389,2.195893410342439
bridge_Si_N,flipped,0,6.5,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,flipped,1,5.0,-224.50426918608136,-1.0658141036401503e-14
bridge_Si_N,flipped,2,4.0,-224.4639407047224,0.0403284813589444
bridge_Si_N,flipped,3,3.25,-224.43635544617317,0.06791373990818173
bridge_Si_N,flipped,4,2.75,-224.42174964625335,0.08251953982800231
bridge_Si_N,flipped,5,2.25,-224.33451914929884,0.16975003678250644
bridge_Si_N,flipped,6,1.9,-224.05043149627292,0.4538376898084273
bridge_Si_N,flipped,7,1.6,-223.3892604165894,1.1150087694919542
