      Step     Time          Energy          fmax
BFGS:    0 21:47:18     -211.774225       70.126193
BFGS:    1 21:47:18     -216.836385       32.885785
BFGS:    2 21:47:19     -219.527116       18.817477
BFGS:    3 21:47:20     -220.822042       11.015514
BFGS:    4 21:47:21     -221.594474        6.296563
BFGS:    5 21:47:22     -222.079176        3.688111
BFGS:    6 21:47:22     -222.430914        2.615488
BFGS:    7 21:47:23     -222.705749        1.994706
BFGS:    8 21:47:24     -222.911819        1.418209
BFGS:    9 21:47:25     -223.050694        0.994482
BFGS:   10 21:47:26     -223.143517        0.716560
BFGS:   11 21:47:27     -223.220066        0.774942
BFGS:   12 21:47:28     -223.300989        1.133603
BFGS:   13 21:47:29     -223.401544        1.033603
BFGS:   14 21:47:30     -223.486829        1.284356
BFGS:   15 21:47:30     -223.560102        1.072212
BFGS:   16 21:47:31     -223.612464        1.277164
BFGS:   17 21:47:32     -223.654878        1.634823
BFGS:   18 21:47:33     -223.737090        2.024131
BFGS:   19 21:47:34     -223.834328        2.410918
BFGS:   20 21:47:34     -223.940039        2.625033
BFGS:   21 21:47:35     -224.054398        2.921940
BFGS:   22 21:47:36     -224.175998        3.074521
BFGS:   23 21:47:37     -224.309876        3.400456
BFGS:   24 21:47:37     -224.455679        3.582933
BFGS:   25 21:47:38     -224.620525        3.969002
BFGS:   26 21:47:39     -224.802727        4.259296
BFGS:   27 21:47:40     -224.999607        4.560638
BFGS:   28 21:47:41     -225.194049        4.594620
BFGS:   29 21:47:41     -225.376342        4.329604
BFGS:   30 21:47:42     -225.540965        3.490250
BFGS:   31 21:47:43     -225.707375        2.628833
BFGS:   32 21:47:44     -225.908857        1.767208
BFGS:   33 21:47:44     -226.113033        1.694627
BFGS:   34 21:47:45     -226.221618        1.608643
BFGS:   35 21:47:46     -226.245605        1.401636
BFGS:   36 21:47:47     -226.271664        1.231095
BFGS:   37 21:47:48     -226.308326        1.093470
BFGS:   38 21:47:48     -226.348862        1.062025
BFGS:   39 21:47:49     -226.383073        1.057586
BFGS:   40 21:47:50     -226.417094        1.013017
BFGS:   41 21:47:51     -226.455263        0.772758
BFGS:   42 21:47:51     -226.475138        0.463991
BFGS:   43 21:47:52     -226.481857        0.368053
BFGS:   44 21:47:53     -226.485709        0.310955
BFGS:   45 21:47:54     -226.489226        0.295729
BFGS:   46 21:47:55     -226.499141        0.517928
BFGS:   47 21:47:55     -226.517618        0.714881
BFGS:   48 21:47:56     -226.540432        0.724128
BFGS:   49 21:47:57     -226.559549        0.428471
BFGS:   50 21:47:58     -226.561638        0.545927
BFGS:   51 21:47:59     -226.568876        0.305251
BFGS:   52 21:47:59     -226.571696        0.289271
BFGS:   53 21:48:00     -226.583475        0.297234
BFGS:   54 21:48:01     -226.590188        0.384156
BFGS:   55 21:48:02     -226.603964        0.662868
BFGS:   56 21:48:02     -226.615077        0.712786
BFGS:   57 21:48:03     -226.626117        0.599534
BFGS:   58 21:48:04     -226.639468        0.543016
BFGS:   59 21:48:05     -226.655666        0.700095
BFGS:   60 21:48:06     -226.665213        0.867116
BFGS:   61 21:48:06     -226.686746        0.612154
BFGS:   62 21:48:07     -226.710260        0.373111
BFGS:   63 21:48:08     -226.718216        0.324485
BFGS:   64 21:48:09     -226.724445        0.251237
BFGS:   65 21:48:10     -226.728520        0.438372
BFGS:   66 21:48:11     -226.732523        0.254670
BFGS:   67 21:48:12     -226.736624        0.209591
BFGS:   68 21:48:13     -226.738639        0.114935
BFGS:   69 21:48:14     -226.739385        0.077020
BFGS:   70 21:48:15     -226.739698        0.058580
BFGS:   71 21:48:15     -226.739932        0.053580
BFGS:   72 21:48:16     -226.740235        0.062067
BFGS:   73 21:48:17     -226.740483        0.056990
BFGS:   74 21:48:18     -226.740614        0.032839
BFGS:   75 21:48:18     -226.740649        0.011749
