      Step     Time          Energy          fmax
BFGS:    0 21:45:45     -221.215819        4.445178
BFGS:    1 21:45:46     -221.771579        3.824306
BFGS:    2 21:45:46     -222.337538        2.688070
BFGS:    3 21:45:47     -222.672649        2.263760
BFGS:    4 21:45:48     -222.936999        2.487301
BFGS:    5 21:45:48     -223.191572        2.834216
BFGS:    6 21:45:49     -223.440260        3.055083
BFGS:    7 21:45:50     -223.684353        3.145802
BFGS:    8 21:45:51     -223.917979        3.246499
BFGS:    9 21:45:52     -224.135571        3.579014
BFGS:   10 21:45:53     -224.362730        3.429402
BFGS:   11 21:45:53     -224.614787        2.347918
BFGS:   12 21:45:54     -224.779559        0.750568
BFGS:   13 21:45:55     -224.859422        1.064586
BFGS:   14 21:45:56     -224.932515        1.185916
BFGS:   15 21:45:56     -225.009140        1.284481
BFGS:   16 21:45:57     -225.088295        0.830677
BFGS:   17 21:45:58     -225.129004        1.136740
BFGS:   18 21:45:59     -225.170413        0.697471
BFGS:   19 21:46:00     -225.185482        0.907574
BFGS:   20 21:46:00     -225.212145        0.527361
BFGS:   21 21:46:01     -225.240656        0.683746
BFGS:   22 21:46:02     -225.260605        0.774543
BFGS:   23 21:46:03     -225.308914        1.094870
BFGS:   24 21:46:04     -225.350381        1.375911
BFGS:   25 21:46:05     -225.402057        1.350647
BFGS:   26 21:46:06     -225.490311        1.653158
BFGS:   27 21:46:07     -225.635574        1.742109
BFGS:   28 21:46:07     -225.773724        1.705265
BFGS:   29 21:46:08     -225.852628        1.596093
BFGS:   30 21:46:09     -225.959099        1.765237
BFGS:   31 21:46:10     -226.077298        1.711965
BFGS:   32 21:46:11     -226.188696        1.533090
BFGS:   33 21:46:12     -226.321835        1.304341
BFGS:   34 21:46:13     -226.420900        1.342180
BFGS:   35 21:46:14     -226.531318        1.293742
BFGS:   36 21:46:15     -226.625682        1.252274
BFGS:   37 21:46:16     -226.665964        1.284133
BFGS:   38 21:46:16     -226.727597        1.003714
BFGS:   39 21:46:17     -226.777564        0.955586
BFGS:   40 21:46:18     -226.852005        0.949908
BFGS:   41 21:46:19     -226.965809        0.969970
BFGS:   42 21:46:20     -227.039945        1.092547
BFGS:   43 21:46:21     -227.079935        0.765160
BFGS:   44 21:46:22     -227.102347        0.562234
BFGS:   45 21:46:23     -227.118739        0.422870
BFGS:   46 21:46:23     -227.126519        0.511851
BFGS:   47 21:46:24     -227.142877        0.586465
BFGS:   48 21:46:25     -227.179426        0.669284
BFGS:   49 21:46:26     -227.204413        0.892676
BFGS:   50 21:46:27     -227.244556        1.467994
BFGS:   51 21:46:28     -227.272726        1.970892
BFGS:   52 21:46:28     -227.333529        1.654964
BFGS:   53 21:46:29     -227.480291        1.464959
BFGS:   54 21:46:30     -227.527988        1.335660
BFGS:   55 21:46:31     -227.603154        0.670626
BFGS:   56 21:46:32     -227.641773        0.654864
BFGS:   57 21:46:33     -227.679500        0.694692
BFGS:   58 21:46:33     -227.706163        0.693945
BFGS:   59 21:46:34     -227.736337        0.436547
BFGS:   60 21:46:35     -227.746135        0.252845
BFGS:   61 21:46:36     -227.751808        0.286548
BFGS:   62 21:46:37     -227.756932        0.202908
BFGS:   63 21:46:37     -227.760248        0.155213
BFGS:   64 21:46:38     -227.761215        0.120293
BFGS:   65 21:46:39     -227.762134        0.110425
BFGS:   66 21:46:40     -227.762709        0.114274
BFGS:   67 21:46:41     -227.763480        0.105987
BFGS:   68 21:46:42     -227.763955        0.075428
BFGS:   69 21:46:43     -227.764264        0.065289
BFGS:   70 21:46:44     -227.764466        0.069336
BFGS:   71 21:46:44     -227.764702        0.074761
BFGS:   72 21:46:45     -227.765044        0.088849
BFGS:   73 21:46:46     -227.765531        0.090798
BFGS:   74 21:46:47     -227.766007        0.057778
BFGS:   75 21:46:48     -227.766274        0.030720
BFGS:   76 21:46:48     -227.766371        0.030208
BFGS:   77 21:46:49     -227.766428        0.030210
BFGS:   78 21:46:50     -227.766488        0.025302
BFGS:   79 21:46:51     -227.766540        0.017563
