      Step     Time          Energy          fmax
BFGS:    0 21:48:53     -224.114165        3.619120
BFGS:    1 21:49:01     -224.297137        3.292990
BFGS:    2 21:49:09     -224.647023        2.394978
BFGS:    3 21:49:17     -224.948107        3.472790
BFGS:    4 21:49:25     -225.034821        3.031121
BFGS:    5 21:49:34     -225.206142        3.436508
BFGS:    6 21:49:42     -225.475283        3.630287
BFGS:    7 21:49:50     -225.513418        3.002105
BFGS:    8 21:49:58     -225.520079        2.893566
BFGS:    9 21:50:06     -225.513821        2.765327
BFGS:   10 21:50:14     -225.507047        2.271909
BFGS:   11 21:50:23     -225.531378        1.744976
BFGS:   12 21:50:31     -225.572751        1.526409
BFGS:   13 21:50:39     -225.574799        1.310893
BFGS:   14 21:50:48     -225.599212        1.393446
BFGS:   15 21:50:57     -225.617599        1.081458
BFGS:   16 21:51:05     -225.623786        0.781247
BFGS:   17 21:51:13     -225.628557        0.653695
BFGS:   18 21:51:22     -225.634178        0.518140
BFGS:   19 21:51:30     -225.637295        0.373976
BFGS:   20 21:51:38     -225.639070        0.331695
BFGS:   21 21:51:46     -225.641817        0.340870
BFGS:   22 21:51:55     -225.644859        0.340140
BFGS:   23 21:52:03     -225.646728        0.301634
BFGS:   24 21:52:09     -225.648007        0.251962
BFGS:   25 21:52:17     -225.649243        0.217955
BFGS:   26 21:52:24     -225.650223        0.212781
BFGS:   27 21:52:32     -225.650610        0.156048
BFGS:   28 21:52:40     -225.650631        0.167787
BFGS:   29 21:52:47     -225.650507        0.134667
BFGS:   30 21:52:55     -225.638938        0.501086
BFGS:   31 21:53:03     -225.645088        0.433490
BFGS:   32 21:53:11     -225.644577        0.403915
BFGS:   33 21:53:19     -225.641105        0.227427
BFGS:   34 21:53:27     -225.639958        0.149796
BFGS:   35 21:53:36     -225.640773        0.129164
BFGS:   36 21:53:44     -225.641697        0.190695
BFGS:   37 21:53:52     -225.642046        0.204592
BFGS:   38 21:54:00     -225.641619        0.173903
BFGS:   39 21:54:09     -225.640611        0.123255
BFGS:   40 21:54:18     -225.640128        0.087458
BFGS:   41 21:54:27     -225.640272        0.083846
BFGS:   42 21:54:36     -225.640511        0.072918
BFGS:   43 21:54:45     -225.640625        0.080384
BFGS:   44 21:54:54     -225.640522        0.129839
BFGS:   45 21:55:04     -225.640197        0.189833
BFGS:   46 21:55:13     -225.639676        0.231124
BFGS:   47 21:55:22     -225.639162        0.272956
BFGS:   48 21:55:30     -225.639134        0.317526
BFGS:   49 21:55:38     -225.639982        0.492175
BFGS:   50 21:55:47     -225.641793        0.225103
BFGS:   51 21:55:57     -225.641258        0.141667
BFGS:   52 21:56:05     -225.640311        0.143063
BFGS:   53 21:56:13     -225.639891        0.221083
BFGS:   54 21:56:21     -225.637964        0.863019
BFGS:   55 21:56:29     -225.634759        2.171208
BFGS:   56 21:56:36     -225.635090        1.805146
BFGS:   57 21:56:44     -225.637652        0.712488
BFGS:   58 21:56:53     -225.639815        0.602250
BFGS:   59 21:57:00     -225.640909        0.195137
BFGS:   60 21:57:08     -225.640628        0.276855
BFGS:   61 21:57:15     -225.640749        0.269375
BFGS:   62 21:57:23     -225.640694        0.171848
BFGS:   63 21:57:32     -225.640390        0.178562
BFGS:   64 21:57:39     -225.638667        0.527120
BFGS:   65 21:57:47     -225.638962        0.544588
BFGS:   66 21:57:54     -225.638690        0.445194
BFGS:   67 21:58:03     -225.640258        0.479686
BFGS:   68 21:58:11     -225.641312        0.532866
BFGS:   69 21:58:20     -225.639883        0.494595
BFGS:   70 21:58:27     -225.640554        0.600278
BFGS:   71 21:58:35     -225.640735        0.309806
BFGS:   72 21:58:43     -225.640213        0.273045
BFGS:   73 21:58:51     -225.638838        0.250676
BFGS:   74 21:58:59     -225.639443        0.243914
BFGS:   75 21:59:07     -225.640207        0.227639
BFGS:   76 21:59:15     -225.640225        0.202500
BFGS:   77 21:59:22     -225.639996        0.147605
BFGS:   78 21:59:30     -225.640279        0.121064
BFGS:   79 21:59:39     -225.640597        0.107788
BFGS:   80 21:59:47     -225.640664        0.079031
BFGS:   81 21:59:55     -225.640725        0.070560
