      Step     Time          Energy          fmax
FIRE:    0 22:00:40     -225.640664        0.079031
FIRE:    1 22:00:43     -225.640665        0.077932
FIRE:    2 22:00:46     -225.640666        0.075783
FIRE:    3 22:00:50     -225.640667        0.072680
FIRE:    4 22:00:53     -225.640669        0.068780
FIRE:    5 22:00:56     -225.640671        0.064297
FIRE:    6 22:00:59     -225.640674        0.059515
FIRE:    7 22:01:02     -225.640677        0.056244
FIRE:    8 22:01:05     -225.640680        0.054063
FIRE:    9 22:01:09     -225.640685        0.053474
FIRE:   10 22:01:11     -225.640690        0.052756
FIRE:   11 22:01:14     -225.640696        0.051897
FIRE:   12 22:01:17     -225.640703        0.050892
FIRE:   13 22:01:20     -225.640712        0.049750
FIRE:   14 22:01:23     -225.640722        0.048504
FIRE:   15 22:01:26     -225.640733        0.047211
FIRE:   16 22:01:29     -225.640746        0.045959
FIRE:   17 22:01:32     -225.640759        0.044866
FIRE:   18 22:01:36     -225.640774        0.044066
FIRE:   19 22:01:39     -225.640788        0.043680
FIRE:   20 22:01:42     -225.640802        0.043751
FIRE:   21 22:01:45     -225.640816        0.044118
FIRE:   22 22:01:48     -225.640830        0.044143
FIRE:   23 22:01:51     -225.640842        0.044009
FIRE:   24 22:01:54     -225.640853        0.038599
FIRE:   25 22:01:58     -225.640860        0.033255
