      Step     Time          Energy          fmax
BFGS:    0 22:02:50     -225.734785        1.369354
BFGS:    1 22:02:51     -225.764982        1.512461
BFGS:    2 22:02:54     -225.904999        1.750389
BFGS:    3 22:02:55     -226.035990        1.572376
BFGS:    4 22:02:57     -226.138923        1.630946
BFGS:    5 22:02:59     -226.234952        2.284944
BFGS:    6 22:03:01     -226.341775        2.446534
BFGS:    7 22:03:02     -226.451316        2.228200
BFGS:    8 22:03:04     -226.549393        1.807448
BFGS:    9 22:03:06     -226.627977        1.290332
BFGS:   10 22:03:08     -226.683759        0.723861
BFGS:   11 22:03:09     -226.715208        0.336017
BFGS:   12 22:03:11     -226.723696        0.378757
BFGS:   13 22:03:13     -226.725851        0.302250
BFGS:   14 22:03:15     -226.732159        0.297561
BFGS:   15 22:03:17     -226.733649        0.296682
BFGS:   16 22:03:18     -226.737648        0.169357
BFGS:   17 22:03:20     -226.738868        0.151065
BFGS:   18 22:03:22     -226.739940        0.128315
BFGS:   19 22:03:23     -226.740342        0.082583
BFGS:   20 22:03:25     -226.740480        0.037148
BFGS:   21 22:03:27     -226.740510        0.022974
BFGS:   22 22:03:29     -226.740533        0.018006
