      Step     Time          Energy          fmax
BFGS:    0 22:03:31     -225.745730        1.639029
BFGS:    1 22:03:32     -225.792610        1.940648
BFGS:    2 22:03:34     -226.005758        2.787664
BFGS:    3 22:03:35     -226.278317        3.275180
BFGS:    4 22:03:37     -226.574436        3.324283
BFGS:    5 22:03:39     -226.858150        3.013690
BFGS:    6 22:03:40     -227.103195        2.500462
BFGS:    7 22:03:42     -227.296498        2.121280
BFGS:    8 22:03:44     -227.451075        2.123801
BFGS:    9 22:03:45     -227.587074        2.070547
BFGS:   10 22:03:47     -227.705627        1.711910
BFGS:   11 22:03:49     -227.797370        1.160948
BFGS:   12 22:03:50     -227.856513        0.565890
BFGS:   13 22:03:52     -227.881597        0.346898
BFGS:   14 22:03:54     -227.884933        0.360371
BFGS:   15 22:03:56     -227.889893        0.262255
BFGS:   16 22:03:57     -227.893822        0.171529
BFGS:   17 22:03:59     -227.895973        0.254303
BFGS:   18 22:04:01     -227.898614        0.327160
BFGS:   19 22:04:02     -227.902061        0.280671
BFGS:   20 22:04:04     -227.904227        0.165675
BFGS:   21 22:04:06     -227.905313        0.151718
BFGS:   22 22:04:07     -227.906226        0.145797
BFGS:   23 22:04:09     -227.907160        0.175355
BFGS:   24 22:04:10     -227.908127        0.133710
BFGS:   25 22:04:12     -227.908710        0.051599
BFGS:   26 22:04:13     -227.908904        0.033272
BFGS:   27 22:04:15     -227.908953        0.026142
BFGS:   28 22:04:17     -227.908986        0.021751
BFGS:   29 22:04:18     -227.909013        0.020067
BFGS:   30 22:04:20     -227.909034        0.017137
