image,arc_length_A,energy_eV,relative_energy_eV
0,0.0,-227.7665398742842,0.0
1,0.26803232180300934,-227.7453813973829,0.02115847690129158
2,0.639786096024626,-227.55182470889025,0.21471516539395452
3,1.119764226628225,-227.47183177916475,0.2947080951194607
4,1.6457493996890866,-227.651216397951,0.11532347633320228
5,2.1495566039279583,-227.9013705143504,-0.13483064006618406
6,2.7011064957184723,-227.22430923829148,0.5422306359927234
7,3.3037355890181237,-225.64085992284242,2.125679951441782
8,3.645717245836592,-226.13204224506308,1.63449762922113
9,3.986543891566227,-226.583315167196,1.1832247070882147
10,4.32903525148968,-226.74064863013348,1.0258912441507277
