site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-216.45921743207896,3.552713678800501e-15
atop_Si,upright,1,5.0,-216.45921743207896,3.552713678800501e-15
atop_Si,upright,2,4.0,-216.43447241186527,0.024745020213689628
atop_Si,upright,3,3.25,-216.43050818136146,0.028709250717501078
atop_Si,upright,4,2.75,-216.31933077660585,0.1398866554731093
atop_Si,upright,5,2.25,-216.12570355951664,0.33351387256232456
atop_Si,upright,6,1.9,-215.02973420748663,1.4294832245923352
atop_Si,upright,7,1.6,-210.799405133361,5.659812298717956
atop_Si,upright,8,1.3,-194.83071470208074,21.62850272999822
atop_Si,parallel,0,6.5,-216.45921743207896,5.329070518200751e-15
atop_Si,parallel,1,5.0,-216.45921743207896,5.329070518200751e-15
atop_Si,parallel,2,4.0,-216.35234300911299,0.10687442296597816
atop_Si,parallel,3,3.25,-216.25138610320488,0.20783132887408406
atop_Si,parallel,4,2.75,-216.21944092417715,0.23977650790181393
atop_Si,parallel,5,2.25,-215.68793020483167,0.7712872272472904
atop_Si,parallel,6,1.9,-214.23284347654055,2.2263739555384117
atop_Si,parallel,7,1.6,-211.1184964443762,5.340720987702758
atop_Si,parallel,8,1.3,-202.42445557935906,14.034761852719901
atop_Si,flipped,0,6.5,-216.45921743207896,3.552713678800501e-15
atop_Si,flipped,1,5.0,-216.45921743207896,3.552713678800501e-15
atop_Si,flipped,2,4.0,-216.4394891037806,0.0197283282983598
atop_Si,flipped,3,3.25,-216.42091913151063,0.038298300568332166
atop_Si,flipped,4,2.75,-216.3622743034653,0.09694312861364907
atop_Si,flipped,5,2.25,-216.33964511155227,0.11957232052668942
atop_Si,flipped,6,1.9,-216.2929200417837,0.16629739029525936
atop_Si,flipped,7,1.6,-216.30282806349248,0.15638936858647767
atop_Si,flipped,8,1.3,-215.51283399839718,0.9463834336817776
atop_N,upright,0,6.5,-216.45921743207896,3.552713678800501e-15
atop_N,upright,1,5.0,-216.45921743207896,3.552713678800501e-15
atop_N,upright,2,4.0,-216.38717065659768,0.07204677548128657
atop_N,upright,3,3.25,-216.51443411931405,-0.05521668723508455
atop_N,upright,4,2.75,-216.38308662946912,0.07613080260984262
atop_N,upright,5,2.25,-215.66164166699508,0.7975757650838808
atop_N,upright,6,1.9,-213.6543273459813,2.804890086097661
atop_N,upright,7,1.6,-210.8550212451467,5.60419618693226
atop_N,upright,8,1.3,-205.2593164915416,11.199900940537365
atop_N,parallel,0,6.5,-216.45921743207896,5.329070518200751e-15
atop_N,parallel,1,5.0,-216.45921743207896,5.329070518200751e-15
atop_N,parallel,2,4.0,-216.26236962689313,0.1968478051858309
atop_N,parallel,3,3.25,-216.17423691090244,0.28498052117652684
atop_N,parallel,4,2.75,-216.17079399758245,0.2884234344965133
atop_N,parallel,5,2.25,-215.16097125025493,1.298246181824032
atop_N,parallel,6,1.9,-213.11162172821588,3.3475957038630835
atop_N,parallel,7,1.6,-210.62111659866457,5.8381008334143925
atop_N,parallel,8,1.3,-206.35099167149878,10.108225760580188
