site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_Si,upright,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_Si,upright,2,4.0,-218.07728468063561,-0.10913189935887324
atop_Si,upright,3,3.25,-218.15562297654736,-0.18747019527062214
atop_Si,upright,4,2.75,-218.12267723997405,-0.15452445869731157
atop_Si,upright,5,2.25,-218.10528213254065,-0.13712935126391024
atop_Si,upright,6,1.9,-217.83815810854094,0.129994672735803
atop_Si,upright,7,1.6,-217.18895925434163,0.7791935269351153
atop_Si,upright,8,1.3,-213.12631133881814,4.8418414424586
atop_Si,parallel,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_Si,parallel,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_Si,parallel,2,4.0,-218.0616241723143,-0.09347139103756952
atop_Si,parallel,3,3.25,-218.16006358504714,-0.1919108037703996
atop_Si,parallel,4,2.75,-218.12866508780007,-0.16051230652333182
atop_Si,parallel,5,2.25,-218.0618691441354,-0.09371636285864504
atop_Si,parallel,6,1.9,-217.72307213962586,0.24508064165088506
atop_Si,parallel,7,1.6,-216.61295167636953,1.3552011049072075
atop_Si,parallel,8,1.3,-212.18736711016626,5.780785671110477
atop_Si,flipped,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_Si,flipped,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_Si,flipped,2,4.0,-217.96219195057003,0.005960830706710496
atop_Si,flipped,3,3.25,-217.99840873364136,-0.030255952364614203
atop_Si,flipped,4,2.75,-217.9515146921962,0.016638089080528218
atop_Si,flipped,5,2.25,-217.90139653714675,0.06675624412998893
atop_Si,flipped,6,1.9,-217.81652800902862,0.15162477224812498
atop_Si,flipped,7,1.6,-217.54797698987136,0.4201757914053825
atop_Si,flipped,8,1.3,-216.3158440338273,1.6523087474494513
atop_N,upright,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_N,upright,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_N,upright,2,4.0,-218.12327987553627,-0.15512709425952842
atop_N,upright,3,3.25,-218.2338591818386,-0.26570640056185546
atop_N,upright,4,2.75,-218.23327481837654,-0.2651220370998022
atop_N,upright,5,2.25,-217.8305821969829,0.1375705842938384
atop_N,upright,6,1.9,-216.5314058837473,1.4367468975294297
atop_N,upright,7,1.6,-214.28193750543485,3.686215275841887
atop_N,upright,8,1.3,-212.17118168996765,5.7969710913090875
atop_N,parallel,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_N,parallel,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_N,parallel,2,4.0,-218.02874364655617,-0.06059086527942448
atop_N,parallel,3,3.25,-218.1440352863452,-0.1758825050684596
atop_N,parallel,4,2.75,-218.01480934068266,-0.046656559405919396
atop_N,parallel,5,2.25,-217.63651724494792,0.33163553632881637
atop_N,parallel,6,1.9,-216.55301808841233,1.4151346928644113
atop_N,parallel,7,1.6,-214.0152554273803,3.9528973538964305
atop_N,parallel,8,1.3,-211.05442233441826,6.913730446858478
atop_N,flipped,0,6.5,-217.96815278127676,-1.5987211554602254e-14
atop_N,flipped,1,5.0,-217.96815278127676,-1.5987211554602254e-14
atop_N,flipped,2,4.0,-217.94792362365365,0.020229157623090188
atop_N,flipped,3,3.25,-217.93349642304088,0.03465635823586233
atop_N,flipped,4,2.75,-217.87373694575138,0.09441583552536592
atop_N,flipped,5,2.25,-217.95516671103906,0.01298607023768561
atop_N,flipped,6,1.9,-217.91305853674157,0.05509424453516765
atop_N,flipped,7,1.6,-217.78280264366248,0.18535013761426278
atop_N,flipped,8,1.3,-217.22116934475537,0.7469834365213739
bridge_Si_N,upright,0,6.5,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,upright,1,5.0,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,upright,2,4.0,-218.09605914151376,-0.12790636023702184
bridge_Si_N,upright,3,3.25,-218.22377762199326,-0.25562484071652314
bridge_Si_N,upright,4,2.75,-218.19580665857598,-0.22765387729923425
bridge_Si_N,upright,5,2.25,-218.0176934636358,-0.04954068235905318
bridge_Si_N,upright,6,1.9,-217.33363519560143,0.6345175856753098
bridge_Si_N,upright,7,1.6,-215.7324250397367,2.23572774154003
bridge_Si_N,upright,8,1.3,-212.588508743668,5.37964403760874
bridge_Si_N,parallel,0,6.5,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,parallel,1,5.0,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,parallel,2,4.0,-218.05403380554935,-0.08588102427261113
bridge_Si_N,parallel,3,3.25,-218.16112744291127,-0.19297466163452448
bridge_Si_N,parallel,4,2.75,-218.03714832144166,-0.06899554016492182
bridge_Si_N,parallel,5,2.25,-217.5943673056859,0.3737854755908483
bridge_Si_N,parallel,6,1.9,-216.41807338879676,1.5500793924799847
bridge_Si_N,parallel,7,1.6,-213.98527626971148,3.982876511565264
bridge_Si_N,parallel,8,1.3,-210.76917676887695,7.198976012399795
bridge_Si_N,flipped,0,6.5,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,flipped,1,5.0,-217.96815278127676,-1.5987211554602254e-14
bridge_Si_N,flipped,2,4.0,-217.956108617782,0.012044163494733695
bridge_Si_N,flipped,3,3.25,-217.96763766680596,0.0005151144707848943
bridge_Si_N,flipped,4,2.75,-217.9087261201391,0.05942666113763373
bridge_Si_N,flipped,5,2.25,-217.91778021604293,0.05037256523381295
bridge_Si_N,flipped,6,1.9,-217.81100699438878,0.15714578688796443
bridge_Si_N,flipped,7,1.6,-217.5856391912079,0.3825135900688519
bridge_Si_N,flipped,8,1.3,-216.85236543852872,1.1157873427480194
