      Step     Time          Energy          fmax
BFGS:    0 21:36:31     -209.034284       53.252509
BFGS:    1 21:36:31     -212.898475       25.158194
BFGS:    2 21:36:32     -214.613772       10.930864
BFGS:    3 21:36:33     -215.380179        5.615016
BFGS:    4 21:36:34     -215.819913        3.075629
BFGS:    5 21:36:34     -216.083191        1.784563
BFGS:    6 21:36:35     -216.236805        1.477735
BFGS:    7 21:36:36     -216.321588        1.542124
BFGS:    8 21:36:36     -216.362797        1.517347
BFGS:    9 21:36:37     -216.404541        1.428859
BFGS:   10 21:36:38     -216.447086        1.391466
BFGS:   11 21:36:39     -216.515413        1.497001
BFGS:   12 21:36:39     -216.604366        1.428463
BFGS:   13 21:36:40     -216.635687        0.957023
BFGS:   14 21:36:41     -216.672742        0.997110
BFGS:   15 21:36:41     -216.690606        0.974578
BFGS:   16 21:36:42     -216.720494        0.785531
BFGS:   17 21:36:42     -216.735331        0.705696
BFGS:   18 21:36:43     -216.768878        0.601830
BFGS:   19 21:36:44     -216.787847        0.475988
BFGS:   20 21:36:44     -216.796853        0.317316
BFGS:   21 21:36:45     -216.801650        0.336485
BFGS:   22 21:36:45     -216.805384        0.230220
BFGS:   23 21:36:46     -216.807174        0.146367
BFGS:   24 21:36:47     -216.808351        0.130579
BFGS:   25 21:36:48     -216.809312        0.143162
BFGS:   26 21:36:49     -216.810639        0.194146
BFGS:   27 21:36:49     -216.812401        0.204285
BFGS:   28 21:36:50     -216.814040        0.150592
BFGS:   29 21:36:51     -216.814803        0.076237
BFGS:   30 21:36:52     -216.814989        0.029452
BFGS:   31 21:36:52     -216.815024        0.022787
BFGS:   32 21:36:53     -216.815042        0.022780
BFGS:   33 21:36:54     -216.815081        0.027958
BFGS:   34 21:36:54     -216.815158        0.051132
BFGS:   35 21:36:55     -216.815308        0.073897
BFGS:   36 21:36:56     -216.815524        0.076310
BFGS:   37 21:36:56     -216.815717        0.045128
BFGS:   38 21:36:57     -216.815815        0.043330
BFGS:   39 21:36:58     -216.815871        0.041317
BFGS:   40 21:36:59     -216.815962        0.045941
BFGS:   41 21:36:59     -216.816148        0.074493
BFGS:   42 21:37:00     -216.816493        0.097792
BFGS:   43 21:37:01     -216.816956        0.096418
BFGS:   44 21:37:01     -216.817423        0.064549
BFGS:   45 21:37:02     -216.817772        0.038125
BFGS:   46 21:37:03     -216.817922        0.030089
BFGS:   47 21:37:03     -216.817981        0.034833
BFGS:   48 21:37:04     -216.817972        0.045594
BFGS:   49 21:37:05     -216.818032        0.011087
