step,energy_eV,relative_to_start_eV
0,-210.33328839076188,0.0
1,-210.36363258520308,-0.030344194441198624
2,-210.42245971547229,-0.08917132471040645
3,-210.50612564325422,-0.17283725249234294
4,-210.60938060926614,-0.27609221850426025
5,-210.7256733629368,-0.3923849721749093
6,-210.84761654249505,-0.5143281517331673
7,-210.96765716532352,-0.6343687745616364
8,-211.08995319169102,-0.7566648009291441
9,-211.20466198467946,-0.871373593917582
10,-211.30323195479434,-0.9699435640324623
11,-211.38386203057544,-1.0505736398135639
12,-211.4523926966069,-1.1191043058450134
13,-211.5153515827584,-1.1820631919965194
14,-211.57230533566852,-1.2390169449066377
15,-211.6112257188157,-1.2779373280538096
16,-211.61422633692348,-1.2809379461616004
17,-211.61860926898106,-1.2853208782191814
18,-211.62671598486259,-1.2934275941007058
19,-211.6373908733887,-1.3041024826268313
20,-211.64928204437533,-1.3159936536134467
21,-211.66121546688126,-1.32792707611938
22,-211.67252507259383,-1.3392366818319488
23,-211.68315590446522,-1.3498675137033445
24,-211.69446735280712,-1.3611789620452441
25,-211.70658746515446,-1.3732990743925768
26,-211.7188458665746,-1.3855574758127318
27,-211.72952505030136,-1.3962366595394826
28,-211.7371645325275,-1.4038761417656076
29,-211.74235605035693,-1.4090676595950526
30,-211.74636231067277,-1.413073919910886
31,-211.74878966212572,-1.415501271363837
32,-211.74928802993173,-1.4159996391698542
33,-211.75023585678323,-1.4169474660213552
34,-211.75154363579156,-1.418255245029684
35,-211.75309663066426,-1.4198082399023804
36,-211.7547744313716,-1.4214860406097216
37,-211.75647041491254,-1.4231820241506625
38,-211.7581059484636,-1.424817557701715
39,-211.75978721417675,-1.4264988234148746
40,-211.76144986294688,-1.4281614721849962
41,-211.7630121858646,-1.429723795102717
42,-211.7643514571917,-1.4310630664298287
43,-211.76531497806292,-1.4320265873010385
44,-211.76583819734356,-1.432549806581676
45,-211.76608358577144,-1.432795195009561
46,-211.76615041671855,-1.4328620259566662
47,-211.76627774269394,-1.432989351932065
48,-211.76645400017736,-1.4331656094154823
49,-211.76666443960806,-1.4333760488461849
50,-211.7668937077682,-1.433605317006311
51,-211.76712839713088,-1.433840006368996
52,-211.76735887708196,-1.4340704863200813
53,-211.76760224449552,-1.4343138537336415
54,-211.76785278669362,-1.4345643959317442
55,-211.76810260473218,-1.4348142139702986
56,-211.76833670589224,-1.4350483151303592
