      Step     Time          Energy          fmax
FIRE:    0 23:01:40     -210.333288        2.559988
FIRE:    1 23:01:41     -210.363633        2.522441
FIRE:    2 23:01:41     -210.422460        2.447280
FIRE:    3 23:01:41     -210.506126        2.334680
FIRE:    4 23:01:41     -210.609381        2.185621
FIRE:    5 23:01:42     -210.725673        2.002768
FIRE:    6 23:01:42     -210.847617        1.792020
FIRE:    7 23:01:43     -210.967657        1.565086
FIRE:    8 23:01:43     -211.089953        1.351111
FIRE:    9 23:01:43     -211.204662        1.220845
FIRE:   10 23:01:44     -211.303232        1.055506
FIRE:   11 23:01:44     -211.383862        1.072470
FIRE:   12 23:01:44     -211.452393        1.034824
FIRE:   13 23:01:45     -211.515352        1.053232
FIRE:   14 23:01:45     -211.572305        1.021532
FIRE:   15 23:01:45     -211.611226        0.664522
FIRE:   16 23:01:45     -211.614226        0.842122
FIRE:   17 23:01:46     -211.618609        0.805811
FIRE:   18 23:01:46     -211.626716        0.736665
FIRE:   19 23:01:46     -211.637391        0.642303
FIRE:   20 23:01:46     -211.649282        0.535605
FIRE:   21 23:01:47     -211.661215        0.435472
FIRE:   22 23:01:47     -211.672525        0.362742
FIRE:   23 23:01:47     -211.683156        0.341737
FIRE:   24 23:01:47     -211.694467        0.367614
FIRE:   25 23:01:48     -211.706587        0.338555
FIRE:   26 23:01:48     -211.718846        0.269657
FIRE:   27 23:01:48     -211.729525        0.275602
FIRE:   28 23:01:48     -211.737165        0.249661
FIRE:   29 23:01:49     -211.742356        0.252631
FIRE:   30 23:01:49     -211.746362        0.237556
FIRE:   31 23:01:49     -211.748790        0.240162
FIRE:   32 23:01:49     -211.749288        0.237342
FIRE:   33 23:01:49     -211.750236        0.231738
FIRE:   34 23:01:50     -211.751544        0.223415
FIRE:   35 23:01:50     -211.753097        0.212467
FIRE:   36 23:01:50     -211.754774        0.199020
FIRE:   37 23:01:50     -211.756470        0.183249
FIRE:   38 23:01:50     -211.758106        0.165405
FIRE:   39 23:01:51     -211.759787        0.143703
FIRE:   40 23:01:51     -211.761450        0.118060
FIRE:   41 23:01:51     -211.763012        0.088839
FIRE:   42 23:01:51     -211.764351        0.072145
FIRE:   43 23:01:52     -211.765315        0.055609
FIRE:   44 23:01:52     -211.765838        0.061585
FIRE:   45 23:01:52     -211.766084        0.081109
FIRE:   46 23:01:52     -211.766150        0.078862
FIRE:   47 23:01:52     -211.766278        0.074506
FIRE:   48 23:01:53     -211.766454        0.068318
FIRE:   49 23:01:53     -211.766664        0.060712
FIRE:   50 23:01:53     -211.766894        0.054366
FIRE:   51 23:01:53     -211.767128        0.051122
FIRE:   52 23:01:53     -211.767359        0.047575
FIRE:   53 23:01:54     -211.767602        0.043222
FIRE:   54 23:01:54     -211.767853        0.042020
FIRE:   55 23:01:54     -211.768103        0.040524
FIRE:   56 23:01:54     -211.768337        0.034370
