      Step     Time          Energy          fmax
FIRE:    0 23:01:55     -218.233859        2.534855
FIRE:    1 23:01:55     -218.264020        2.499048
FIRE:    2 23:01:55     -218.322443        2.427258
FIRE:    3 23:01:55     -218.405445        2.319430
FIRE:    4 23:01:55     -218.507787        2.176183
FIRE:    5 23:01:56     -218.623019        1.999680
FIRE:    6 23:01:56     -218.743934        1.795108
FIRE:    7 23:01:56     -218.863163        1.573093
FIRE:    8 23:01:56     -218.984877        1.330765
FIRE:    9 23:01:57     -219.099045        1.113852
FIRE:   10 23:01:57     -219.196443        0.990024
FIRE:   11 23:01:57     -219.274597        1.055897
FIRE:   12 23:01:57     -219.339635        1.030539
FIRE:   13 23:01:57     -219.399295        1.057060
FIRE:   14 23:01:58     -219.453824        1.018241
FIRE:   15 23:01:58     -219.490721        0.658661
FIRE:   16 23:01:58     -219.492004        0.868779
FIRE:   17 23:01:58     -219.496523        0.832163
FIRE:   18 23:01:58     -219.504899        0.762317
FIRE:   19 23:01:59     -219.515967        0.666599
FIRE:   20 23:01:59     -219.528363        0.557284
FIRE:   21 23:01:59     -219.540888        0.452209
FIRE:   22 23:01:59     -219.552830        0.371521
FIRE:   23 23:01:59     -219.564074        0.344249
FIRE:   24 23:02:00     -219.575976        0.368507
FIRE:   25 23:02:00     -219.588614        0.340217
FIRE:   26 23:02:00     -219.601305        0.276347
FIRE:   27 23:02:00     -219.612327        0.276228
FIRE:   28 23:02:01     -219.620060        0.242598
FIRE:   29 23:02:01     -219.624812        0.251236
FIRE:   30 23:02:01     -219.627860        0.241680
FIRE:   31 23:02:01     -219.629354        0.209332
FIRE:   32 23:02:01     -219.629913        0.206577
FIRE:   33 23:02:02     -219.630976        0.201100
FIRE:   34 23:02:02     -219.632440        0.192960
FIRE:   35 23:02:02     -219.634174        0.182238
FIRE:   36 23:02:02     -219.636039        0.169043
FIRE:   37 23:02:02     -219.637914        0.153525
FIRE:   38 23:02:03     -219.639708        0.135908
FIRE:   39 23:02:03     -219.641533        0.114613
FIRE:   40 23:02:03     -219.643315        0.102305
FIRE:   41 23:02:03     -219.644956        0.090933
FIRE:   42 23:02:03     -219.646313        0.073509
FIRE:   43 23:02:04     -219.647198        0.056043
FIRE:   44 23:02:04     -219.647548        0.061982
FIRE:   45 23:02:04     -219.647593        0.061350
FIRE:   46 23:02:04     -219.647681        0.060122
FIRE:   47 23:02:04     -219.647806        0.058365
FIRE:   48 23:02:05     -219.647961        0.056169
FIRE:   49 23:02:05     -219.648137        0.053625
FIRE:   50 23:02:05     -219.648326        0.050814
FIRE:   51 23:02:05     -219.648521        0.047786
FIRE:   52 23:02:06     -219.648737        0.044196
FIRE:   53 23:02:06     -219.648970        0.039917
