step,energy_eV,relative_to_start_eV
0,-218.16112744291127,0.0
1,-218.19287499816474,-0.0317475552534745
2,-218.25436532483505,-0.09323788192378402
3,-218.34169651596602,-0.18056907305475534
4,-218.44930059742316,-0.2881731545118953
5,-218.5703120354771,-0.40918459256582196
6,-218.6970848996021,-0.5359574566908236
7,-218.82187888847048,-0.6607514455592138
8,-218.94916605896157,-0.7880386160503008
9,-219.06882419954255,-0.9076967566312817
10,-219.1718652569165,-1.010737814005239
11,-219.25606819504605,-1.0949407521347894
12,-219.32704679107496,-1.1659193481636976
13,-219.39113422300068,-1.2300067800894112
14,-219.4477390659589,-1.2866116230476337
15,-219.48514222653685,-1.3240147836255858
16,-219.4877155299068,-1.3265880869955424
17,-219.49241636233236,-1.3312889194210982
18,-219.50113433029065,-1.3400068873793884
19,-219.51267119003245,-1.351543747121184
20,-219.52562432132905,-1.364496878417782
21,-219.538768582136,-1.3776411392247212
22,-219.5513863511757,-1.3902589082644283
23,-219.56336575568088,-1.4022383127696116
24,-219.576142862099,-1.415015419187739
25,-219.58976524529703,-1.428637802385765
26,-219.6034550990115,-1.4423276561002467
27,-219.61538952801237,-1.4542620851011065
28,-219.62405703127766,-1.4629295883663929
29,-219.63007157519945,-1.4689441322881862
30,-219.6348258350158,-1.4736983921045237
31,-219.63822393815838,-1.4770964952471104
32,-219.64069501090844,-1.4795675679971794
33,-219.64162344041563,-1.480495997504363
34,-219.64332146663182,-1.4821940237205524
35,-219.64553044755863,-1.484403004647362
36,-219.64798721510633,-1.4868597721950607
37,-219.65051226310104,-1.4893848201897697
38,-219.65304011517418,-1.491912672262913
39,-219.65556709810605,-1.4944396551947818
40,-219.6583142347384,-1.497186791827147
41,-219.66108349079656,-1.4999560478852914
42,-219.6634862429429,-1.5023588000316295
43,-219.665247118739,-1.5041196758277238
44,-219.66654235134166,-1.5054149084303958
45,-219.66764725438077,-1.5065198114695022
46,-219.66881848043792,-1.507691037526655
47,-219.67080738262584,-1.509679939714573
48,-219.67414759941582,-1.5130201565045525
49,-219.67830962189274,-1.5171821789814715
50,-219.68307676194178,-1.5219493190305116
51,-219.68722923281578,-1.5261017899045157
52,-219.6903338928369,-1.5292064499256242
53,-219.69333458515254,-1.5322071422412762
54,-219.69768088314197,-1.5365534402307048
55,-219.702683203403,-1.5415557604917467
56,-219.70342039079878,-1.5422929478875176
57,-219.70541975741045,-1.544292314499188
58,-219.70551162792398,-1.5443841850127171
59,-219.70562523079832,-1.5444977878870532
60,-219.70570640470274,-1.5445789617914727
61,-219.70578176269655,-1.5446543197852804
62,-219.70589904132333,-1.5447715984120691
63,-219.70604646870706,-1.5449190257957923
64,-219.70617010983435,-1.5450426669230808
