site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_Si,upright,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_Si,upright,2,4.0,-229.39243303828704,0.05488510548953229
atop_Si,upright,3,3.25,-229.36866466895452,0.07865347482204754
atop_Si,upright,4,2.75,-229.37186556333415,0.0754525804424162
atop_Si,upright,5,2.25,-229.38907775677035,0.05824038700622225
atop_Si,upright,6,1.9,-228.4489512399241,0.998366903852471
atop_Si,upright,7,1.6,-224.14389996569992,5.3034181780766545
atop_Si,upright,8,1.3,-208.10955665009624,21.337761493680333
atop_Si,parallel,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_Si,parallel,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_Si,parallel,2,4.0,-229.40617574102782,0.04114240274874703
atop_Si,parallel,3,3.25,-229.40362525510545,0.0436928886711172
atop_Si,parallel,4,2.75,-229.3850380366482,0.062280107128358964
atop_Si,parallel,5,2.25,-229.5349482565219,-0.08763011274531607
atop_Si,parallel,6,1.9,-229.38057211537324,0.06674602840332966
atop_Si,parallel,7,1.6,-227.69926674290753,1.7480514008690449
atop_Si,parallel,8,1.3,-220.7263074490932,8.721010694683358
atop_Si,flipped,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_Si,flipped,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_Si,flipped,2,4.0,-229.37515513599328,0.07216300778328844
atop_Si,flipped,3,3.25,-229.30785175871335,0.13946638506321563
atop_Si,flipped,4,2.75,-229.03392202856958,0.41339611520699293
atop_Si,flipped,5,2.25,-227.57076002309725,1.87655812067932
atop_Si,flipped,6,1.9,-224.95416799578317,4.493150147993404
atop_Si,flipped,7,1.6,-221.3689711845626,8.07834695921396
atop_Si,flipped,8,1.3,-214.8383960082703,14.608922135506262
atop_N,upright,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_N,upright,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_N,upright,2,4.0,-229.3562946965361,0.09102344724045963
atop_N,upright,3,3.25,-229.408378185105,0.038939958671576846
atop_N,upright,4,2.75,-229.2795312598103,0.16778688396625796
atop_N,upright,5,2.25,-228.44285122203473,1.0044669217418374
atop_N,upright,6,1.9,-226.43637076581518,3.0109473779613865
atop_N,upright,7,1.6,-223.95237084338152,5.494947300395054
atop_N,upright,8,1.3,-218.31767290108377,11.129645242692803
atop_N,parallel,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_N,parallel,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_N,parallel,2,4.0,-229.3716532164048,0.07566492737176134
atop_N,parallel,3,3.25,-229.37518474247645,0.07213340130012114
atop_N,parallel,4,2.75,-229.29065415961026,0.15666398416631466
atop_N,parallel,5,2.25,-228.60231650476555,0.8450016390110164
atop_N,parallel,6,1.9,-227.10411948606662,2.343198657709948
atop_N,parallel,7,1.6,-224.94983744980595,4.497480693970616
atop_N,parallel,8,1.3,-221.07399686034074,8.373321283435828
atop_N,flipped,0,6.5,-229.44731814377656,1.4210854715202004e-14
atop_N,flipped,1,5.0,-229.44731814377656,1.4210854715202004e-14
atop_N,flipped,2,4.0,-229.36867994294715,0.07863820082941686
atop_N,flipped,3,3.25,-229.47239502404932,-0.025076880272749236
atop_N,flipped,4,2.75,-229.43905939293307,0.008258750843495477
