site,orientation,image,height_A,energy_eV,interaction_energy_eV
atop_Si,upright,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_Si,upright,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_Si,upright,2,4.0,-238.39885784223492,-0.05303967669123111
atop_Si,upright,3,3.25,-238.4721610979766,-0.12634293243290884
atop_Si,upright,4,2.75,-238.51377224628226,-0.16795408073857132
atop_Si,upright,5,2.25,-238.52663388311237,-0.18081571756868087
atop_Si,upright,6,1.9,-238.3417416890494,0.004076476494287107
atop_Si,upright,7,1.6,-237.70551083999868,0.640307325545006
atop_Si,upright,8,1.3,-233.5355126787781,4.810305486765582
atop_Si,parallel,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_Si,parallel,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_Si,parallel,2,4.0,-238.39225595605092,-0.0464377905072304
atop_Si,parallel,3,3.25,-238.43125728664404,-0.08543912110035379
atop_Si,parallel,4,2.75,-238.52612593889853,-0.18030777335484416
atop_Si,parallel,5,2.25,-238.67759938312633,-0.3317812175826482
atop_Si,parallel,6,1.9,-238.6513971616082,-0.305578996064515
atop_Si,parallel,7,1.6,-238.43797499279026,-0.0921568272465727
atop_Si,parallel,8,1.3,-236.4864041532826,1.8594140122610945
atop_Si,flipped,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_Si,flipped,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_Si,flipped,2,4.0,-238.4366498367437,-0.09083167120001079
atop_Si,flipped,3,3.25,-238.4824637927253,-0.13664562718161122
atop_Si,flipped,4,2.75,-238.3270847552805,0.01873341026317732
atop_Si,flipped,5,2.25,-237.74667970089592,0.599138464647762
atop_Si,flipped,6,1.9,-236.04085209941871,2.3049660661249725
atop_Si,flipped,7,1.6,-232.12049187104657,6.225326294497119
atop_Si,flipped,8,1.3,-224.84185153136815,13.503966634175537
atop_N,upright,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_N,upright,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_N,upright,2,4.0,-238.42390494751191,-0.07808678196822783
atop_N,upright,3,3.25,-238.51093568046258,-0.1651175149188937
atop_N,upright,4,2.75,-238.4525840082552,-0.10676584271151413
atop_N,upright,5,2.25,-238.0931398202727,0.25267834527097577
atop_N,upright,6,1.9,-236.97744799306201,1.3683701724816721
atop_N,upright,7,1.6,-234.47895253886668,3.866865626677008
atop_N,upright,8,1.3,-232.06586962503576,6.279948540507927
atop_N,parallel,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_N,parallel,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_N,parallel,2,4.0,-238.4198256826511,-0.0740075171074075
atop_N,parallel,3,3.25,-238.50625598820602,-0.16043782266233464
atop_N,parallel,4,2.75,-238.4472536476402,-0.10143548209650888
atop_N,parallel,5,2.25,-238.12494526739198,0.22087289815170763
atop_N,parallel,6,1.9,-237.20009758814484,1.1457205773988441
atop_N,parallel,7,1.6,-234.99938286351352,3.3464353020301694
atop_N,parallel,8,1.3,-232.10577099767568,6.24004716786801
atop_N,flipped,0,6.5,-238.34581816554368,1.0658141036401503e-14
atop_N,flipped,1,5.0,-238.34581816554368,1.0658141036401503e-14
atop_N,flipped,2,4.0,-238.47704894149672,-0.131230775953032
atop_N,flipped,3,3.25,-238.4674106026386,-0.12159243709492173
atop_N,flipped,4,2.75,-238.33030927649276,0.015508889050931174
atop_N,flipped,5,2.25,-237.70475504277374,0.6410631227699461
atop_N,flipped,6,1.9,-236.21339201534897,2.132426150194714
atop_N,flipped,7,1.6,-233.5338148921723,4.812003273371385
atop_N,flipped,8,1.3,-226.27605929877666,12.069758866767028
bridge_Si_N,upright,0,6.5,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,upright,1,5.0,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,upright,2,4.0,-238.41204200158688,-0.06622383604319637
bridge_Si_N,upright,3,3.25,-238.51008840533916,-0.16427023979547428
bridge_Si_N,upright,4,2.75,-238.4840905058333,-0.1382723402896211
bridge_Si_N,upright,5,2.25,-238.2813991193604,0.06441904618328564
bridge_Si_N,upright,6,1.9,-237.66910092781768,0.676717237726006
bridge_Si_N,upright,7,1.6,-236.1825811410048,2.1632370245388977
bridge_Si_N,upright,8,1.3,-232.89541862918867,5.450399536355018
bridge_Si_N,parallel,0,6.5,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,parallel,1,5.0,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,parallel,2,4.0,-238.40111375571496,-0.055295590171272835
bridge_Si_N,parallel,3,3.25,-238.47993919373124,-0.134121028187554
bridge_Si_N,parallel,4,2.75,-238.51403104922355,-0.16821288367986043
bridge_Si_N,parallel,5,2.25,-238.4148055742462,-0.0689874087025153
bridge_Si_N,parallel,6,1.9,-238.11179752204356,0.23402064350012708
bridge_Si_N,parallel,7,1.6,-237.34471359257816,1.0011045729655272
bridge_Si_N,parallel,8,1.3,-233.80118645532707,4.544631710216617
bridge_Si_N,flipped,0,6.5,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,flipped,1,5.0,-238.34581816554368,1.0658141036401503e-14
bridge_Si_N,flipped,2,4.0,-238.46342144062987,-0.11760327508618573
bridge_Si_N,flipped,3,3.25,-238.44894968388712,-0.10313151834343515
bridge_Si_N,flipped,4,2.75,-238.28400091083068,0.061817254713002256
bridge_Si_N,flipped,5,2.25,-237.57881619836326,0.7670019671804305
