time_s,cycle,phase,events,coverage,net_removed_nm
0.0,1,modify,0,0.0,-0.0
0.175,1,modify,25,0.09765625,-0.0
0.35,1,modify,52,0.203125,-0.0
0.5249999999999999,1,modify,67,0.26171875,-0.0
0.7,1,modify,85,0.33203125,-0.0
0.875,1,modify,97,0.37890625,-0.0
1.0499999999999998,1,modify,116,0.453125,-0.0
1.2249999999999999,1,modify,132,0.515625,-0.0
1.4,1,modify,140,0.546875,-0.0
1.575,1,modify,148,0.578125,-0.0
1.75,1,modify,157,0.61328125,-0.0
1.9249999999999998,1,modify,165,0.64453125,-0.0
2.0999999999999996,1,purge,169,0.66015625,-0.0
2.275,1,purge,169,0.66015625,-0.0
2.4499999999999997,1,purge,169,0.66015625,-0.0
2.625,1,remove,169,0.66015625,-0.0
2.8,1,remove,170,0.65625,0.00053125
2.9749999999999996,1,remove,172,0.6484375,0.0015937500000000001
3.15,1,remove,175,0.63671875,0.0031875000000000002
3.3249999999999997,1,remove,181,0.61328125,0.0063750000000000005
3.5,1,remove,183,0.60546875,0.0074375000000000005
3.675,1,remove,184,0.6015625,0.00796875
3.8499999999999996,1,remove,190,0.578125,0.011156250000000001
4.0249999999999995,1,remove,195,0.55859375,0.013812500000000002
4.199999999999999,1,remove,199,0.54296875,0.0159375
4.375,1,remove,201,0.53515625,0.017
4.55,1,remove,201,0.53515625,0.017
4.725,1,remove,207,0.51171875,0.0201875
4.8999999999999995,1,remove,207,0.51171875,0.0201875
5.074999999999999,1,remove,211,0.49609375,0.022312500000000002
5.25,1,remove,218,0.46875,0.026031250000000002
5.425,1,remove,222,0.453125,0.02815625
5.6,1,remove,223,0.44921875,0.0286875
5.7749999999999995,1,remove,224,0.4453125,0.02921875
5.949999999999999,1,remove,227,0.43359375,0.030812500000000003
6.125,1,remove,229,0.42578125,0.031875
6.3,1,remove,232,0.4140625,0.033468750000000005
6.475,1,remove,235,0.40234375,0.0350625
6.6499999999999995,1,purge,237,0.39453125,0.036125000000000004
6.824999999999999,1,purge,237,0.39453125,0.036125000000000004
7.0,2,modify,237,0.39453125,0.036125000000000004
7.175,2,modify,246,0.4296875,0.036125000000000004
7.35,2,modify,258,0.4765625,0.036125000000000004
7.5249999999999995,2,modify,267,0.51171875,0.036125000000000004
7.699999999999999,2,modify,275,0.54296875,0.036125000000000004
7.874999999999999,2,modify,285,0.58203125,0.036125000000000004
8.049999999999999,2,modify,298,0.6328125,0.036125000000000004
8.225,2,modify,305,0.66015625,0.036125000000000004
8.399999999999999,2,modify,310,0.6796875,0.036125000000000004
8.575,2,modify,318,0.7109375,0.036125000000000004
8.75,2,modify,325,0.73828125,0.036125000000000004
8.924999999999999,2,modify,329,0.75390625,0.036125000000000004
9.1,2,purge,331,0.76171875,0.036125000000000004
9.274999999999999,2,purge,331,0.76171875,0.036125000000000004
9.45,2,purge,331,0.76171875,0.036125000000000004
9.625,2,remove,333,0.75390625,0.037187500000000005
9.799999999999999,2,remove,338,0.734375,0.039843750000000004
9.975,2,remove,340,0.7265625,0.040906250000000005
10.149999999999999,2,remove,345,0.70703125,0.043562500000000004
10.325,2,remove,347,0.69921875,0.044625000000000005
10.5,2,remove,352,0.6796875,0.047281250000000004
10.674999999999999,2,remove,356,0.6640625,0.049406250000000006
10.85,2,remove,358,0.65625,0.05046875000000001
11.024999999999999,2,remove,359,0.65234375,0.051000000000000004
11.2,2,remove,364,0.6328125,0.05365625
11.375,2,remove,370,0.609375,0.056843750000000005
11.549999999999999,2,remove,376,0.5859375,0.06003125
11.725,2,remove,380,0.5703125,0.06215625
11.899999999999999,2,remove,386,0.546875,0.06534375
12.075,2,remove,389,0.53515625,0.06693750000000001
12.25,2,remove,391,0.52734375,0.068
12.424999999999999,2,remove,393,0.51953125,0.0690625
12.6,2,remove,396,0.5078125,0.07065625
12.774999999999999,2,remove,398,0.5,0.07171875000000001
12.95,2,remove,403,0.48046875,0.07437500000000001
13.125,2,remove,403,0.48046875,0.07437500000000001
13.299999999999999,2,remove,407,0.46484375,0.07650000000000001
13.475,2,remove,410,0.453125,0.07809375
13.649999999999999,2,purge,412,0.4453125,0.07915625000000001
13.825,2,purge,412,0.4453125,0.07915625000000001
14.0,3,modify,412,0.4453125,0.07915625000000001
14.174999999999999,3,modify,422,0.484375,0.07915625000000001
14.35,3,modify,434,0.53125,0.07915625000000001
14.524999999999999,3,modify,450,0.59375,0.07915625000000001
14.7,3,modify,457,0.62109375,0.07915625000000001
14.874999999999998,3,modify,466,0.65625,0.07915625000000001
15.049999999999999,3,modify,472,0.6796875,0.07915625000000001
15.225,3,modify,478,0.703125,0.07915625000000001
15.399999999999999,3,modify,482,0.71875,0.07915625000000001
15.575,3,modify,490,0.75,0.07915625000000001
15.749999999999998,3,modify,492,0.7578125,0.07915625000000001
15.924999999999999,3,modify,496,0.7734375,0.07915625000000001
16.099999999999998,3,purge,499,0.78515625,0.07915625000000001
16.275,3,purge,499,0.78515625,0.07915625000000001
16.45,3,purge,499,0.78515625,0.07915625000000001
16.625,3,remove,503,0.76953125,0.08128125
16.799999999999997,3,remove,506,0.7578125,0.082875
16.974999999999998,3,remove,509,0.74609375,0.08446875000000001
17.15,3,remove,516,0.71875,0.0881875
17.325,3,remove,522,0.6953125,0.09137500000000001
17.5,3,remove,523,0.69140625,0.09190625000000001
17.674999999999997,3,remove,527,0.67578125,0.09403125000000001
17.849999999999998,3,remove,533,0.65234375,0.09721875
18.025,3,remove,540,0.625,0.10093750000000001
18.2,3,remove,545,0.60546875,0.10359375000000001
18.375,3,remove,548,0.59375,0.1051875
18.549999999999997,3,remove,550,0.5859375,0.10625000000000001
18.724999999999998,3,remove,553,0.57421875,0.10784375
18.9,3,remove,555,0.56640625,0.10890625000000001
19.075,3,remove,559,0.55078125,0.11103125000000001
19.25,3,remove,561,0.54296875,0.11209375
19.424999999999997,3,remove,563,0.53515625,0.11315625000000001
19.599999999999998,3,remove,567,0.51953125,0.11528125
19.775,3,remove,570,0.5078125,0.116875
19.95,3,remove,573,0.49609375,0.11846875000000001
20.125,3,remove,575,0.48828125,0.11953125
20.299999999999997,3,remove,575,0.48828125,0.11953125
20.474999999999998,3,remove,577,0.48046875,0.12059375000000001
20.65,3,purge,577,0.48046875,0.12059375000000001
20.825,3,purge,577,0.48046875,0.12059375000000001
21.0,3,purge,577,0.48046875,0.12059375000000001
