time_s,cycle,phase,events,coverage,net_removed_nm
0.0,1,modify,0,0.0,-0.0
0.175,1,modify,32,0.125,-0.0
0.35,1,modify,63,0.24609375,-0.0
0.5249999999999999,1,modify,86,0.3359375,-0.0
0.7,1,modify,111,0.43359375,-0.0
0.875,1,modify,130,0.5078125,-0.0
1.0499999999999998,1,modify,140,0.546875,-0.0
1.2249999999999999,1,modify,156,0.609375,-0.0
1.4,1,modify,167,0.65234375,-0.0
1.575,1,modify,172,0.671875,-0.0
1.75,1,modify,184,0.71875,-0.0
1.9249999999999998,1,modify,196,0.765625,-0.0
2.0999999999999996,1,purge,200,0.78125,-0.0
2.275,1,purge,200,0.78125,-0.0
2.4499999999999997,1,purge,200,0.78125,-0.0
2.625,1,remove,229,0.66796875,0.015406250000000002
2.8,1,remove,264,0.53125,0.034
2.9749999999999996,1,remove,302,0.3828125,0.054187500000000006
3.15,1,remove,323,0.30078125,0.06534375
3.3249999999999997,1,remove,335,0.25390625,0.07171875000000001
3.5,1,remove,352,0.1875,0.08075
3.675,1,remove,362,0.1484375,0.0860625
3.8499999999999996,1,remove,370,0.1171875,0.0903125
4.0249999999999995,1,remove,377,0.08984375,0.09403125000000001
4.199999999999999,1,remove,382,0.0703125,0.09668750000000001
4.375,1,remove,388,0.046875,0.099875
4.55,1,remove,391,0.03515625,0.10146875000000001
4.725,1,remove,391,0.03515625,0.10146875000000001
4.8999999999999995,1,remove,393,0.02734375,0.10253125
5.074999999999999,1,remove,394,0.0234375,0.1030625
5.25,1,remove,395,0.01953125,0.10359375000000001
5.425,1,remove,396,0.015625,0.10412500000000001
5.6,1,remove,397,0.01171875,0.10465625
5.7749999999999995,1,remove,398,0.0078125,0.1051875
5.949999999999999,1,remove,398,0.0078125,0.1051875
6.125,1,remove,398,0.0078125,0.1051875
6.3,1,remove,398,0.0078125,0.1051875
6.475,1,remove,398,0.0078125,0.1051875
6.6499999999999995,1,purge,398,0.0078125,0.1051875
6.824999999999999,1,purge,398,0.0078125,0.1051875
7.0,2,modify,398,0.0078125,0.1051875
7.175,2,modify,426,0.1171875,0.1051875
7.35,2,modify,459,0.24609375,0.1051875
7.5249999999999995,2,modify,478,0.3203125,0.1051875
7.699999999999999,2,modify,494,0.3828125,0.1051875
7.874999999999999,2,modify,512,0.453125,0.1051875
8.049999999999999,2,modify,527,0.51171875,0.1051875
8.225,2,modify,545,0.58203125,0.1051875
8.399999999999999,2,modify,557,0.62890625,0.1051875
8.575,2,modify,566,0.6640625,0.1051875
8.75,2,modify,578,0.7109375,0.1051875
8.924999999999999,2,modify,586,0.7421875,0.1051875
9.1,2,purge,588,0.75,0.1051875
9.274999999999999,2,purge,588,0.75,0.1051875
9.45,2,purge,588,0.75,0.1051875
9.625,2,remove,618,0.6328125,0.12112500000000001
9.799999999999999,2,remove,647,0.51953125,0.13653125000000002
9.975,2,remove,668,0.4375,0.1476875
10.149999999999999,2,remove,687,0.36328125,0.15778125
10.325,2,remove,704,0.296875,0.1668125
10.5,2,remove,715,0.25390625,0.17265625
10.674999999999999,2,remove,732,0.1875,0.1816875
10.85,2,remove,741,0.15234375,0.18646875000000002
11.024999999999999,2,remove,751,0.11328125,0.19178125000000001
11.2,2,remove,759,0.08203125,0.19603125000000002
11.375,2,remove,759,0.08203125,0.19603125000000002
11.549999999999999,2,remove,764,0.0625,0.19868750000000002
11.725,2,remove,766,0.0546875,0.19975
11.899999999999999,2,remove,766,0.0546875,0.19975
12.075,2,remove,768,0.046875,0.2008125
12.25,2,remove,769,0.04296875,0.20134375000000002
12.424999999999999,2,remove,770,0.0390625,0.20187500000000003
12.6,2,remove,770,0.0390625,0.20187500000000003
12.774999999999999,2,remove,773,0.02734375,0.20346875
12.95,2,remove,777,0.01171875,0.20559375000000002
13.125,2,remove,778,0.0078125,0.206125
13.299999999999999,2,remove,779,0.00390625,0.20665625
13.475,2,remove,780,0.0,0.20718750000000002
13.649999999999999,2,purge,780,0.0,0.20718750000000002
13.825,2,purge,780,0.0,0.20718750000000002
14.0,3,modify,780,0.0,0.20718750000000002
14.174999999999999,3,modify,815,0.13671875,0.20718750000000002
14.35,3,modify,843,0.24609375,0.20718750000000002
14.524999999999999,3,modify,865,0.33203125,0.20718750000000002
14.7,3,modify,887,0.41796875,0.20718750000000002
14.874999999999998,3,modify,905,0.48828125,0.20718750000000002
15.049999999999999,3,modify,915,0.52734375,0.20718750000000002
