facet,temperature_K,pressure_Pa,k_m3_s,impact_probability,density_m3,hazard_s
r100,298.15,133.32236842105263,5.5977530234728e-23,6.9813246324490706e-06,3.2388059151510847e+22,1.8130035603978574
r100,303.99875,133.32236842105263,6.43950946073918e-23,7.938065810653323e-06,3.1764932704568556e+22,2.045505846708126
r100,309.84749999999997,133.32236842105263,7.374660359312076e-23,8.987485734076498e-06,3.1165330803130443e+22,2.2983372965869364
r100,315.69624999999996,133.32236842105263,8.409755846808196e-23,1.0134602555749274e-05,3.0587945963954146e+22,2.5723715741221653
r100,321.54499999999996,133.32236842105263,9.551501192578915e-23,1.1384437208020042e-05,3.0031565833780526e+22,2.868465368763669
r100,327.39374999999995,133.32236842105263,1.0806746574299101e-22,1.2742003636001037e-05,2.9495064692050356e+22,3.1874568931954554
r100,333.24249999999995,133.32236842105263,1.218247696549048e-22,1.421229969163018e-05,2.897739584843758e+22,3.5301645744349033
r100,339.09124999999995,133.32236842105263,1.3685802187919431e-22,1.5800298682632624e-05,2.8477584827160715e+22,3.897385927342173
r100,344.94,133.32236842105263,1.532394716612504e-22,1.751094156518537e-05,2.7994723244688812e+22,4.289896599319039
r100,350.78875,133.32236842105263,1.710424241523523e-22,1.934912976463385e-05,2.752796329991472e+22,4.708449574794401
r100,356.6375,133.32236842105263,1.903411478770427e-22,2.1319718605061524e-05,2.707651280648546e+22,5.15377452809389
r100,362.48625,133.32236842105263,2.1121078499629586e-22,2.3427511325756595e-05,2.6639630706055632e+22,5.626577313437437
r100,368.335,133.32236842105263,2.33727264528552e-22,2.5677253660552373e-05,2.621662300900799e+22,6.127539581071734
r100,374.18375,133.32236842105263,2.5796721865108575e-22,2.8073628954540434e-05,2.5806839115870106e+22,6.657318508897056
r100,380.03249999999997,133.32236842105263,2.8400790216916023e-22,3.0621253791684415e-05,2.540966847841424e+22,7.216546639368266
r100,385.88124999999997,133.32236842105263,3.1192711520964196e-22,3.3324674106317893e-05,2.502453756440086e+22,7.805831811918881
r100,391.72999999999996,133.32236842105263,3.418031291688693e-22,3.618836175132452e-05,2.4650907094230615e+22,8.425757181659103
r100,397.57874999999996,133.32236842105263,3.737146159212367e-22,3.9216711495908934e-05,2.428826952150476e+22,9.07688131562063
r100,403.4275,133.32236842105263,4.0774058027487175e-22,4.2414038426222894e-05,2.393614673274122e+22,9.75973835835238
r100,409.27625,133.32236842105263,4.4396029564360215e-22,4.578457572266186e-05,2.359408794432357e+22,10.474838259203041
r100,415.125,133.32236842105263,4.824532428898748e-22,4.933247278835546e-05,2.3261667777230854e+22,11.222667054151932
r100,420.97375,133.32236842105263,5.232990522810899e-22,5.306179370420376e-05,2.2938484492258626e+22,12.003687195563415
r100,426.8225,133.32236842105263,5.665774484917299e-22,5.6976515986731625e-05,2.262415837033652e+22,12.81833792373808
r100,432.67125,133.32236842105263,6.123681985754379e-22,6.108052962601944e-05,2.231833022421286e+22,13.667035674612979
r100,438.52,133.32236842105263,6.60751062824618e-22,6.537763638199844e-05,2.2020660029241445e+22,14.550174518420867
r100,444.36875,133.32236842105263,7.118057484300046e-22,6.987154931845491e-05,2.173082566229727e+22,15.468126624553458
r100,450.2175,133.32236842105263,7.656118658488034e-22,7.456589255515565e-05,2.144852173898829e+22,16.421242748285444
r100,456.06624999999997,133.32236842105263,8.2224888778724755e-22,7.946420121957191e-05,2.1173458540339172e+22,17.409852735403284
r100,461.91499999999996,133.32236842105263,8.81796110701649e-22,8.456992158073559e-05,2.0905361021016765e+22,18.434266041146437
r100,467.76374999999996,133.32236842105263,9.443326187210711e-22,8.988641134879449e-05,2.0643967891960333e+22,19.49477226020861
r100,473.61249999999995,133.32236842105263,1.0099372498945235e-21,9.541694012484537e-05,2.0389030770984635e+22,20.59164166486304
r100,479.46124999999995,133.32236842105263,1.0786885646659509e-21,0.00010116468998659955,2.0140313395551692e+22,21.72512574857008
r100,485.30999999999995,133.32236842105263,1.1506648164811957e-21,0.0001071327561963807,1.989759089246659e+22,22.895457772697977
r100,491.15874999999994,133.32236842105263,1.2259439244324413e-21,0.0001133241480188613,1.9660649099752286e+22,24.10285331423946
r100,497.00749999999994,133.32236842105263,1.3046034478473266e-21,0.00011974178963681009,1.9429283936405306e+22,25.34751081263904
r100,502.85624999999993,133.32236842105263,1.3867205627319341e-21,0.0001263885211539508,1.9203300816133758e+22,26.629612114059615
r100,508.705,133.32236842105263,1.4723720399790478e-21,0.0001332670996748173,1.898251410153814e+22,27.949323011612755
r100,514.55375,133.32236842105263,1.5616342252555308e-21,0.00014038020045223628,1.876674659551691e+22,29.306793780256918
r100,520.4024999999999,133.32236842105263,1.654583020485211e-21,0.00014773041809377127,1.8555829066968282e+22,30.702159705231654
r100,526.25125,133.32236842105263,1.751293866846364e-21,0.00015532026781913007,1.8349599808120091e+22,32.13554160304593
r100,532.0999999999999,133.32236842105263,1.8518417292055762e-21,0.00016315218676115655,1.8147904221054239e+22,33.60704633417426
r100,537.94875,133.32236842105263,1.9563010819126818e-21,0.00017122853530362577,1.7950594431203639e+22,35.11676730673944
r100,543.7975,133.32236842105263,2.0647458958841193e-21,0.0001795515984496,1.7757528925791234e+22,36.664784970570985
r100,549.64625,133.32236842105263,2.177249626905094e-21,0.00018812358721463532,1.7568572215352984e+22,38.25116730113248
r100,555.4949999999999,133.32236842105263,2.2938852050835106e-21,0.00019694664003959363,1.7383594516643643e+22,39.87597027289969
r100,561.34375,133.32236842105263,2.4147250253916575e-21,0.00020602282421828435,1.7202471455365735e+22,41.53923832185729
r100,567.1925,133.32236842105263,2.5398409392341334e-21,0.00021535413733556204,1.7025083787290836e+22,43.24100479685257
r100,573.04125,133.32236842105263,2.6693042469834313e-21,0.0002249425087119147,1.6851317136459127e+22,44.98129239961502
r100,578.89,133.32236842105263,2.8031856914270366e-21,0.00023478980085092968,1.6681061749249356e+22,46.76011361330665
r100,584.73875,133.32236842105263,2.9415554520725675e-21,0.0002448978108863666,1.6514212263208071e+22,48.57747111952335
r100,590.5875,133.32236842105263,3.0844831402599407e-21,0.0002552682720258809,1.6350667489614932e+22,50.43335820371359
r100,596.43625,133.32236842105263,3.2320377950320067e-21,0.00026590285498873204,1.6190330208841196e+22,52.32775914902319
r100,602.285,133.32236842105263,3.384287879717374e-21,0.0002768031694350791,1.6033106977631783e+22,54.2606496186113
r100,608.13375,133.32236842105263,3.541301279181468e-21,0.0002879707653847151,1.587890794750819e+22,56.231997026515536
r100,613.9825,133.32236842105263,3.703145297704034e-21,0.0002994071346233228,1.5727646693550648e+22,58.24176089717248
r100,619.83125,133.32236842105263,3.8698866574433685e-21,0.00031111371209454686,1.5579240052874002e+22,60.28989321372442
r100,625.68,133.32236842105263,4.041591497449607e-21,0.0003230918772763687,1.5433607972163022e+22,62.37633875526454
