pathway,temperature_K,assumed_prefactor_s,barrier_eV,conditional_hazard_s,interpretation
P1a,300.0,100000000000.0,0.45,2756.339582670432,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,300.0,1000000000000.0,0.45,27563.39582670432,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,300.0,10000000000000.0,0.45,275633.95826704317,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,400.0,100000000000.0,0.45,213919.08948032578,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,400.0,1000000000000.0,0.45,2139190.8948032577,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,400.0,10000000000000.0,0.45,21391908.94803258,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,500.0,100000000000.0,0.45,2912055.4015155914,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,500.0,1000000000000.0,0.45,29120554.015155915,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,500.0,10000000000000.0,0.45,291205540.1515591,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,600.0,100000000000.0,0.45,16602227.509194156,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,600.0,1000000000000.0,0.45,166022275.09194157,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1a,600.0,10000000000000.0,0.45,1660222750.9194157,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,300.0,100000000000.0,2.1,5.266871250102575e-25,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,300.0,1000000000000.0,2.1,5.266871250102575e-24,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,300.0,10000000000000.0,2.1,5.266871250102575e-23,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,400.0,100000000000.0,2.1,3.4766784572117766e-16,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,400.0,1000000000000.0,2.1,3.476678457211777e-15,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,400.0,10000000000000.0,2.1,3.4766784572117766e-14,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
P1b,500.0,100000000000.0,2.1,6.806621814074356e-11,Sensitivity of occupied reaction complex only; reference conventions/prefactors unresolved
