surface,species,best_site,best_orientation,lowest_sampled_minimum_eV,highest_sampled_minimum_eV,spread_of_sampled_minima_eV
Si100,CH3F,hollow,upright,-0.3470318983892007,-0.08242832506403985,0.2646035733251608
Si100,Cl2,hollow,upright,-0.7085066780795684,-0.3020803713249576,0.4064263067546108
Si100,F2,hollow,parallel,-2.068655228901255,-1.0070818243243504,1.0615734045769045
Si100,H2,atop_Si,upright,-3.108624468950438e-14,-3.019806626980426e-14,8.881784197001252e-16
Si100,H2O,hollow,upright,-0.46257829674864226,-0.0874854624568222,0.37509283429182005
Si100,HCl,hollow,upright,-0.4380584230948976,-0.09995285785677233,0.3381055652381253
Si100,HF,hollow,upright,-0.6950823003958408,-0.23083915456139614,0.4642431458344447
Si100,SiCl4,atop_Si,flipped,-0.2909752885405439,-0.04979033810959521,0.24118495043094867
Si100,SiF4,atop_Si,flipped,-0.4117826296662095,-0.11958147693953336,0.2922011527266761
Si111,CH3F,hollow,parallel,-1.223097195220145,-0.46655061571571466,0.7565465795044304
Si111,Cl2,atop_Si,parallel,-1.5786393413345605,-0.9800338438757832,0.5986054974587773
Si111,F2,hollow,parallel,-2.5844397878508314,-2.008397460918351,0.5760423269324804
Si111,H2,hollow,parallel,-0.5060791321512017,-0.23442661326359637,0.27165251888760533
Si111,H2O,bridge_Si_Si,upright,-1.4997707883630476,-0.21685491235889387,1.2829158760041537
Si111,HCl,bridge_Si_Si,parallel,-0.8381226645830058,-0.19837819071343787,0.6397444738695679
Si111,HF,bridge_Si_Si,upright,-1.4266923500106135,-0.821829616195787,0.6048627338148265
Si111,SiCl4,atop_Si,flipped,-1.0043153706701382,-0.07176634079478106,0.9325490298753571
Si111,SiF4,hollow,flipped,-1.2389006468116186,-0.326954606161042,0.9119460406505766
alpha_quartz_001,CH3F,atop_O,flipped,-1.0161949034376114,-0.009633958216102911,1.0065609452215085
alpha_quartz_001,Cl2,atop_O,upright,-0.4131180702611692,1.4210854715202004e-14,0.4131180702611834
alpha_quartz_001,F2,atop_O,upright,-0.764428081024533,-0.3488605125374882,0.4155675684870448
alpha_quartz_001,H2,atop_O,upright,-0.25597964185328337,-0.1925312995368902,0.06344834231639318
alpha_quartz_001,H2O,atop_O,flipped,-0.5288086245923793,7.105427357601002e-15,0.5288086245923864
alpha_quartz_001,HCl,atop_O,flipped,-0.35951078320077023,3.197442310920451e-14,0.3595107832008022
alpha_quartz_001,HF,atop_O,flipped,-0.7471461289860972,-0.00936911418288311,0.7377770148032141
alpha_quartz_001,SiCl4,atop_Si,flipped,-0.500501245878521,-0.11918245032449448,0.3813187955540265
alpha_quartz_001,SiF4,atop_Si,flipped,-0.12870294064481413,-0.062443502765521686,0.06625943787929245
beta_Si3N4_001,CH3F,atop_N,flipped,-0.20487277533539938,-7.105427357601002e-15,0.20487277533539228
beta_Si3N4_001,Cl2,atop_Si,upright,-0.8502501505802469,3.2862601528904634e-14,0.8502501505802798
beta_Si3N4_001,F2,atop_Si,upright,-1.8212291806488476,-0.5562487743210536,1.264980406327794
beta_Si3N4_001,H2,atop_Si,upright,-2.6645352591003757e-15,-1.7763568394002505e-15,8.881784197001252e-16
beta_Si3N4_001,H2O,atop_Si,upright,-0.5476588995488605,-1.0658141036401503e-14,0.5476588995488498
beta_Si3N4_001,HCl,atop_N,upright,-0.05521668723508455,5.329070518200751e-15,0.05521668723508988
beta_Si3N4_001,HF,atop_N,upright,-0.26570640056185546,-1.5987211554602254e-14,0.2657064005618395
beta_Si3N4_001,SiCl4,atop_Si,parallel,-0.08763011274531607,1.4210854715202004e-14,0.08763011274533028
beta_Si3N4_001,SiF4,atop_Si,parallel,-0.3317812175826482,-0.11760327508618573,0.2141779424964625
