cycle,phase,time_s,coverage,removed_nm,deposited_nm,net_removed_nm,roughness_nm,events
1,modify,2.0,0.751953125,0.0,0.0,0.0,0.0,385
1,purge,2.5,0.751953125,0.0,0.0,0.0,0.0,385
1,remove,4.5,0.115234375,0.08659375000000001,0.0,0.08659375000000001,0.06540850450008394,711
1,purge,5.0,0.115234375,0.08659375000000001,0.0,0.08659375000000001,0.06540850450008394,711
2,modify,7.0,0.80078125,0.08659375000000001,0.0,0.08659375000000001,0.06540850450008394,1062
2,purge,7.5,0.80078125,0.08659375000000001,0.0,0.08659375000000001,0.06540850450008394,1062
2,remove,9.5,0.142578125,0.176109375,0.0,0.176109375,0.09397533206703437,1399
2,purge,10.0,0.142578125,0.176109375,0.0,0.176109375,0.09397533206703437,1399
3,modify,12.0,0.798828125,0.176109375,0.0,0.176109375,0.09397533206703437,1735
3,purge,12.5,0.798828125,0.176109375,0.0,0.176109375,0.09397533206703437,1735
3,remove,14.5,0.158203125,0.263234375,0.0,0.263234375,0.1079990223027939,2063
3,purge,15.0,0.158203125,0.263234375,0.0,0.263234375,0.1079990223027939,2063
4,modify,17.0,0.81640625,0.263234375,0.0,0.263234375,0.1079990223027939,2400
4,purge,17.5,0.81640625,0.263234375,0.0,0.263234375,0.1079990223027939,2400
4,remove,19.5,0.140625,0.35514062500000004,0.0,0.35514062500000004,0.11680223231860501,2746
4,purge,20.0,0.140625,0.35514062500000004,0.0,0.35514062500000004,0.11680223231860501,2746
5,modify,22.0,0.779296875,0.35514062500000004,0.0,0.35514062500000004,0.11680223231860501,3073
5,purge,22.5,0.779296875,0.35514062500000004,0.0,0.35514062500000004,0.11680223231860501,3073
5,remove,24.5,0.1484375,0.44093750000000004,0.0,0.44093750000000004,0.13222469925755173,3396
5,purge,25.0,0.1484375,0.44093750000000004,0.0,0.44093750000000004,0.13222469925755173,3396
