cycle,phase,time_s,coverage,removed_nm,deposited_nm,net_removed_nm
1,modify,2.0,0.7603419203286828,0.0,0.0,0.0
1,purge,2.5,0.76033734462143,0.0,0.0,0.0
1,remove,4.5,0.14250915481268803,0.08402342580705233,0.0,0.08402342580705233
1,purge,5.0,0.1425082971982966,0.08402342580705233,0.0,0.08402342580705233
2,modify,7.0,0.7944933593534647,0.08402342580705233,0.0,0.08402342580705233
2,purge,7.5,0.7944885781242184,0.08402342580705233,0.0,0.08402342580705233
2,remove,9.5,0.14891008126555919,0.17182083911417884,0.0,0.17182083911417884
2,purge,10.0,0.1489091851306485,0.17182083911417884,0.0,0.17182083911417884
3,modify,12.0,0.7960273018552264,0.17182083911417884,0.0,0.17182083911417884
3,purge,12.5,0.7960225113947754,0.17182083911417884,0.0,0.17182083911417884
3,remove,14.5,0.1491975846158451,0.2597877644533834,0.0,0.2597877644533834
3,purge,15.0,0.14919668675075076,0.2597877644533834,0.0,0.2597877644533834
4,modify,17.0,0.7960962002579264,0.2597877644533834,0.0,0.2597877644533834
4,purge,17.5,0.7960914093828476,0.2597877644533834,0.0,0.2597877644533834
4,remove,19.5,0.14921049808658005,0.3477623035774823,0.0,0.3477623035774823
4,purge,20.0,0.14920960014377296,0.3477623035774823,0.0,0.3477623035774823
5,modify,22.0,0.7960992948914535,0.3477623035774823,0.0,0.3477623035774823
5,purge,22.5,0.7960945039977513,0.3477623035774823,0.0,0.3477623035774823
5,remove,24.5,0.14921107810669546,0.43573718468155564,0.0,0.43573718468155564
5,purge,25.0,0.14921018016039783,0.43573718468155564,0.0,0.43573718468155564
