backend,sites,seed,net_removed_nm
cpp,128,0,0.43775000000000003
cpp,128,1,0.42181250000000003
cpp,128,2,0.4536875
cpp,128,3,0.4451875
cpp,128,4,0.4366875
cpp,128,5,0.44200000000000006
cpp,128,6,0.418625
cpp,128,7,0.43031250000000004
cpp,128,8,0.46006250000000004
cpp,128,9,0.4505
cpp,128,10,0.42287500000000006
cpp,128,11,0.43350000000000005
cpp,128,12,0.42818750000000005
cpp,128,13,0.439875
cpp,128,14,0.44093750000000004
cpp,128,15,0.448375
cpp,128,16,0.44625000000000004
cpp,128,17,0.42287500000000006
cpp,128,18,0.44625000000000004
cpp,128,19,0.4451875
cpp,128,20,0.431375
cpp,128,21,0.44943750000000005
cpp,128,22,0.42818750000000005
cpp,128,23,0.44093750000000004
cpp,128,24,0.41437500000000005
cpp,128,25,0.43350000000000005
cpp,128,26,0.42818750000000005
cpp,128,27,0.448375
cpp,128,28,0.42181250000000003
cpp,128,29,0.4345625
cpp,128,30,0.4430625
cpp,128,31,0.4558125
cpp,128,32,0.4345625
cpp,128,33,0.43350000000000005
cpp,128,34,0.42181250000000003
cpp,128,35,0.4260625
cpp,128,36,0.439875
cpp,128,37,0.439875
cpp,128,38,0.42818750000000005
cpp,128,39,0.42500000000000004
cpp,128,40,0.431375
cpp,128,41,0.41968750000000005
cpp,128,42,0.43350000000000005
cpp,128,43,0.47387500000000005
cpp,128,44,0.44093750000000004
cpp,128,45,0.42818750000000005
cpp,128,46,0.46006250000000004
cpp,128,47,0.44412500000000005
cpp,128,48,0.431375
cpp,128,49,0.43243750000000003
cpp,128,50,0.43243750000000003
cpp,128,51,0.4366875
cpp,128,52,0.4451875
cpp,128,53,0.41968750000000005
cpp,128,54,0.431375
cpp,128,55,0.43562500000000004
cpp,128,56,0.448375
cpp,128,57,0.4366875
cpp,128,58,0.44625000000000004
cpp,128,59,0.45262500000000006
cpp,128,60,0.45262500000000006
cpp,128,61,0.4260625
cpp,128,62,0.44200000000000006
cpp,128,63,0.43881250000000005
cpp,128,64,0.4366875
cpp,128,65,0.4345625
cpp,128,66,0.4643125
cpp,128,67,0.44093750000000004
cpp,128,68,0.42287500000000006
cpp,128,69,0.4239375
cpp,128,70,0.4366875
cpp,128,71,0.439875
cpp,128,72,0.4260625
cpp,128,73,0.448375
cpp,128,74,0.43775000000000003
cpp,128,75,0.4505
cpp,128,76,0.431375
cpp,128,77,0.42181250000000003
cpp,128,78,0.44093750000000004
cpp,128,79,0.448375
cpp,128,80,0.42500000000000004
cpp,128,81,0.43243750000000003
cpp,128,82,0.43562500000000004
cpp,128,83,0.4430625
cpp,128,84,0.43031250000000004
cpp,128,85,0.4366875
cpp,128,86,0.43562500000000004
cpp,128,87,0.44412500000000005
cpp,128,88,0.44625000000000004
cpp,128,89,0.439875
cpp,128,90,0.4345625
cpp,128,91,0.459
cpp,128,92,0.44093750000000004
cpp,128,93,0.44093750000000004
cpp,128,94,0.44625000000000004
cpp,128,95,0.418625
cpp,128,96,0.43775000000000003
cpp,128,97,0.43562500000000004
cpp,128,98,0.41968750000000005
cpp,128,99,0.4133125
cpp,128,100,0.42075
cpp,128,101,0.439875
cpp,128,102,0.4430625
cpp,128,103,0.4366875
cpp,128,104,0.44093750000000004
cpp,128,105,0.4675
cpp,128,106,0.41968750000000005
cpp,128,107,0.44093750000000004
cpp,128,108,0.42500000000000004
cpp,128,109,0.43031250000000004
cpp,128,110,0.45156250000000003
cpp,128,111,0.42500000000000004
cpp,128,112,0.41968750000000005
cpp,128,113,0.431375
cpp,128,114,0.431375
cpp,128,115,0.41650000000000004
cpp,128,116,0.43350000000000005
cpp,128,117,0.43243750000000003
cpp,128,118,0.43243750000000003
cpp,128,119,0.43881250000000005
cpp,128,120,0.41968750000000005
cpp,128,121,0.439875
cpp,128,122,0.41118750000000004
cpp,128,123,0.43350000000000005
cpp,128,124,0.44625000000000004
cpp,128,125,0.43350000000000005
cpp,128,126,0.43031250000000004
cpp,128,127,0.43031250000000004
cpp,512,0,0.43350000000000005
cpp,512,1,0.42818750000000005
cpp,512,2,0.44385937500000006
cpp,512,3,0.43535937500000005
cpp,512,4,0.4345625
cpp,512,5,0.43828125
cpp,512,6,0.42685937500000004
cpp,512,7,0.43615625
cpp,512,8,0.43854687500000006
cpp,512,9,0.43881250000000005
cpp,512,10,0.425796875
cpp,512,11,0.431375
cpp,512,12,0.44917187500000005
cpp,512,13,0.43243750000000003
cpp,512,14,0.439609375
cpp,512,15,0.44093750000000004
cpp,512,16,0.43243750000000003
cpp,512,17,0.42845312500000005
cpp,512,18,0.43296875
cpp,512,19,0.43589062500000003
cpp,512,20,0.43376562500000004
cpp,512,21,0.44226562500000005
cpp,512,22,0.421015625
cpp,512,23,0.4366875
cpp,512,24,0.4239375
cpp,512,25,0.439875
cpp,512,26,0.43589062500000003
cpp,512,27,0.44625000000000004
cpp,512,28,0.446515625
cpp,512,29,0.43881250000000005
cpp,512,30,0.43695312500000005
cpp,512,31,0.44917187500000005
cpp,512,32,0.4430625
cpp,512,33,0.43828125
cpp,512,34,0.43695312500000005
cpp,512,35,0.43509375000000006
cpp,512,36,0.42632812500000006
cpp,512,37,0.436421875
cpp,512,38,0.43376562500000004
cpp,512,39,0.43296875
cpp,512,40,0.44120312500000003
cpp,512,41,0.43828125
cpp,512,42,0.44093750000000004
cpp,512,43,0.440140625
cpp,512,44,0.43296875
cpp,512,45,0.42367187500000003
cpp,512,46,0.43934375000000003
cpp,512,47,0.432703125
cpp,512,48,0.429515625
cpp,512,49,0.43350000000000005
cpp,512,50,0.43775000000000003
cpp,512,51,0.42898437500000003
cpp,512,52,0.4260625
cpp,512,53,0.43350000000000005
cpp,512,54,0.44200000000000006
cpp,512,55,0.44279687500000003
cpp,512,56,0.43721875000000004
cpp,512,57,0.43854687500000006
cpp,512,58,0.44970312500000004
cpp,512,59,0.443328125
cpp,512,60,0.439609375
cpp,512,61,0.43217187500000004
cpp,512,62,0.44200000000000006
cpp,512,63,0.42712500000000003
cpp,512,64,0.42712500000000003
cpp,512,65,0.445453125
cpp,512,66,0.43589062500000003
cpp,512,67,0.439609375
cpp,512,68,0.43084375
cpp,512,69,0.43615625
cpp,512,70,0.43084375
cpp,512,71,0.44226562500000005
cpp,512,72,0.444921875
cpp,512,73,0.44120312500000003
cpp,512,74,0.43403125000000004
cpp,512,75,0.43190625000000005
cpp,512,76,0.44067187500000005
cpp,512,77,0.42526562500000004
cpp,512,78,0.44359375
cpp,512,79,0.441734375
cpp,512,80,0.42367187500000003
cpp,512,81,0.43881250000000005
cpp,512,82,0.43721875000000004
cpp,512,83,0.43775000000000003
cpp,512,84,0.432703125
cpp,512,85,0.438015625
cpp,512,86,0.441734375
cpp,512,87,0.439609375
cpp,512,88,0.43854687500000006
cpp,512,89,0.43854687500000006
cpp,512,90,0.43084375
cpp,512,91,0.43854687500000006
cpp,512,92,0.43828125
cpp,512,93,0.44731250000000006
cpp,512,94,0.43721875000000004
cpp,512,95,0.43589062500000003
cpp,512,96,0.434828125
cpp,512,97,0.43217187500000004
cpp,512,98,0.43164062500000006
cpp,512,99,0.43057812500000003
cpp,512,100,0.42314062500000005
cpp,512,101,0.43031250000000004
cpp,512,102,0.43589062500000003
cpp,512,103,0.434296875
cpp,512,104,0.43376562500000004
cpp,512,105,0.44625000000000004
cpp,512,106,0.43376562500000004
cpp,512,107,0.42553125
cpp,512,108,0.4239375
cpp,512,109,0.43562500000000004
cpp,512,110,0.439609375
cpp,512,111,0.43535937500000005
cpp,512,112,0.43854687500000006
cpp,512,113,0.439875
cpp,512,114,0.42632812500000006
cpp,512,115,0.425796875
cpp,512,116,0.432703125
cpp,512,117,0.43721875000000004
cpp,512,118,0.43057812500000003
cpp,512,119,0.44120312500000003
cpp,512,120,0.451828125
cpp,512,121,0.43589062500000003
cpp,512,122,0.43296875
cpp,512,123,0.4345625
cpp,512,124,0.43376562500000004
cpp,512,125,0.44200000000000006
cpp,512,126,0.43350000000000005
cpp,512,127,0.432703125
cpp,2048,0,0.4373515625
cpp,2048,1,0.43967578125
cpp,2048,2,0.4376171875
cpp,2048,3,0.44093750000000004
cpp,2048,4,0.44027343750000003
cpp,2048,5,0.43436328125
cpp,2048,6,0.43794921875000004
cpp,2048,7,0.43934375000000003
cpp,2048,8,0.43569140625
cpp,2048,9,0.43828125
cpp,2048,10,0.43489453125000005
cpp,2048,11,0.4357578125
cpp,2048,12,0.4386796875
cpp,2048,13,0.43416406250000006
cpp,2048,14,0.44060546875
cpp,2048,15,0.43608984375000004
cpp,2048,16,0.43502734375
cpp,2048,17,0.43589062500000003
cpp,2048,18,0.43104296875000003
cpp,2048,19,0.43814843750000004
cpp,2048,20,0.44027343750000003
cpp,2048,21,0.43442968750000005
cpp,2048,22,0.43396484375000005
cpp,2048,23,0.43662109375
cpp,2048,24,0.43622265625
cpp,2048,25,0.4423984375
cpp,2048,26,0.438015625
cpp,2048,27,0.43496093750000003
cpp,2048,28,0.4320390625
cpp,2048,29,0.43296875
cpp,2048,30,0.43602343750000006
cpp,2048,31,0.43821484375
cpp,2048,32,0.43535937500000005
cpp,2048,33,0.439609375
cpp,2048,34,0.43608984375000004
cpp,2048,35,0.43662109375
cpp,2048,36,0.43808203125000006
cpp,2048,37,0.43469531250000004
cpp,2048,38,0.43768359375000004
cpp,2048,39,0.43562500000000004
cpp,2048,40,0.43356640625000004
cpp,2048,41,0.4336328125
cpp,2048,42,0.434296875
cpp,2048,43,0.44146875
cpp,2048,44,0.4366875
cpp,2048,45,0.43237109375000005
cpp,2048,46,0.43529296875
cpp,2048,47,0.43980859375000003
