member,bytes,species,counts,sha256,source_doi
data/adsorbates/SiCl2/CONTCAR,21927,H Si Cl,46 129 2,03b95cc6a2095a40353f79c872b331a4c57e791b8aa20ba9278c6c16d4e55925,10.5281/zenodo.10211009
data/adsorbates/SiCl2H/CONTCAR,22182,H Si Cl H,47 129 2 1,fba94d404854267efb8ae2d6afb93a15bee97ff5e03e2607e6efc42871da9896,10.5281/zenodo.10211009
data/adsorbates/SiCl3/CONTCAR,22171,H Si Cl,47 129 3,60bfa347d277d7192cd3e577738b90f89da44f54ad946f9d889485d27a03383c,10.5281/zenodo.10211009
data/adsorbates/SiClH/CONTCAR,21938,H Si Cl H,46 129 1 1,ca7b444266bc28c6398fad275682cbf8305ce15ea4429980dc3ed79ee04d6554,10.5281/zenodo.10211009
data/adsorbates/SiClH2/CONTCAR,22182,H Si Cl H,47 129 1 2,73c3a68500f3bafdffd31504aa0698c67d6a7669025a24c3e33f63a87bb5d558,10.5281/zenodo.10211009
data/adsorbates/SiH2/CONTCAR,21927,H Si H,46 129 2,d7375265a282b1ead430f176bb1288947c0c74dbae620cad206f22cfdde70c10,10.5281/zenodo.10211009
data/adsorbates/SiH3/CONTCAR,22171,H Si H,47 129 3,816c0e64cff80de3451657c3152c51e844caa27f2ac19eb2709172bdb5775c0f,10.5281/zenodo.10211009
data/TS/t1/CONTCAR,22182,H Si Cl H,46 129 1 3,5b3b9acc32fea3c13408da4c91fb3fba2cae40924b61651bf5867718825b1d44,10.5281/zenodo.10211009
data/TS/t10/CONTCAR,22437,H Si H Cl H,47 129 1 3 1,b57f1470f08eb4445dbeefe7ad4186f2f4b4fb42f98d8cd2fee91f91e7fb7de6,10.5281/zenodo.10211009
data/TS/t11/CONTCAR,22426,H Si Cl H,47 129 2 3,94978db9c4c784612581b46977273731138f1e5362f86d81647f3b30358e716f,10.5281/zenodo.10211009
data/TS/t12/CONTCAR,22437,H Si H Cl H,47 129 2 2 1,8202e6f15d6f1583d6401a548802258a79529354b7c53fe496ee18f812acfa75,10.5281/zenodo.10211009
data/TS/t13/CONTCAR,22426,H Si Cl H,47 129 1 4,9f0fec8bf6d00d8ba087c3e71c2b76e4ad99523bac193eef79c859682432dd11,10.5281/zenodo.10211009
data/TS/t19/CONTCAR,22426,H Si Cl H,47 129 3 2,7c63a595d43ed0f60f84446dc92839756f57e20704994e1470871141090a1ec4,10.5281/zenodo.10211009
data/TS/t2/CONTCAR,22193,H Si H Cl H,46 129 2 1 1,283ec1169f02405c3d162861031e6a63bff558e6b10b33b0deb92c73643b20a5,10.5281/zenodo.10211009
data/TS/t20/CONTCAR,22437,H Si H Cl H,47 129 1 2 2,5bb48c37e4e7334830bd7c7a7af5aff1b002e933a0eb4c9f6e5fd1bb683056ba,10.5281/zenodo.10211009
data/TS/t3/CONTCAR,22182,H Si Cl H,46 129 2 2,82335a6a9986654ba13a5c6a1abc0c231d8376fec7786412fe7af7300c9cfbe5,10.5281/zenodo.10211009
data/TS/t4/CONTCAR,22193,H Si H Cl H,46 129 1 2 1,271886218d1d07dff6619f148c536ffaf60e1d9c0d2d3cc5c25c4e3adee798df,10.5281/zenodo.10211009
data/TS/t5/CONTCAR,22182,H Si Cl H,46 129 1 3,0908159600cf0441b7efd1a287e1a6c1b2c48a2ae909dddff9d8e380b003e966,10.5281/zenodo.10211009
data/TS/t6/CONTCAR,22182,H Si Cl H,46 129 3 1,cbe890cd1aecff9212bdba5a248a46b5bb87ae5a2a773714382fc34665ef78ba,10.5281/zenodo.10211009
data/TS/t7/CONTCAR,22182,H Si Cl H,46 129 2 2,65472222eddaacdf5bafc36783b3e585e5f5a3f3b65211176fe01cf3fea27e93,10.5281/zenodo.10211009
data/TS/t8/CONTCAR,22426,H Si Cl H,47 129 4 1,8e2782c24cff1b51aa9cefaeecaf78f0a9df0ff86f00d57f7bb7ea643a03f182,10.5281/zenodo.10211009
data/TS/t9/CONTCAR,22426,H Si Cl H,47 129 3 2,9f278743d4b8dc055a3402a3f7cef29dbe0f08a98235dec42b5212648e70ba79,10.5281/zenodo.10211009
