cycle,phase,time_s,coverage,removed_nm,deposited_nm,net_removed_nm,roughness_nm,events
1,modify,2.0,0.791015625,0.0,0.0,0.0,0.0,405
1,purge,2.5,0.791015625,0.0,0.0,0.0,0.0,405
1,remove,4.5,0.158203125,0.0860625,0.0,0.0860625,0.065557197116335,729
1,purge,5.0,0.158203125,0.0860625,0.0,0.0860625,0.065557197116335,729
2,modify,7.0,0.81640625,0.0860625,0.0,0.0860625,0.065557197116335,1066
2,purge,7.5,0.81640625,0.0860625,0.0,0.0860625,0.065557197116335,1066
2,remove,9.5,0.17578125,0.17318750000000002,0.0,0.17318750000000002,0.08786688707215023,1394
2,purge,10.0,0.17578125,0.17318750000000002,0.0,0.17318750000000002,0.08786688707215023,1394
3,modify,12.0,0.806640625,0.17318750000000002,0.0,0.17318750000000002,0.08786688707215023,1717
3,purge,12.5,0.806640625,0.17318750000000002,0.0,0.17318750000000002,0.08786688707215023,1717
3,remove,14.5,0.109375,0.26801562500000004,0.0,0.26801562500000004,0.10245242679341166,2074
3,purge,15.0,0.109375,0.26801562500000004,0.0,0.26801562500000004,0.10245242679341166,2074
4,modify,17.0,0.80859375,0.26801562500000004,0.0,0.26801562500000004,0.10245242679341166,2432
4,purge,17.5,0.80859375,0.26801562500000004,0.0,0.26801562500000004,0.10245242679341166,2432
4,remove,19.5,0.154296875,0.35700000000000004,0.0,0.35700000000000004,0.12080769843019112,2767
4,purge,20.0,0.154296875,0.35700000000000004,0.0,0.35700000000000004,0.12080769843019112,2767
5,modify,22.0,0.796875,0.35700000000000004,0.0,0.35700000000000004,0.12080769843019112,3096
5,purge,22.5,0.796875,0.35700000000000004,0.0,0.35700000000000004,0.12080769843019112,3096
5,remove,24.5,0.13671875,0.44678125,0.0,0.44678125,0.13255193189251338,3434
5,purge,25.0,0.13671875,0.44678125,0.0,0.44678125,0.13255193189251338,3434
