event,count
ads_bridge_NH_F0,300
des_bridge_NH_F0,0
P1c_bridge_NH,300
ads_bridge_NH_F1,585
des_bridge_NH_F1,288
P2c_bridge_NH,297
ads_bridge_NH_F2,344
des_bridge_NH_F2,53
P3c_bridge_NH,291
ads_bridge_NH_F3,284
des_bridge_NH_F3,0
P4_bridge_NH,284
ads_terminal_NH2_F0,150
des_terminal_NH2_F0,0
P1a_terminal_NH2,150
ads_terminal_NH2_F1,154
des_terminal_NH2_F1,4
P2a_terminal_NH2,150
ads_terminal_NH2_F2,839
des_terminal_NH2_F2,762
P3a_terminal_NH2,77
ads_terminal_NH2_F3,307
des_terminal_NH2_F3,307
ads_Si_H_rich_F0,912
des_Si_H_rich_F0,912
P1b_Si_H_rich,0
ads_Si_H_rich_F1,0
des_Si_H_rich_F1,0
P2b_Si_H_rich,0
ads_Si_H_rich_F2,0
des_Si_H_rich_F2,0
P3b_Si_H_rich,0
ads_Si_H_rich_F3,0
des_Si_H_rich_F3,0
P4_Si_H_rich,0
ads_bridge_N_F0,173
des_bridge_N_F0,23
P1d_bridge_N,150
ads_bridge_N_F1,198
des_bridge_N_F1,50
P2d_bridge_N,148
ads_bridge_N_F2,886
des_bridge_N_F2,848
P3d_bridge_N,38
ads_bridge_N_F3,154
des_bridge_N_F3,154
ads_pre_SiH2F,242
des_pre_SiH2F,146
P2e,96
ads_pre_SiHF2,896
des_pre_SiHF2,888
P3e,8
ads_Si_Si_F1,176
des_Si_Si_F1,76
P2f,100
