temperature_K,event,kind,rate_s,source_pathway,barrier_eV,rate_status
325.0,ads_bridge_NH_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_NH_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P1c_bridge_NH,reaction,489620737784.325,P1c,0.02,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_NH_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_NH_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2c_bridge_NH,reaction,0.5616454658485356,P2c,0.79,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_NH_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_NH_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P3c_bridge_NH,reaction,3.348210447736353,P3c,0.74,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_NH_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_NH_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P4_bridge_NH,reaction,6043.448220123119,P4,0.53,conditional_Ea_and_assumed_prefactor
325.0,ads_terminal_NH2_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_terminal_NH2_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P1a_terminal_NH2,reaction,105158.79223782943,P1a,0.45,conditional_Ea_and_assumed_prefactor
325.0,ads_terminal_NH2_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_terminal_NH2_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2a_terminal_NH2,reaction,28.525504581380893,P2a,0.68,conditional_Ea_and_assumed_prefactor
325.0,ads_terminal_NH2_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_terminal_NH2_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P3a_terminal_NH2,reaction,0.022585586621517086,P3a,0.88,conditional_Ea_and_assumed_prefactor
325.0,ads_terminal_NH2_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_terminal_NH2_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
