group,relative_step,baseline_yield,lower_rate_yield,higher_rate_yield,log_yield_sensitivity,event_ids
P1a,1.1,0.3884132384704865,0.388413238470487,0.3884132384704869,-5.824262565155592e-16,['P1a_terminal_NH2']
P1b,1.1,0.3884132384704865,0.3884132384704865,0.3884132384704865,0.0,['P1b_Si_H_rich']
P1c,1.1,0.3884132384704865,0.3884132384702493,0.3884132384707033,6.132366054852323e-12,['P1c_bridge_NH']
P1d,1.1,0.3884132384704865,0.3884132384704873,0.3884132384704867,-8.15396759121783e-15,['P1d_bridge_N']
P2a,1.1,0.3884132384704865,0.3884132384704865,0.3884132384704864,-5.824262565155592e-16,['P2a_terminal_NH2']
P2b,1.1,0.3884132384704865,0.3884132384704865,0.3884132384704865,0.0,['P2b_Si_H_rich']
P2c,1.1,0.3884132384704865,0.386668060301588,0.38992955957120856,0.044064058475622975,['P2c_bridge_NH']
P2d,1.1,0.3884132384704865,0.38841323847048653,0.3884132384704864,-1.7472787695466776e-15,['P2d_bridge_N']
P2e,1.1,0.3884132384704865,0.3878338439844982,0.38888664631106884,0.014221422891770995,['P2e']
P2f,1.1,0.3884132384704865,0.38841323847048675,0.3884132384704868,5.824262565155592e-16,['P2f']
P3a,1.1,0.3884132384704865,0.38841323847048653,0.38841323847048626,-4.076983795608915e-15,['P3a_terminal_NH2']
P3b,1.1,0.3884132384704865,0.3884132384704865,0.3884132384704865,0.0,['P3b_Si_H_rich']
P3c,1.1,0.3884132384704865,0.3880987751261998,0.3886938113773045,0.008037095869905201,['P3c_bridge_NH']
P3d,1.1,0.3884132384704865,0.3884132384704866,0.38841323847048664,5.824262565155592e-16,['P3d_bridge_N']
P3e,1.1,0.3884132384704865,0.38777563062805115,0.3891086187090122,0.01800242817588751,['P3e']
P4,1.1,0.3884132384704865,0.38841262251030667,0.38841379840671947,1.5882021827653344e-05,"['P4_bridge_NH', 'P4_Si_H_rich']"
HF_arrival,1.1,0.3884132384704865,0.3781965465296563,0.3960544229727436,0.2420392491470919,"['ads_bridge_NH_F0', 'ads_bridge_NH_F1', 'ads_bridge_NH_F2', 'ads_bridge_NH_F3', 'ads_terminal_NH2_F0', 'ads_terminal_NH2_F1', 'ads_terminal_NH2_F2', 'ads_terminal_NH2_F3', 'ads_Si_H_rich_F0', 'ads_Si_H_rich_F1', 'ads_Si_H_rich_F2', 'ads_Si_H_rich_F3', 'ads_bridge_N_F0', 'ads_bridge_N_F1', 'ads_bridge_N_F2', 'ads_bridge_N_F3', 'ads_pre_SiH2F', 'ads_pre_SiHF2', 'ads_Si_Si_F1']"
HF_desorption,1.1,0.3884132384704865,0.391264452140147,0.38524377264607235,-0.08135211768910616,"['des_bridge_NH_F0', 'des_bridge_NH_F1', 'des_bridge_NH_F2', 'des_bridge_NH_F3', 'des_terminal_NH2_F0', 'des_terminal_NH2_F1', 'des_terminal_NH2_F2', 'des_terminal_NH2_F3', 'des_Si_H_rich_F0', 'des_Si_H_rich_F1', 'des_Si_H_rich_F2', 'des_Si_H_rich_F3', 'des_bridge_N_F0', 'des_bridge_N_F1', 'des_bridge_N_F2', 'des_bridge_N_F3', 'des_pre_SiH2F', 'des_pre_SiHF2', 'des_Si_Si_F1']"
