reaction,occupied_state,material,A_s,Ea_over_R_K,temperature_K,barrier_eV,rate_s
R6,HF + H2O,Si3N4,11800000000.0,7862,300,0.6774947410698399,0.04903106028866404
R6,HF + H2O,SiO2,14600000000000.0,7399,300,0.6375964880661086,283.92477073968246
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,300,0.1513203720832662,1153866821.3139563
R7,HF + HF(v=1),SiO2,655000000.0,8061,300,0.6946432342615084,0.0014020018001260634
R6,HF + H2O,Si3N4,11800000000.0,7862,350,0.6774947410698399,2.0719873632496193
R6,HF + H2O,SiO2,14600000000000.0,7399,350,0.6375964880661086,9624.263575984887
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,350,0.1513203720832662,2662616354.9655156
R7,HF + HF(v=1),SiO2,655000000.0,8061,350,0.6946432342615084,0.06513568144616687
R6,HF + H2O,Si3N4,11800000000.0,7862,400,0.6774947410698399,34.3418720256827
R6,HF + H2O,SiO2,14600000000000.0,7399,400,0.6375964880661086,135204.35378750876
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,400,0.1513203720832662,4985093146.618249
R7,HF + HF(v=1),SiO2,655000000.0,8061,400,0.6946432342615084,1.1591022622025673
R6,HF + H2O,Si3N4,11800000000.0,7862,450,0.6774947410698399,304.98245711788206
R6,HF + H2O,SiO2,14600000000000.0,7399,450,0.6375964880661086,1055811.7099944323
R7,HF + HF(v=1),Si3N4,402000000000.0,1756,450,0.1513203720832662,8119185704.085131
R7,HF + HF(v=1),SiO2,655000000.0,8061,450,0.6946432342615084,10.878762131386143
