temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.0,bridge_NH_F0,surface,300.0,0.3
325.0,0.0,bridge_NH_F1,surface,0.0,0.0
325.0,0.0,bridge_NH_F2,surface,0.0,0.0
325.0,0.0,bridge_NH_F3,surface,0.0,0.0
325.0,0.0,bridge_NH_residual,surface,0.0,0.0
325.0,0.0,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.0,bridge_NH_F1_HF,surface,0.0,0.0
325.0,0.0,bridge_NH_F2_HF,surface,0.0,0.0
325.0,0.0,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.0,terminal_NH2_F0,surface,150.0,0.15
325.0,0.0,terminal_NH2_F1,surface,0.0,0.0
325.0,0.0,terminal_NH2_F2,surface,0.0,0.0
325.0,0.0,terminal_NH2_F3,surface,0.0,0.0
325.0,0.0,terminal_NH2_residual,surface,0.0,0.0
325.0,0.0,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.0,terminal_NH2_F1_HF,surface,0.0,0.0
325.0,0.0,terminal_NH2_F2_HF,surface,0.0,0.0
325.0,0.0,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.0,Si_H_rich_F0,surface,100.0,0.1
325.0,0.0,Si_H_rich_F1,surface,0.0,0.0
325.0,0.0,Si_H_rich_F2,surface,0.0,0.0
325.0,0.0,Si_H_rich_F3,surface,0.0,0.0
325.0,0.0,Si_H_rich_residual,surface,0.0,0.0
325.0,0.0,Si_H_rich_F0_HF,surface,0.0,0.0
325.0,0.0,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.0,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.0,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.0,bridge_N_F0,surface,150.0,0.15
325.0,0.0,bridge_N_F1,surface,0.0,0.0
325.0,0.0,bridge_N_F2,surface,0.0,0.0
325.0,0.0,bridge_N_F3,surface,0.0,0.0
325.0,0.0,bridge_N_residual,surface,0.0,0.0
325.0,0.0,bridge_N_F0_HF,surface,0.0,0.0
325.0,0.0,bridge_N_F1_HF,surface,0.0,0.0
325.0,0.0,bridge_N_F2_HF,surface,0.0,0.0
325.0,0.0,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.0,pre_SiH2F,surface,100.0,0.1
325.0,0.0,pre_SiH2F_HF,surface,0.0,0.0
325.0,0.0,pre_SiH2F_residual,surface,0.0,0.0
325.0,0.0,pre_SiHF2,surface,100.0,0.1
325.0,0.0,pre_SiHF2_HF,surface,0.0,0.0
325.0,0.0,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.0,Si_Si_F1,surface,100.0,0.1
325.0,0.0,Si_Si_F1_HF,surface,0.0,0.0
325.0,0.0,Si_Si_cleaved_F2_H,surface,0.0,0.0
325.0,0.0,HF,reservoir_net,0.0,0.0
325.0,0.0,H2,gas_product,0.0,0.0
325.0,0.0,NH3,gas_product,0.0,0.0
325.0,0.0,SiF4,gas_product,0.0,0.0
325.0,0.0,SiH2F2,gas_product,0.0,0.0
325.0,0.0,SiHF3,gas_product,0.0,0.0
325.0,0.05,bridge_NH_F0,surface,232.0,0.232
325.0,0.05,bridge_NH_F1,surface,65.25,0.06525
325.0,0.05,bridge_NH_F2,surface,0.015625,1.5625e-05
325.0,0.05,bridge_NH_F3,surface,0.0,0.0
325.0,0.05,bridge_NH_residual,surface,0.0,0.0
325.0,0.05,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.05,bridge_NH_F1_HF,surface,2.734375,0.002734375
325.0,0.05,bridge_NH_F2_HF,surface,0.0,0.0
325.0,0.05,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.05,terminal_NH2_F0,surface,116.546875,0.116546875
325.0,0.05,terminal_NH2_F1,surface,31.7578125,0.0317578125
325.0,0.05,terminal_NH2_F2,surface,0.65625,0.00065625
